index	type	text	text_ES	Go To	conditions	actions
1	Q	 Охрана!!!	¿po?	2			
2,boss2	Q	 Не рви глотку, твои охраники уже не смогут сюда придти.	¿po?	3		
3,enterprise	Q	 Ублюдки! Вы хоть знаете, кто я и какое место занимаю в королевском дворе?!	¿po?	4		
4,boss2	Q	 Мне без разницы на твои титулы, ты довольно дешево оценил мою жизнь, отправив ко мне убийц, тогда я отниму твою жизнь и вовсе за бесплатно.	¿po?	5		
5,enterprise	Q	 Тронешь меня, тогда будешь отвечать перед своими канализационными дружками, у меня с ними договор на случай, если кто-то из их братии вздумает пойти против меня.	¿po?	6		
6,dominatrix2	Q	 Ох, ты это серьезно, Вильям? Такой благородный и подченный аристократ при королевском дворе, а имеешь связи с каким-то бандитской сбродом?	¿po?	7		
7,enterprise	Q	 Что?! Баронесса Морейн?! Что вы здесь делаете?	¿po?	8		
8,dominatrix2	Q	 Ты затрунул дела моей организации и мне пришлось ответить на твою наглую выходку.	¿po?	9		
9,enterprise	Q	 Не может быть?! Значит это вы руководите бандой шлюх?!	¿po?	10		
10,dominatrix2	Q	 Давайте обойдемся без вульгарности, и это не банда, а скорее община, убежище для оказавшихся в трудной жизненной ситуации, и я собираюсь защищать их всех от кого либо.	¿po?	11		
11,boss2	Q	 Я, конечно, не имею титулов, и не вижу проблем в обозначении, как банда, но своих ребят я тоже в обиду не дам.	¿po?	12		
12,dominatrix2	Q	 Так в чём заключался ваш план, барон? Стравить нас друг с другом? Но какая вам от этого польза?	¿po?	13		
13,enterprise	Q	 Вполне очевидная. Война с Мерсией подточила королевскую казну, а имеющихся налогов недостаточно, чтобы пополнить её прежний уровень с постоянными расходами. Так почему бы не заставить работать на казну всякое отребье, вроде шлюх и бандитов, ведь они тоже часть этого королевства? Ну а король может оставаться в неведении, и его моральные принципы будут в целостности, он не обязан знать, откуда поступают монеты в его сокровищницу!	¿po?	14		
14,boss2	Q	 А к чему тогда нужно было устраивать все эти нападения?	¿po?	15		
15,enterprise	Q	 Всё просто, разобщенными, мелкими группировками куда проще манипулировать, чем большими организациями! Это просто грязный бизнесс, на пользу всему королевству!	¿po?	16		
16,boss2	Q	 Чтож, похоже, твоим радужным планам не суждено сбыться!	¿po?	17		
17,enterprise	Q	 Ну, это мы ещё посмотрим! [BLUE](пожилой мужчина бросился к прикроватному шкафу что-то из него достал)[] Не думал, что мне когда-нибудь придётся использовать это турамское пойло! [BLUE](в его руке оказался бутыль, который он залпом выпил, и тут же с его телом стали происходить изменения)[]	¿po?	18		
18,dominatrix2	Q	 Теперь он выглядит ещё более отвратительно, чем был.	¿po?	19		
19,boss2	Q	 Я как раз прихватил с собой особое оружие против таких здоровых уродов!	¿po?	20		"NPCStopFollowing#"		
20	A	Давайте прикончим уже его.	po.	0		"NPCDespawn#enterprise;NPCSpawn#enterprise2;NPCDespawn#boss2;NPCSpawn#boss1;SetVariable#sin_kingdom,97"
