index	type	text	text_ES	Go To	conditions	actions
1	Q	Я тебя слушаю, мой герой.	port.	11	"VariableGreater#something_more,99;NPCisFollower#"	
1	Q	Я тебя слушаю, мой герой.	port.	13	"VariableGreater#something_more,9;NPCisFollower#"	
1	Q	Я тебя слушаю, мой герой.	port.	11	"VariableGreater#sansa_quest,14;NPCisFollower#"	
1	Q	[BLUE](молодая на вид волшебница)[] Рада тебя видеть, ну что, отправляемся в путь?	port?	9		
9	A	Санса, мне нужна твоя помощь.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
9	A	Да, идём геройствовать вместе!	port.	16		
9	A	Сейчас мне не нужна твоя помощь.	port.	10		
10	Q	Ты знаешь, где меня искать, если я понадоблюсь тебе, мой герой.	port.	0		
11	A	Санса, мне нужна твоя помощь.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
11	A	Ничего, давайте двигаться дальше.	Nada, continuemos.	0		
11	A	Мне сейчас не нужна твоя компания. Спасибо за помощь, увидемся снова позже.	port.	12		"NPCStopFollowing#;NPCDespawn#sansa"
11	A	Давай поговорим о чём-нибудь.	Quiero que hablemos de algo.	19		
11	A	У меня есть для тебя боевые указания.	Quiero darte órdenes de combate.	91		
12	Q	Ты знаешь, где меня искать, если я понадоблюсь снова, мой герой.	port.	0		
13	A	Санса, мне нужна твоя помощь.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
13	A	Ничего, давайте двигаться дальше.	Nada, continuemos.	0		
13	A	Давай поговорим о чём-нибудь.	Quiero que hablemos de algo.	19		
13	A	У меня есть для тебя боевые указания.	Quiero darte órdenes de combate.	91		
16	Q	Я была бы очень рада присоединиться к тебе, но у тебя уже есть кто-то в компании.	port.	0	HasCompanion#	
16	Q	Нас никто и ничто не остановит!	port.	0		NPCFollow#
19	Q	О чём именно?	port.	20		
20	A	Что ты можешь сказать об этом месте?	¿Qué puedes decirme de este lugar?	40		
20	A	Эй, а ты можешь воспользоваться своей магией?	port.	41		
20	A	Давай, просто, продолжим.	Continuemos.	0		
40	Q	Хотелось бы назвать это место своим домом, ведь я столько времени и сил потратила, чтобы стать здесь своей, но это место всегда ощущается чуждым для меня.	port.	20	AreaIs#IM	
40	Q	Это мой дом, и ты даже не представляешь, каких усилий стоило мне, чтобы заполучить его.	port.	20	AreaIs#IM_manor6	
