index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Just leave me alone, don't you see I am busy? Damn herbs don't grow like they used to in the old days... [BLUE](He keeps examining the vegetation around the river banks)[]	Déjame en paz, ¿no ves que estoy ocupado? Las malditas hierbas ya no crecen como antiguamente... [BLUE](sigue examinando la vegetación en los bancos del rio)[]	2			
2	A	Excuse me, I just want to ask if you saw anything unusual around here involving a a pig.	Perdona, pero me gustaría preguntarte si has visto algo extraño por aquí recientemente relacionado con un cerdo.	3	"VariableGreater#pig_wife,0;VariableLower#pig_wife,50"		
2	A	Alright, goodbye.	De acuerdo, adiós.	0			
3	Q	ARE YOU DEAF!!!??? I am busy, go away!	¿¿¿¡¡¡ESTÁS SORDO???!!! ¡Vete y déjame, estoy ocupado!	4			
4	A	Don't be angry, I'm going.	No te enfades, ya me voy.	0			
4	A	Is this what you're looking for?[BLUE](Show him a Merple)[]	¿Es esto lo que buscas? [BLUE](Enseñarle un Merple)[]	5	PlayerHasItem#2104	LoseItem#2104	
4	A	A woman's life is at stake. It will be on your conscience if you don't help me.	La vida de una mujer está en juego. Si no me ayudas, en tu conciencia queda.	6			PER#3
5	Q	Yes! A Merple! They used to grow here but the winters get colder and colder each year.	¡Sí! ¡Merple! Solía crecer aquí pero ls inviernos se van haciendo cada año más fríos.	6			
6	Q	Alright... Let's just be quick about this. A pig you say. Yeah, I saw a farmer bring a pig to old Mifadis' house. He left it there, as payment for a spell on his crops past autumn.	De acuerdo... Hablemos rápido. Un cerdo, dices. Sí, un granjero dejó un cerdo en la puerta del viejo Mifadis, como pago por un hechizo que hizo sobre sus cosechas el otoño pasado.	7			
7	A	Oh, so that's where the pig came from. Did anything else happen that morning?	Oh, así que de ahí viene el cerdo. ¿Ocurrió algo más esa mañana?	8			
8	Q	The weirdest thing I've seen in some time. [BLUE](The man blushes and smiles at the memory)[] A woman naked as a forest gazelle, ran and dove into the river, then swam downstream to the west. Couldn't see her too well, maybe I dreamed it? [BLUE](He chuckles)[]	La cosa más rara que he visto en mucho tiempo. [BLUE](El hombre se sonroja y sonríe al recordar)[] Una mujer desnuda como una gacela del bosque corrió y se zambulló en el rio, después nadó corriente abajo, al oeste. No pude verla bien, quizá lo soñé [BLUE](Se rie)[]	0		SetVariable#pig_wife,50	
