index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](He takes the pen and smiles as he writes down a name in a rotten parchment. Of course there is no ink, but it doesn't seem to matter to him, which you realize is beginning to vanish)[] Finally I am free, no longer bound to this place...	[BLUE](Coge la pluma y sonrie mientras escribe un nombre en un pergamino podrido. Por supuesto no hay tinta, pero eso no parece importarle. Compruebas que empieza a desaparecer)[] Por fin soy libre... Ya no estoy atado a este lugar...	91	PlayerHasItem#2604	"LoseItem#2604;GainXP#1400;SetVariable#mightier_sword,100"
1	Q	I can't note down the last name... My pen... Where is my pen? I feel it is not too far away...	No puedo anotar el último nombre... Mi pluma... ¿dónde está mi pluma? Siento que no anda muy lejos.	0	VariableEqual#mightier_sword,10	
1	Q	[BLUE](The ghost has nothing to tell you)[]	[BLUE](El fantasma no tiene nada que decirte)[]	0	VariableGreater#mightier_sword,99	
1	Q	[BLUE](This traslucent figure floats busily from shelf to shelf, muttering, until it notices you)[]Where is it... I can't find it... Are you a wraith? Begone! Go away or I will destroy you, restless one.	[BLUE](Esta figura transparente flota de estantería en estantería, rebuscando, hasta que te ve)[]Dónde está... La he perdido...  ¿Sois vos un Espectro? ¡Marcháos! Alejáos u os destruiré, ser de ultratumba.	2		
2	A	Er... Old man, I can see through you. You are the ghost here, not me.	Er... Anciano, podemos ver a través de tí. Tú eres el fantasma, no yo.	50		
2	A	Prepare to die, undead abomination [BLUE](Attack)[]	Prepárate para morir, abominable muerto-viviente [BLUE](Atacar)[].	90		
2	A	I am alive despite the attempts of those things out there.	Sigo vivo, pese a los intentos de esas cosas de ahí fuera.	10		
10	Q	Finally! By King's Reova's Beard, what took you so long, chaps? About time the Legion sent some help. This place has been assaulted by robbers and necromancers. An I can't complete my duty. Where is it... I can't find it...	¡Por fín! Por La Barba del Rey Reova, jovencitos, os habeis tomado vuestro tiempo en venir, ¿no? Ya era hora de que la Legión enviase ayuda. Hemos tenido saqueadores y nigromantes. Y la he perdido... No puedo cumplir mi deber... Mi deber...	11		
11	A	I am not with the Legion. I suspect this place has been forgotten for a long time, and no longer used as the town's crypt.	No me envía la Legión. Sospecho que este lugar ha sido olvidado hace largos años, y ya no se usa como cripta de la ciudad.	50		
11	A	Yes, definitely that's what I'm doing here. I have some questions.	Si, ciertamente por eso he venido. Tengo algunas preguntas.	12		
11	A	I might be back later.	Quizá regrese más tarde.	0		
12	Q	My knowledge is at your entire disposal, of course.	Mi conocimiento está a tu disposición, por supuesto.	13		
13	A	Who are you and what are you doing here?	¿Quién eres, y qué haces aquí?	14	VariableLower#tmp_scribe_who,1	
13	A	Tell me about this place, and the recent problems.	cuéntame acerca de este lugar, y los problemas recientes.	15	VariableLower#tmp_scribe_trouble,1	
13	A	So, what is this duty of yours you keep muttering about?	Bueno, ¿qué es exáctamente ese deber que necesitas cumplir?	16		
13	A	I'll be back another time.	Ya volveré en otro momento.	0		
14	Q	"I'm a Royal Scribe. These are the crypts of Mercia's Highborn: kings and other nobles, and legion commanders are buried here with honors; my duty is to keep the records, noting down every new burial."	Soy un Escriba Real. Estas son las catacumbas de los Ilustres de Mercia: reyes, nobles y comandantes de las legiones descansan aquí. Mi tarea es anotar todos los enterramientos y llevar registros de todo.	18		SetVariable#tmp_scribe_who,1
