index	type	text	text_ES	Go To	conditions	actions
1	Q	Freedom, traveller. [BLUE](the officier salutes you martially, fist to his chest)[]. Did you come through the Jabal pass, to the north? If you have seen anything unusual in the hills, I'd like to hear about it.	Libertad, viajero. [BLUE](el oficial hace un saludo militar, con el puño en su pecho)[]. ¿Vienes del norte, cruzando el paso de Jabal? Si has visto algo extraño, me gustaría saberlo.	2	VariableLower#web_terror,5	
1	Q	There is still spiders around, fight first, talk later!	¡aun hay arañas cerca, primero luchar, luego hablar!	0	"VariableEqual#web_terror,5;NPCinArea#assault"	
1	Q	That was a hard fight, and your help was more than welcome. At this rate, however, things are going to end up badly. Spiders coordinating an attack... In 50 years I never saw anything like this.	Ha sido una lucha dura, y tu ayuda es bienvenida. Pero si seguimos así, la cosa no acabará bien. Arañas atacando de forma coordinada... En 50 años jamás vi algo igual.	10	VariableEqual#web_terror,5	
1	Q	Have you found anything about the grotto in the hills, or the spiders?	¿Has averiguado algo acerca de la gruta en las colinas?	30	VariableLower#web_terror,30	
1	Q	I don't know what you did deep into the hills, but the spiders are fleeing back to the deep caves, and acting normally. I wish I could reward you properly, but I'm afraid all of this has been unofficial business. At least, I'll give you my best healing potion.	No sé qué has hecho en las colinas, pero las arañas vuelven a sus cuevas profundas. Bien hecho. Me gustaría poder recompensarte como es debido, pero este no ha sido un asunto oficial. Al menos te daré mi mejor poción.	40	VariableEqual#web_terror,90	"SetVariable#web_terror,100;GainXP#2500;GainItem#5016"
1	Q	Nothing to report as of late, adventurer.	Nada de que informar recientemente, aventurero.	0		
2	A	Unusual? Like what?	¿Algo extraño? ¿Como qué?	3		
3	Q	Well, the giant spiders obviously, as there's never been as many as now. But also, any caves, or maybe people deep into the hills, because...	bueno, obviamente las arañas gigantes, pero también nos interesa saber si has visto alguna cueva, o quizá gente en lo más profundo de las colinas, porque...	20		
10	A	What I wonder is, why the Mercian Legions don't go in force and solve this issue?	Lo que no entiendo es, ¿Por qué las Legiones Mercias no utilizan toda su fuerza para resolver ésto?	11		
11	Q	Every other kingdom is plotting to overthrow us... Our beloved King has his hands full. Still, a month ago he sent an elite squad from the Third Legion to help us. Twenty veteran scouts, with the mission to investigate the cave where the spiders originate. But it was a disaster.	Los demás reinos acechan para atacarnos... Nuestro buen rey tiene las manos ocupadadas. Peri aun así, hace un mes envió ayuda: un escuadrón de élite de la tercera legion. 20 veteranos exploradores, con la misión de explorar la cueva donde se originan las arañas. Fue un desastre.	12		
12	A	They never returned? This sounds bad.	¿Nunca regresaron? Suena muy mal.	13		
13	Q	Only one did: Decurion Sargos. His face and body scarred beyond recognition by the poison, one eye lost, and his mind completely gone. He just mumbled to himself like a madman, and then he left. We never heard what was of the rest.	Sólo uno: el Decurión Sargos. Su cara y su cuerpo deformados por el veneno, sin un ojo, y su mente completamente ida. Hablaba solo, como un loco, y se marchó. Nunca supimos del resto.	14		
14	A	So... What is going on here? And what are you going to do?	entonces... ¿Qué está pasando? ¿Y qué vas a hacer?	15		
15	Q	There is little I can do with my scarce men, and my orders to defend this position. But maybe someone else could look into this.	No puedo hacer mucho, con mis escasos hombres, y mis órdenes de defender este puesto. Pero quizá algún otro podría investigar.	16		
16	A	Is this the part when you ask me to go to the place where twenty elite legionnaires were horribly slaughtered?	Supongo que ahora me vas a pedir que yo vaya al lugar donde veinte legionarios de élite fueron horriblemente masacrados...	17		
16	A	Maybe I could go deep into the hills and investigate.	Quizá pueda adentrarme en las colinas e investigar.	17		
16	A	I think all of this is beyond my abilities.	Creo que esto está más allá de mi capacidad.	17		
17	Q	I know this is dangerous, indeed. But my instinct tells me, if nothing is done, something terrible will happen. Anything you can find out about this may help.	Sé que es muy peligroso. Pero mi instinto me dice que, si no se hace nada, algo terrible va a suceder. Todo lo que averigues, podría ser de ayuda.	0		SetVariable#web_terror,10
20,watchman	Q	Centurion! A spider swarm is coming! They are... Attacking our position!	¡Centurión, se aproximan arañas gigantes! ¡Nos atacan!	21		"NPCSpawn#assault;SetVariable#web_terror,5"
21,watchman2	Q	From the north too, this is insane! They're too many, we can't hold them!	¡También desde el norte, esto es increible! ¡Son demasiadas, no podremos contenerlas!	22		
22,R	Q	You will contain them, dogs, or you'll have to face me instead of the spiders! For Mercia, you'll crush them! Traveller, help us if you can.	Podréis detenerlas... O tendréis que ¡véroslas conmigo, perros! ¡A vuestros puestos, y aplastadlas! Viajero, si puedes, ayúdanos.	0		
30	A	I am afraid, I've found the corpses of the scouts. However, there's a magical barrier I can't cross.	Me temo que he encontrado los cuerpos de los exploradores. Sin embargo hay una barrera mágica que no puedo cruzar.	31	VariableEqual#web_terror,20	
30	A	Nothing yet.	De momento nada.	0		
31	Q	They died serving their kingdom, like true heroes. Well, I really have no idea about magical barriers and such. I hope you can find a way through.	Murieron sirviendo a su Reino, como verdaderos héroes. La verdad, y no sé nada de barreras mágicas, espero que encuentres cómo superarla.	0		
40	A	Thanks. Have you maybe seen Decurion Sargos?	Gracias. Por casualidad has visto al Decurión Sargos?	41		
41	Q	Yes, and I was so glad to see such a hero back. He headed back to Freetown.	Si, y me alegré mucho de ver a un héroe como él de vuelta. Se dirigía hacia Freetown.	0		
