index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	You saved the kid, well done! I'll make sure he is more cautious in the future. Here, have some gold to cover your expenses.	¡Le salvaste, bien hecho! Me aseguraré de que tenga más cuidado en el futuro. Aquí tienes algo de oro para cubrir gastos.	2	VariableEqual#lost_good_book,70	"SetVariable#lost_good_book,100;GainXP#800;GainGold#500;IncVariable#REP_seventhhouse,3"	
1	Q	You brought the kid back, well done! I'll make sure he is more cautious in the future. Here, have some gold to cover your expenses.	¡Le salvaste, bien hecho! Me aseguraré de que tenga más cuidado en el futuro. Aquí tienes algo de oro para cubrir gastos.	2	VariableEqual#lost_good_book,90	"SetVariable#lost_good_book,100;GainXP#800;GainGold#500;IncVariable#REP_seventhhouse,3"	
1	Q	Dead you say... Well, it's his own fault, and I even sent someone to try to bring him back. Stupid rookies.	¿Muerto, dices? Bueno, no es culpa mía, él se presentó voluntario, y yo he mandado a alguien a intentar traerle de vuelta. Malditos novatos.	20	VariableEqual#lost_good_book,80	"SetVariable#lost_good_book,200;GainXP#200;IncVariable#REP_seventhhouse,1"	
1	Q	Hello again. Mind your step, don't slip on the blood.	Hola de nuevo. Cuidado donde pisas, no te resbales con la sangre.	2	VariableGreater#lost_good_book,0		
1	Q	Ah, the kid that helped out Kardagis. But you're not a member of the House, so don't think I'll be helping you with training unless you help me first.	Ah, tú eres el que ayudó a Kardagis. Pero no eres un miembro de la Casa, así que no creas que voy a ayudarte, salvo que tú me ayudes primero.	2	VariableLower#guild_seventh,1		
1	Q	Ah, the kid that helped out Kardagis. I wonder if you can help me with a... Situation.	Ah, tú eres el que ayudó a Kardagis. Me pregunto si podrías ayudarme con cierto... Problema.	2			
2	A	Tell me what needs to be done.	Dime qué tengo que hacer.	3	VariableLower#lost_good_book,10		
2	A	I require training.	Necesito que me entrenes.	4			
2	A	Goodbye.	Adiós.	0			
3	Q	Oh it's simple enough, nothing dangerous. A recruit called Sulidar entered the [BLUE]Grey Library[], probably trying to steal a book or two. However, days have passed and he hasn't returned. He probably left and is now selling the loot in Varsilia, the bastard, but just in case...	"Es algo muy sencillo, nada peligroso. Un novato llamado Sulidar entró en la[BLUE]Biblioteca Gris[] para robar algún libro. Pero han pasado días y no regresa; seguro que el muy desgraciado se ha ido a Varsilia a vender el botín, pero por si acaso..."	6			
4	Q	You helped me out, so why not... If you can afford the required gold. I can teach you how to accelerate your melee attacks into a [BLUE]Flurry[], or how to prepare proper surprises for your enemies with [BLUE]Explosive Traps[]	Tú me has ayudado, así que por qué no... Si pagas lo que hay que pagar. Puedo enseñarte a acelerar tus ataques en un [BLUE]Remolino de Golpes[] o a sorprender a tus enemigos con [BLUE]Trampas Explosivas[].	10	VariableGreater#lost_good_book,99		
4	Q	Sure, anything for a House member... If you can afford the required gold. I can teach you how to accelerate your melee attacks into a [BLUE]Flurry[], or how to prepare proper surprises for your enemies with [BLUE]Explosive Traps[]	Claro, lo que sea por un miembro de la Casa... que pague lo que hay que pagar. Puedo enseñarte a acelerar tus ataques en un [BLUE]Remolino de Golpes[] o a sorprender a tus enemigos con [BLUE]Trampas Explosivas[].	10	VariableEqual#guild_seventh,1		
4	Q	Like I said, I won't trust a stranger so easily. Maybe if you help me first...	Como he dicho, no voy a confiar así como así en un extraño. Si me ayudaras primero...	5	VariableLower#lost_good_book,10		
4	Q	Like I said, no until you solve that little problem I have with Sulidar gone missing into the Grey Library.	Como he dicho, no hasta que resuelvas mi problema y sepa qué ha ocurrido con Sulidar en la Biblioteca Gris.	0			
5	A	Very well, tell me what needs to be done.	Muy bien, dime qué hay que hacer.	3			
5	A	Unfortunately, I am busy.	Me temo que estoy ocupado.	0			
6	A	The Grey Library?	¿La Biblioteca Gris?	7			
7	Q	Yes, a huge building made of grey stone, here in Freetown. The first floor still works as library, but the King gave the upper floors to those blasted merchants, the Golden Hand, as their headquarters.	Si, un enorme edificio de piedra gris, aquí en Freetown. La planta baja aun funciona como biblioteca, pero el Rey cedió los pisos superiores a la Mano Dorada, esos malditos mercaderes.	8			
8	A	Why haven't you sent someone else to look for him, or even gone yourself?	¿Por qué no has enviado a nadie a buscarle, o incluso tú mismo?	9			
9	Q	The Golden Hand knows of us very well, they'd stop me or my men at the front gate. That's why I sent our youngest House brother, still not on the records. You, being a stranger in town, probably could enter and find out if he's still there.	"La Mano Dorada nos conoce bien, tanto a mí como a mis hombres; no pasaríamos de la puerta. Por eso envié a nuestro hermano más joven, que aun estaba 'limpio'. Quizá tú, siendo extranjero, puedas entrar y averiguar qué ocurrió."	0		SetVariable#lost_good_book,10	
10	A	Tell me more about Flurry.	Dime más acerca de Remolino de Golpes.	0		TrainSkill#flurry	
10	A	Tell me more about Explosive Traps.	Dime más acerca de Trampas Explosivas.	0		TrainSkill#explosive_traps	
10	A	I will think about all this.	Pensaré en ello.	0			
20	A	You're just heartless scum, you know.	Eres basura sin sentimientos, ¿sabes?	21			
20	A	Whatever, I don't care. Can you train me?	Vale, me da igual. ¿Puedes entrenarme?	4			
21	Q	[BLUE](Chuckles)[] Yeah maybe. It's part of the job description. 	[BLUE](Rie)[] Si, puede ser. Es parte de mi trabajo.	0			
