index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	Your heroic actions will never be forgotten in the town of New Anthur. I will let you choose between our two most valuable magical items: the [BLUE]Maul of Gerrak[] or the [BLUE]Ironfoot Boots[].	Tus acciones heroicas serán recordadas por siempre en New Anthur. Puedes escoger una recompensa: el [BLUE]Mazo de Garrak[] o las [BLUE]Botas Pies de Hierro[].	30	VariableEqual#poisoned_river,90		
1	Q	Welcome to New Anthur, traveller. Stay out of trouble, young one... I have little patience with foreigners.	Bienvenido a New Anthur, viajero. No causes problemas, joven... tengo poca paciencia con los extranjeros.	2	VariableLower#talked_J10_captain,1		
1	Q	[BLUE](The captain salutes you with a routine martial gesture )[] Greetings.	[BLUE](El capitán te hace un saludo militar, aunque algo rutinario)[]. Saludos.	10			
2	A	I'll remember that.	Lo tendré en cuenta.	0			
2	A	Any trouble with foreigners recently?	¿Hay algún problema con extranjeros recientemente?	3			
2	A	Officer, have you maybe seen Laertes, the Islander actor?	Oficial, ¿ha visto a Laertes, el actor isleño?	11	VariableEqual#world_stage,30		
2	A	Captain, I am an experienced adventurer looking for work. Is there anything you need done?	Capitán, soy un aventurero experimentado en busca de trabajo. ¿Hay algo en lo que pueda ayudar?	20	VariableLower#poisoned_river,10		
3	Q	[BLUE](The man frowns as he looks north, at a camp made of tents just outside town)[] All kinds of trouble with those damn Friguldian mummers. Actors, comedians, they call themselves. People of good judgment call them for what they truly are: golden-skinned islander savages, thieves and liars. Worse than the grassheads.	[BLUE](El hombre mira hacia el norte, a un campamento que está junto a la ciudad)[] Muchos problemas con esos malditos friguldianos. Afirman ser actores y comediantes. Pero la gente con buen juicio les reconoce por lo que son: salvajes isleños de piel dorada, ladrones y mentirosos. Peores que los cabezahierba.	4			
4	A	Well, then just get rid of them. You are the law.	Bueno, pues deshazte de ellos. Tú eres la ley.	7			
4	A	But... Are they actually stealing and causing trouble? Or it's just prejudice?	Pero... ¿Realmente están robando y causando problemas? Quizá son sólo prejuicios.	5			
5	Q	I am not making it up, traveller. The young ones pick pockets in the docks, and there's no day I don't have some islander scum in a cell. Nothing serious... Yet.	No me lo invento, viajero. Los más jóvenes roban bolsas en los muelles, y no hay noche que no tenga a algún asqueroso isleño en las celdas.	6			
6	A	I see. Then why don't you kick them out of these lands?	Ya veo. Entonces, ¿Por qué no les echas de estas tierras?	7			
7	Q	If only I could... I fought those savages during the Archipelago war, and now I have to endure their presence here. But... There is the plays. The whole town loves watching them, and people would be angry if we removed them with no other reason than petty thievery.	Si pudiera... Luché contra esos salvajes en la Guerra de las Islas, y ahora tengo que soportar verles aquí. Pero... Están las obras de teatro. La gente las adora, y habría gran descontento si les echáramos simplemente por unos pocos robos de poca monta.	0		SetVariable#talked_J10_captain,1	
10	A	Greetings.	Saludos.	0			
10	A	Officer, have you maybe seen Laertes, the Islander actor?	Oficial, ¿ha visto a Laertes, el actor isleño?	11	VariableEqual#world_stage,30		
10	A	Captain, I am an experienced adventurer looking for work. Is there anything you need done?	Capitán, soy un aventurero experimentado en busca de trabajo. ¿Hay algo en lo que pueda ayudar?	20	VariableLower#poisoned_river,10		
11	Q	Hmph. Not the worst of the lot, isn't he? and I enjoy his performances... but an Islander still, so yeah I keep an eye on him. He entered town but didn't come out. Unless he boarded a ship and left, he'll likely be drunk, somewhere.	Hmph. No es malo del todo, y me gustan sus actuaciones... Pero sigue siendo un Isleño así que le tengo vigilado. Entró en la ciudad pero no ha salido. A no ser que haya embarcado y se haya marchado, estará por ahí, borracho.	0			
20	Q	Indeed I do, but for such a dangerous job I need a renowned hero. I've sent two brave young men already and they never returned, don't expect me to make the same mistake again. [BLUE](You need a reputation of at least 60 in Varsilia for this quest)	Si, pero para ese trabajo necesito a un héroe famoso. Ya envié en el pasado a dos jóvenes que no regresaron, no pienso volver a cometer ese error. [BLUE](Necesitas una reputación de al menos 60 en Varsilia)	0	VariableLower#REP_varsilia,60		
20	Q	Indeed I do, and I know well who you are: the whole kingdom talks about your adventures. You might be the right one to solve the poisoning of the river, which has been happening since before I was born.	Si, y además te conozco, todo el reino habla de tus aventuras. Podrías ser quien necesitamos para acabar con el envenenamiento del rio, que lleva ocurriendo desde antes de que yo naciera.	21			
21	A	Tell me more about this.	Cuéntame más.	22			
22	Q	The Wyverntail river is very close, north of town. It would be an ideal source of fresh water, but it has been toxic for at least 50 or 60 years. The scarcity of clean water has always troubled the town... and is behind many of the stupid jokes about our hygiene that you can hear in Lannegar. 	El rio Wyverntail está cerca, al norte. Sería una fuente ideal de agua dulce, si no fuera venenoso desde hace mucho. La escasez de agua es dura... Y además es el origen de todos los chistes estúpidos que hacen en Lannegar sobre nuestra higiene.	23			
23	A	I will investigate and try to stop whatever is causing the poisoning.	Investigaré e inetntaré detener lo que sea que está causando el envenenamiento.	24			
24	Q	If you do, I will certainly reward you. May the Eleven Emperors inspire your victory!	Si lo haces, te recompensaré. ¡Que los Once Emperadores te guien a la victoria!	0		SetVariable#poisoned_river,10	
30	A	I choose the maul.	Escojo el mazo.	31		"SetVariable#poisoned_river,100;GainItem#723;IncVariable#REP_town_new_anthur,6;IncVariable#REP_varsilia,4"	
30	A	I choose the boots.	Escojo las botas.	31		"SetVariable#poisoned_river,100;GainItem#215;IncVariable#REP_town_new_anthur,6;IncVariable#REP_varsilia,4"	
31	Q	I'm sure you'll put it to good use. Thanks again for all you've done for us.	Seguro que le das buen uso. Gracias por todo lo que has hecho por nosotros.	0			
