index	type	text	text_ES	Go To	conditions	actions
1	Q	With this crown, I'll once more have the true authority of a King among my people. Maybe I can take them away from these dark dwellings, into a new era of splendor. Tell me what did you learn of our Lost Kingdom.	Con esta corona volveré a tener la autoridad de un Rey entre mi gente. Quizá pueda sacarles de estas oscuras cavernas y comenzar una nueva era de esplendor. Dime qué has averiguado de nuestro Reino Perdido.	30	"VariableGreater#lost_kingdom,0;VariableLower#lost_kingdom,90;PlayerHasItem#4501"	"LoseItem#4501;SetVariable#lost_kingdom,90"
1	Q	I still owe you a reward, adventurer. I'd rather pay my debt now.	Aun te debo una recompensa, aventurero. Prefiero pagar mi deuda cuanto antes.	31	VariableEqual#lost_kingdom,90	
1	Q	With this crown, I'll once more have the true authority of a King among my people. Maybe I can take them away from these dark dwellings, into a new era of splendor. 	Con esta corona volveré a tener la autoridad de un Rey entre mi gente. Quizá pueda sacarles de estas oscuras cavernas y comenzar una nueva era de esplendor.	0	VariableEqual#lost_kingdom,100	
1	Q	"[BLUE](This huge minotaur wears a purple mantle and holds a sceptre)[] You survived the proving grounds and earned our hospitality, foreigner. Our people has declined century after century, nothing remains of the greatness of old; yet I hope your stay is venturous."	[BLUE](Este enorme minotauro lleva un manto púrpura y un cetro)[] Has sobrevivido a los Terrenos de Prueba, y ganado nuestra hospitalidad, extranjero. Nuestro pueblo está en declive y nada queda de la Antigua Grandeza, pero espero que vuestra estancia sea provechosa.	2		
2	A	Thanks, sir.	Gracias, señor.	0		
2	A	Please tell me of the Greatness of Old of your people.	Por favor, háblame de la Antigua Grandeza de tu pueblo.	3	VariableLower#lost_kingdom,10	
2	A	Blah blah blah. You are a monster, this is a dungeon, I am an adventurer. Can you connect the dots? Now die.	Bla bla bla. Eres un monstruo, estamos en una mazmorra, soy un aventurero. ¿Me sigues? ¡Muere!	0	VariableLower#lost_kingdom,100	"SetVariable#mino_hostile,1;NPCHostile#minos"
3	Q	"The Lost Kingdom of Galade. My Great-great-grandfather ruled there when your kind were still like children of the forest; The Kingdom was prosperous and fair, with wisdom and insight valued above riches or might."	"El Reino Perdido de Gálade. Mi tatarabuelo era rey allí cuando tu especie aun eran como niños del bosque; el Reino era próspero y hermoso. Lo más venerado era la sabiduría y la mente, por encima de riquezas o poder."	4		
4	A	I never thought such a Kingdom existed. How did it fall?	Nunca pensé que tal Reino existiera. ¿Cómo cayó?	5		
4	A	I need to go.	Me tengo que marchar.	0		
5	Q	A star fell from the night skies, and a huge ball of fire engulfed all the valleys and towns. Mountains were split and in a few seconds the splendor of Galade turned to ashes. Only the few that were in the Mazes survived.	Una estrella cayó de los cielos, y una enorme bola de fuego destruyó valles y praderas. Las montañas se partieron y en segundos todo el esplendor de Gálade se convirtió en cenizas. Sólo los que estábamos en laberintos sobrevivieron.	6		
6	A	The mazes? Why do you build them?	¿Los laberintos? ¿Por qué los construis?	7		
7	Q	In the old days, they were a place for meditation. [BLUE](Looks down, saddened)[]But nowadays, most of my subjects have lost the light in their minds. The mazes have turned into sinister dungeons to fight and prevail. We're but a shadow of what we once were.	En los antiguos días era un lugar de meditación. [BLUE](Te mira con tristeza)[] Pero hoy muchos de mis súbditos han perdido la mente, y los laberintos son un lugar siniestro. Luchar y prevalecer, nada más. Somos una sombra de lo que fuimos.	8		
8	A	Where was this Lost Kingdom?	¿Dónde estaba el Reino Perdido?	9		
9	Q	We no longer know. My Grandfather arrived here using the Travel Stone. But the stone never worked again, it still stands in a forgotten corner of the Maze. Maybe the Stone at the other end was destroyed.	"No lo sabemos. Mi abuelo llegó aquí usando la Piedra de Viaje. Pero la Piedra ya no funcionó más; ahí permanece en un rincón del laberinto. Quizá la Piedra al otro lado se haya destruido."	10		SetVariable#lost_kingdom,10
10	A	Where's this Travel Stone?	¿Dónde está la Piedra de Viaje?	11		
11	Q	It is a great sin to our people to reveal a secret of the maze, you must find the Stone yourself. 	Es un gran pecado para nuestra gente revelar secretos del Laberinto, debes encontrarla tú mismo. 	12		
12	Q	However, adventurer, there's something I want to ask of you. Find our Lost Kingdom and recover the crown from my ancestors, I'd reward you handsomely.	Aventurero, hay algo que quisiera pedirte. Encuentra nuestro Reino Perdido y tráeme la corona de mis antepasados. Te recompensaré generosamente.	0		
30	A	Nothing remains. The land is now uninhabitable, and the few survivors of your people turned into deranged mutants.	No queda nada. La tierra es inhabitable, y los pocos supervivientes de tu gente se han convertido en mutantes enloquecidos.	31		
31	Q	That is saddening, but it also means it is time to stop looking back, and look ahead. Now as your reward, would you prefer my Greataxe, or my Mantle? 	Es muy triste, pero también significa que debemos dejar de mirar atrás. Ahora como recompensa, prefieres my Gran Hacha, o mi Manto?	32		
32	A	I want the Greataxe.	Quiero el Hacha.	33		"SetVariable#lost_kingdom,100;GainXP#5000;GainItem#741"
32	A	I want the Mantle.	Quiero el Manto.	33		"SetVariable#lost_kingdom,100;GainXP#5000;GainItem#3508"
32	A	I have to think about it. I'll be back.	Debo pensarlo. Volveré.	0		
33	Q	Use it proudly. Do not dishonor the memory of the Lost Kingdom of Galade.	Úsalo con orgullo. Nunca deshonres las reliquias del Reino Perdido de Gálade.	0		
