index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](The golem speaks with thundering voice)[]Welcome, outsider! May I interest you in a selection of extraordinary wares?	[BLUE](El golem te habla con voz atronadora)[] ¡Bienvenido, forastero! ¿Te interesaría ver mi selección de mercancías extraordinarias?	2	VariableLower#trader_golem,10	SetVariable#trader_golem,10	
1	Q	You are back, outsider. Are you interested in trading?	Estás de vuelta, forastero. ¿Estás interesado en comerciar?	2			
2	A	Interesting... Why don't you attack me, like the others?	Interesante... ¿No me atacas, como los otros?	3	VariableLower#trader_golem,20		
2	A	Who are you? What can you tell me about this city?	¿Quién eres? ¿Qué puedes decirme de esta ciudad?	6	VariableLower#trader_golem,20		
2	A	I have more questions, I already paid for the answers.	Tengo más preguntas, ya pagué por las respuestas.	12	"VariableGreater#trader_golem,39;VariableLower#trader_golem,50"		
2	A	I think this is the Lifesone you wanted.	Creo que esta es la 'Piedra de Vida' que buscabas.	49	"VariableLower#trader_golem,100;VariableGreater#trader_golem,40;PlayerHasItem#2637"	"SetVariable#trader_golem,100;LoseItem#2637;GainItem#5039;GainXP#2500"	
2	A	Sure thing, what are you selling?	Claro, ¿Qué vendes?	0		openshop#	
2	A	Sorry but I must go.	Lo siento, me tengo que ir.	0			
2	A	Tell me again about your directives.	Dime de nuevo tus directivas.	5	"VariableGreater#trader_golem,10;VariableLower#trader_golem,40"		
3	Q	I follow my directives, outsider.	Sigo mis directivas, forastero. 	4			
4	A	What are your directives?	¿Cuáles son tus directivas?	5			
4	A	Very well, show me what you got in there.	Muy bien, enséñame lo que tienes.	0		openshop#	
4	A	Goodbye tin man.	Adiós hombre de hojalata.	0			
5	Q	I can answer that question. First, obey the laws of the city and protect its citizens, the Masters. Second, I must trade with my wares maximizing profit.	Primera: obedecer las leyes de la ciudad y proteger a sus ciudadanos, los Amos. Segunda: comerciar con mis mercancías maximizando las ganancias.	80	VariableLower#trader_golem,20	SetVariable#trader_golem,20	
5	Q	My directives haven't changed: First, obey the laws of the city and protect its citizens, the Masters. Second, I must trade with my wares maximizing profit.	Mis directivas no han cambiado. Primera: obedecer las leyes de la ciudad y protege a sus ciudadanos, los Amos. Segunda: comerciar con mis mercancías maximizando las ganancias.	80			
6	Q	Providing such information is not within my directives.	Dar esa información no está entre mis directivas.	7			
7	A	You could just answer my questions out of kindness... Or fear.	Podrías contestar mis preguntas por simple amabilidad... O miedo.	8			
7	A	Nevermind.	Dejémoslo.	0			
7	A	Let me see your wares instead.	Déjame ver tus mercancías.	0		openshop#	
8	Q	Kindness and fear are not within my directives.	Amabilidad y miedo no están entre mis directivas.	4			
9	Q	All the citizens died long ago, you are an outsider. A tricky one too.	Todos los ciudadanos murieron hace mucho. Eres un forastero. Y además un listillo.	0			
10	Q	[BLUE](The creature remains silent for a few seconds, the blue gleam in its eyes flickers slightly)[] That would be within my directives, yes. I will answer your questions for [BLUE]500 gold[].	[BLUE](La criatura permanece en silencio por unos segundos, el brillo azul en sus ojos parpadea levemente)[] Eso estaría dentro de mis directivas, sí. Responderé tus preguntas por [BLUE]500 monedas[].	11			
11	A	Very well, here's the money.	Muy bien, aquí está el dinero.	12	PlayerHasGold#500	"LoseGold#500;SetVariable#trader_golem,40"	
11	A	I'll think about it.	Lo pensaré.	0			
11	A	Let me see your wares instead.	Déjame ver tus mercancías.	0		openshop#	
12	Q	Very well, as agreed I'll answer your questions.	Muy bien, como hemos acordado responderé tus preguntas.	13	VariableLower#trader_golem,50		
12	Q	I have already given you all the valuable information I recall, Outsider.	Ya te he dado toda la información de valor que poseo, forastero.	0			
13	A	What is this place? what happened to the people that lived here?	¿Qué es este lugar? ¿qué le ocurrió a la gente que vivía aquí?	14	VariableLower#golem_H10_city,1	SetVariable#golem_H10_city,1	
