index	type	text	text_ES	Go To	conditions	actions
1	Q	Greetings, adventurer. Anything to report?	Saludos, aventurero. ¿Algo que informar?	20	VariableGreater#track_forsaken,0	
1	Q	[BLUE](The elderly Arcane Knight salutes)[] What's this, an adventurer from the South? It's been years since anyone came from that route... Almost as if no one could walk from Port Anthur to Solliga for some strange reason, even if we show on the maps! Anyways you're welcome to our little village.	[BLUE](El viejo Caballero Arcano saluda) [] ¿Qué es esto, un aventurero del sur? Han pasado años desde que alguien vino de esa ruta ... ¡Casi como si nadie pudiera caminar hasta Solliga por alguna extraña razón, incluso si aparecimos en el mapa! De todos modos bienvenido a nuestro pequeño pueblo.	2		
2	A	Hello, is this town part of Thuram? Are there any jobs to do around here?	Hola, ¿Estamos en el Reino de Thuram? ¿Hay algún trabajo que hacer?	3		
3	Q	We are in Thuram of course, yet if you came here in search of magic wonders you'll be disappointed... But if you have time to spare I'd like to make you a proposal. I need some scouting to be done in the region, and the Knights at Icemist don't seem inclined to send me any extra men.	Estamos en Thuram, por supuesto, pero si viniste aquí en busca de maravillas mágicas te vas a llevar una decepción... Sin embargo me gustaría hacer una propuesta. Necesito que alguien haga de explorador en la zona, y los Caballeros en Icemist no me envían los hombres extra que necesitaría.	4		
4	A	Scouting? Tell me more.	¿Explorar? Cuéntame más.	5		
4	A	Maybe later.	Quizá luego.	0		
5	Q	The region to the Northwest is the most dangerous part of the Wyvern Mountains, inhabited by Ice Giants. A few years ago there was a big landslide that made the earth tremble and raised a huge cloud of dust over the peaks. Hunters and travellers reported a new path northwards had opened, but we didn't worry too much about it.	La región al noroeste es la parte más peligrosa de las Montañas Wyvern, habitada por gigantes de hielo. Hace unos años, un alud enorme hizo temblar la tierra y se levantó una gigantesca nube de polvo proveniente de las montañas. Cazadores y viajeros contaban que se había abierto un nuevo camino hacia el norte, pero no le dimos mucha importancia.	6		
6	A	But now you do, don't you?	Pero ahora se la das...	7		
7	Q	Indeed. Since the landslide, the Giants have become restless and even dared to attack our gates a couple times. I am not sure what might be causing the problem, but given the reputation of these mountains I would like someone to have a look and search that mountain pass. Just in case.	Cierto. Desde el alud, los gigantes están muy activos y han atacado nuestras puertas dos veces. No estoy seguro de qué está ocurriendo, pero dada la reputación de estas montañas, me gustaría que alguien echara un vistazo a ese paso abierto. Por si acaso.	8		
8	A	Reputation? What do you mean?	¿Reputación? ¿A qué te refieres?	9		
9	Q	Decades ago there were tales about an evil sect hiding in the mountains. Sometimes weird lights were seen over the peaks, and a few people disappeared. But it has been many years since anything unusual has been seen or heard again, so if they were more than mere legend, they are probably long gone.	Hace décadas hubo historias sobre una secta malvada que se escondía en las montañas. A veces se veían luces extrañas sobre los picos y algunas personas desaparecían. Pero han pasado muchos años desde que se volvió a ver u oír algo inusual, por lo que si eran más que meras leyendas, probablemente se hayan ido. 	10		
10	A	Can you tell me more about those cultists?	¿Puedes contarme más sobre esos cultistas?	11		
11	Q	"What was their name...  'Forgotten'? or maybe 'Forsaken'? I don't really know much about them; their cult seeked eternal life, worshipping the Horrors or some other nonsense. You know how these tales often spin and spin, so who knows."	No recuerdo su nombre... ¿'Renegados'? o tal vez 'Olvidados'? No sé mucho de ellos. Su culto buscaba la vida eterna, adorando a los Horrores o alguna otra tontería. Sabes cómo las leyendas van cambiando con los años, así que quién sabe.	12		
12	A	I'll see what I can do.	Veré lo que puedo hacer.	0		SetVariable#track_forsaken,10
20	A	There was a demonic portal in the mountains, and Ice Demons were behind all the trouble. I defeated their leader and closed the portal, so it's solved now.	Había un portal demoníaco en las montañas y los Demonios estaban causando los problemas. Derroté a su líder y cerré el portal, así que ahora está resuelto.	22	VariableEqual#track_forsaken,90	
20	A	I have found a strange fortress in the mountains.	He encontrado una extraña fortaleza en las montañas.	21	VariableEqual#track_forsaken,30	
20	A	Greetings, captain.	Saludos, capitán.	0		
21	Q	Well, then go and explore it! Report to me when you have solved our problem with the giants.	Bueno, pues ¡Ve a explorarla! Infórmame cuando hayas resuelto nuestro problema con los gigantes.	0		
22	Q	[BLUE](The captain listens to your tale and pales, but seems relieved at the end)[]Looks like you averted a terrible danger... your deeds deserve a fair reward, but this is a humble town. Please accept these [BLUE]3.000 gold[]. I'll also send word of your deeds to Sir Irolio and Lady Marisha, the Arcane Knights in Icemist. You may want to visit them.	[BLUE](El capitán escucha tus palabras y palidece, pero al final de tu relato parece aliviado.)[] Parece que has evitado un gran mal... tus obras merecen una justa recompensa, pero esta es una ciudad humilde. Toma [AZUL]3.000 monedas[]. También enviaré un informe a Sir Irolio y Lady Marisha, los Caballeros Arcanos de Icemist. No dejes de visitarles.	0		"SetVariable#track_forsaken,100;GainGold#3000;GainXP#4000;IncVariable#REP_thuram,5;IncVariable#REP_wizardsguild,4;IncVariable#REP_town_solliga,10"
