index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](Hirge looks at the ancient Imperial temple with dreamy eyes)[] 	[BLUE](Hirge mira hacia el templo imperial con ojos soñadores)[] 	0	VariableGreater#three_versus_eleven,0	
1	Q	[BLUE](Hirge looks at the ancient Imperial temple and frowns)[] There it stands, my greatest failure. I came to this town trying to turn that empty temple into a proper site of worship for The Three. And not only that, also a healing house, and a philosophy school. 	[BLUE](Hirge mira hacia el templo imperial y frunce el ceño)[] Ahí está, mi mayor fracaso. Cuando llegué a esta ciudad intenté convertir ese templo vacío en un lugar de culto a Los Tres. Y no solo eso, imagina una casa de curación, una escuela de filosofía...	2		
2	A	I think that temple is not empty, it is the temple of the Imperial Religion.	Creo que ese templo no está vacío, es el templo de la Religión Imperial.	3		
3	Q	Those false priests, followed only by a handful of nobles? They're more of a private political club. With that building, we could do so much for the people! I can't understand why the Governor didn't agree.	¿Esos falsos sacerdotes, seguidos por un puñado de nobles? Son más un club político que un templo. Piensa en todo lo que nosotros podríamos hacer con un edificio así.	4		
4	A	Hirge, I don't want to get involved in religious disputes.	Hirge, no quiero meterme en disputas religiosas.	10		
4	A	Maybe I can help. So what did you do, exactly? 	Quizá pueda ayudar. ¿Qué hiciste exáctamente?	5		
5	Q	I confronted the Governor and the principal nobles in the street, and proclaimed the true faith. I recited to them the sacred virtues of The Three. But they wouldn't listen!	Me puse frente al gobernador y un grupo de nobles en plena calle, y proclamé la fé verdadera. Les recité las virtudes sagradas de Los Tres. Pero no me escucharon.	6		
6	A	Heh, I wonder how such a subtle approach could fail.	Heh, me pregunto cómo pudo fallar un plan tan sutil.	7		
7	Q	Yes, I don't understand it either. The truth of The Three is so obvious, so resplendent, yet some people can't see it. And I don't know what to try next, maybe my prayers will reveal something.	Si, yo tampoco lo entiendo. La verdad es tán evidente, tan resplandeciente... Pero hay gente que no puede verla. Y ahora no sé que intentar, quizá mis plegarias me den alguna idea.	8		
8	A	Or maybe I can try to talk to that governor, in the Royal Castle. We'll see.	O quizá pueda intentar hablar con ese gobernador, en el Castillo Real. Ya veremos.	0		SetVariable#three_versus_eleven,10
10	Q	I suppose you want to focus in your quest. Very well.	Supongo que prefieres centrarte en tu propia misión. De acuerdo.	11		
11	A	[BLUE](Sigh)[] Okay, don't pout please. Tell me what you tried to do, to gain this temple for The Three.	[BLUE](Sigh)[] Está bien, no hagas pucheros. Dime qué intentaste hacer para ganar este templo para Los Tres.	5		
11	A	Exactly, so please don't mention this again.	Exacto, así que no vuelvas a mencionar esto.	0		SetVariable#three_versus_eleven,200
