index	type	text	text_ES	Go To	conditions	actions
1	Q	Your requests?	port	4	NPCisFollower#	
1	Q	The unique product is ready to serve, enter the required number of coins {LEVELx200} to activate the service protocols.	po  {LEVELx200}  rt.	2		
2	A	Sorry, but there are already too many of us in the group.	port.	0	hasFollower#	
2	A	That would be great! Follow me. Welcome to the team.	port.	0	"hasNoFollower#;PlayerHasGold#{LEVELx200}"	"NPCFollow#;LoseGold#{LEVELx200}"
2	A	Not now, thank you. Maybe in the future.	port.	3		
3	Q	Switching to standby mode.	port.	0		
4	A	Nothing, let's move on.	port.	0		
4	A	I don't need your services anymore. Thank you for your help and goodbye.	port.	5		
4	A	Please move a little, you're standing in the way.	port.	6		
5	Q	Switching to standby mode.	port.	0		NPCStopFollowing#
6	Q	I'm doing.	port	0		NPCMoveRandom#
