index	type	text	text_ES	Go To	conditions	actions
1	Q	"This is logbook is damaged and about to crumble to dust. Most of it is filled with strange symbols and numbers, but there's also legible journal entries; it would take you years to read everything, but you can skim through it."	"Este diario está dañado y a punto de convertirse en polvo. La mayor parte está llena de símbolos y números extraños, pero también hay entradas de diario legibles; te tomaría años leerlo todo, pero puedes hojearlo."	2		
2	A	Go to the oldest entries, from decades ago.	Leer las páginas más antiguas, de hace décadas.	3		
2	A	Read something from the middle.	Leer por la mitad.	10		
2	A	Examine the most recent entries, from a few years ago.	Leer lo más reciente, de hace unos años.	20		
2	A	No time for reading!	¡No hay tiempo para leer!	0		
3	Q	... Since the situation with Jorgus, our secret is no longer safe and it is wiser to move away from Icemist, leaving only as many of us as needed to sway the Crown and the Council. Certainly this hole in the ice doesn't provide the comfort of the city, but at least I no longer need to smell disgusting humans around me and smile at them...	... Desde el problema con Jorgus nuestro secreto no está a salvo y es mejor abandonar Icemist, dejando allí solo la presencia necesaria para influenciar a la Corona y el Consejo. Ciertamente este agujero en el hielo no ofrece las comodidades de la capital, pero agradezco no tener que oler a más repugnantes humanos ni tener que sonreirles...	4		
4	A	Skip a few pages and keep reading.	Pasar unas pocas páginas y seguir leyendo.	5		
4	A	Enough for now.	Suficiente por ahora.	0		
5	Q	... Our goal is closer but still the challenge is immense. We lack access to the main ingredient, and thus it is possible that we can reproduce the Gate ritual, but the Gates we open can very well lead to random locations or even different planes...	...Nuestra meta está cerca pero el desafío es inmenso. No tenemos acceso al ingrediente principal, así que es posible que reproduzcamos el Ritual de la Puerta pero podría conducir a lugares al azar o incluso diferentes planos...	6		
6	A	Read something else.	Leer otra parte.	1		
6	A	Enough for now.	Suficiente por ahora.	0		
10	Q	... Considerable success. Yes, we have opened a Gate, not to our distant Homeland but to another plane. Yet it is a valuable step, after so many lives sacrificed and so many decades of hard work.	... Éxito considerable. Sí, hemos abierto una Puerta, no a nuestro Hogar pero a otro Plano. Es un paso importante, tras tantas vidas sacrificadas y décadas de esfuerzo...	11		
11	A	Skip a few pages and keep reading.	Pasar unas pocas páginas y seguir leyendo.	12		
11	A	Enough for now.	Suficiente por ahora.	0		
12	Q	... As we feared, some powerful entity has taken control of the Gate from the other side, we won't be able to close it while it lives. We will just build magical barriers around it, and then start all over with a new Gate. And after that one, as many more as we need until we gain understanding of...	...Como temíamos, alguna entidad poderosa ha tomado el control de la Puerta desde el otro lado y no podremos cerrarla mientras viva. Así que construiremos barreras mágicas a su alrededor y empezaremos a preparar una nueva Puerta. Y tantas Puertas com sean necesarias para nuestro objetivo.	13		
13	A	Read something else.	Leer otra parte.	1		
13	A	Enough for now.	Suficiente por ahora.	0		
20	Q	...We suspect an explosion between the Third and Second Gate weakened the barriers, which led to the Fourth Gate to expand before our Conjurers were ready. Details are no longer important, the fact is mighty creatures from the Ice Elemental Plane and from the White Abyss keep pouring out and we lost access to the Labs, Vaults and...	...Sospechamos que una explosión entre la Segunda y Tercera Puerta ha debilitado las barreras, y provocado que la Cuarta Puerta se expanda antes de que nuestros Conjuradores estuvieran preparados. Los detalles no importan, el caso es que criaturas del Plano del Hielo y el Abismo Blanco nos atacan, hemos perdido los laboratorios, el depósito, y...	21		
21	A	Skip a few pages and keep reading.	Pasar unas pocas páginas y seguir leyendo.	22		
21	A	Enough for now.	Suficiente por ahora.	0		
22	Q	... This 'Hidalix' creature and all its minions are now safely contained, but this fortress is of no use to us anymore. The other barriers will collapse in a matter of years, and we suspect the older Gates will bring even more dangerous planar outsiders. Time for the Forsaken to move once more. We take with us the knowledge of...	Esta criatura 'Hidalix' y sus siervos están contenidos, pero esta fortaleza ya no nos sirve para nada. Las otras barreras acabarán por romperse con los años, y tras ellas hay criaturas incluso más peligrosas. Es hora de que los Olvidados viajen de nuevo, y ahora llevamos con nostros el valioso conocimiento de...	23		
23	A	Read something else.	Leer otra parte.	1		
23	A	Enough for now.	Suficiente por ahora.	0		
