index	type	text	text_ES	Go To	conditions	actions
1	Q	Hello, adventurer. Be careful if you enter that cave...	Hola, aventurero. Ten cuidado si vas a esa cueva...	0	VariableEqual#where_is_giles,50	
1	Q	You... You found him, right?	Tú... Le encontraste, verdad?	15	"VariableEqual#where_is_giles,60;PlayerHasItem#2511"	
1	Q	Hello again. Please don't bring back the past.	Hola de nuevo. Por favor, no me recuerdes el pasado.	0	VariableGreater#where_is_giles,99	
1	Q	Hello, traveller. If you plan to go north into the forest, be careful with the wolves. They're dangerous.	Saludos, viajero. Si planeas adentrarte en el bosque hacia el norte, ten cuidado con los lobos. Son peligrosos.	2	PlayerIsLevel#2	
1	Q	Hello, traveller.[BLUE](the guard examines you and frowns)[] I wouldn't walk north into Sagar Forest if I were you. You're obviously a novice adventurer without the right equipment, and wolves will slaughter you. Hunt down a few goblins first, and equip yourself well.	Saludos, viajero. [BLUE](La mujer armada te examina y frunce el ceño)[]. Si yo fuera tú, no entraría en el bosque Sagar al norte. Se nota que eres un novato sin equipo, los lobos te devorarán. Caza unos cuantos goblins primero, y mejora tu equipo.	2		
2	A	Thanks, I will be careful.	Gracias, tendré cuidado.	0		
2	A	Have you seen someone called Adaon around here?	Has visto a alguien llamado Adaon por aquí?	3	VariableLower#want_letter_back,20	
2	A	You... You are Chea from New Garand, right? The fisherman girl? I am looking for Giles.	Tú... Tú eres Chea, de New Garand, ¿verdad? La hija de pescadores. Estoy buscando a Giles.	5	VariableEqual#where_is_giles,10	
3	Q	No, I am sorry. I haven't met your friend.	No, lo siento, no he visto a tu amigo.	4		
4	A	Not exactly my friend... Well, thanks anyways.	No es exactamente mi amigo... En fin, gracias.	0		
5	Q	Not this again... [BLUE](her face sombers)[] Other adventurers and bounty hunters have asked me before. I already told them. Giles died. He... died protecting me.	Otra vez no... [BLUE](su cara se ensombrece)[] otros aventureros y cazarrecompensas ya vinieron antes y me preguntaron. Giles murió... Para protegerme.	6		
6	A	If others already found you, why does Giles' father still not know about you?	Si otros ya te han encontrado antes, ¿Por qué el padre de Giles no sabe nada de tí?	7	VariableLower#tmp_asked_chea,1	SetVariable#tmp_asked_chea,1
6	A	You told your story before. Then tell it again. 	Ya contaste tu historia, dices. Pues cuéntala de nuevo.	8		
7	Q	Easy. The old Latimer doesn't pay for a dead son, just for a live one. So as soon as they knew he died, they forgot about the whole matter. You'll do the same thing.	Es muy sencillo. El viejo Latimer no paga por un hijo muerto, sólo por uno vivo. Así que cuando vieron que ya no había recompensa, se olvidaron del asunto. Tú harás lo mismo.	6		
8	Q	Very well, why not? [BLUE](she bites her lip)[]We loved each other, and we hated trade, fishing, and the old Varsilian traditions. So we decided to start a new life of adventure, together. We were very succesful. Maybe you heard of us even, we became famous when we defeated the troll king.	Muy bien, ¿pr qué no? [BLUE](se muerde el labio)[]Nos amábamos, y odiábamos el comercio, la pesca, y las viejas tradiciones Varsilias. Así que decidimos empezar una vida de aventuras, juntos. Tuvimos bastante éxito durante años. Quizá oyeras hablar de nosotros cuando derrotamos al rey Troll.	9		
9	A	You are Chea Trollgutter!? I want an autograph!	¿¡Eres Chea la Destripatrolls?! ¿Quiero un autógrafo!	10		
10	Q	It turns out that gutting fishes in New Garand docks was a great preparation for that. Anyhow, we ran out of luck. Strong monsters began raiding all northern Varsilia. Icylon and Ice Wolves. We tracked down their lair, a cave in Northern Sagar Forest, past the river.	Resulta que destripar pescados en el muelle de New Garand fue una buena preparación. Pero nuestra suerte se acabó. Icylons y Lobos de Hielo empezaron a asaltar las tierras del norte, y nosotros rastreamos su guarida, hasta encontrar una cueva en el Bosque Sagar Norte, pasado el rio.	11		
11	A	And what happened? There were too many?	¿Y qué ocurrió? ¿Eran demasiados?	12		
12	Q	No. We were wiping them out. But... Then we felt a cold wave, and heavy steps that made the whole cave tremble. Even with my experience, I panicked. Giles smiled, kissed me, and ordered me to run away, while he gained time. I ran out of the cave and... he never came out.	No, estábamos aniquilándolos. Pero entonces sentimos una ola de frío y unos pasos que hacían temblar la cueva. Yo entré en pánico. Giles me sonrió, me besó, y me dijo que saliera, que él ganaría tiempo. Pero nunca salió de allí.	13		
13	A	Maybe... I should go there and have a look. Sounds like the kind of stupid thing I get into, as of late.	Quizá... Debería ir allí y echar un vistazo. Suena como la clase de cosa estúpida que hago ultimamente.	14		
13	A	So, let me sum up, there is no reward already, and whatever is in there will probably kill me. I see no reason to go there.	Veamos, en resumen. Si voy allí, no hay recompensa alguna, y quizá muera. Me parece que no me interesa ir.	14		
14	Q	If you do, be careful. Please tell me if you find his remains, I'd like to know.	Si lo haces, por favor ten cuidado. Dime si encuentras sus restos, me gustaría saberlo.	0		SetVariable#where_is_giles,50
15	A	Yeah, I carry his bones with me. I should bring them to his father in New Garand.	Sí, llevo aquí sus huesos. Debería llevárselos a su padre en New Garand.	16		
15	A	None of your business.	No es asunto tuyo.	0		
16	Q	No wait, don't! Just let me bury him here. He loved the North. Latimer will not give you any reward, and you'll just break his heart. Instead, tell him he is alive. I will give you one of Giles' letters, so he will believe you.	No, espera, no hagas eso. Deja que yo le entierre aquí, el amaba el Norte. Su padre no te dará nada, y le destrozarás. En lugar de eso, dile que sigue con vida.Te daré una carta de Giles, su padre te creerá.	17		
17	A	You let him die in that cave, now you want me to lie to his father? Just leave me alone.	Le dejaste morir en aquella cueva, y ahora ¿quieres que mienta a su padre? Déjame en paz.	0		
17	A	Now, that sounds like a win-win. I get my reward, Latimer is happy, I simply can't reject that offer. Take the remains and give me the letter.	Bueno, parece que si hago eso, ganamos todos. Yo me llevo la recompensa por encontrar a Giles vivo, su padre se queda contento. No puedo rechazar algo así. Toma sus restos, y dame la carta.	18		
17	A	I don't know. That wouldn't be right. I see the good points in what you propose me, but... I am a honorable person, and can't lie to that man and take his money.	No sé. Eso no estaría bien. Veo las ventajas de lo que me propones, pero soy una persona de honor, no puedo mentir a Latimer y quedarme su dinero.	19		
18	Q	You are doing the right thing. He wrote this letter to his father, explaining why he left, but never sent it. Good luck, adventurer.	Has hecho lo correcto. Giles escribió esta carta a su padre, para contarle qué pasó, pero nunca la envió. Buena suerte, aventurero.	0		"SetVariable#where_is_giles,90;LoseItem#2511;GainItem#2512"
19	Q	I understand. But think it over, if you change your mind you know where to find me.	Comprendo. Pero piénsatelo, y si cambias de opinión, aquí estaré.	0		
