index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](The man looks at the stage, with more anger than actual interest)[] Don't bother me, I am busy. 	[BLUE](El hombre mira al escenario con más enfado que interés)[] No me molestes, estoy ocupado.	0	VariableLower#world_stage,10		
1	Q	I am glad that farce was a failure. Many of us would like to get rid of these scoundrels, but a majority of people is bewitched by the performances of Laertes.  With luck, he'll never return. [BLUE](He looks at you, thoughtfully)[]	Me alegro de que esa farsa haya terminado mal. Muchos en la ciudad nos queremos librar de estos parásitos, pero la mayoría de la gente adora a ese estúpido Laertes. Con un poco de suerte, no regresará jamás. [BLUE](Te mira, pensativo)[]	2	"VariableGreater#world_stage,10;VariableLower#play_result,2;VariableLower#world_stage,50"		
1	Q	Any news about that failure of an actor?	¿Alguna noticia acerca de ese actor fracasado?	5	VariableEqual#world_stage,110		
1	Q	[BLUE](The man pretends not remembering who you are)[] Don't bother me, I am busy. 	[BLUE](El hombre finge no saber quién eres)[] No me molestes, estoy ocupado.	0	VariableGreater#world_stage,110		
1	Q	You are a friend of those golden-skinned stinky foreigners. Now you even smell like them... Don't get close to me.	Eres amigo de esos apestosos extranjeros de piel dorada. Ahora incluso hueles como ellos. No te acerques.	0			
2	A	What's on your mind?	¿Qué quieres decir?	3			
2	A	I am out of here.	Me voy.	0			
3	Q	"[BLUE](He chooses his words carefully)[] I worry about that scum ever returning; so if he has died, I would like to receive proof of it. I would certainly offer a reward for his medallion. Now, if you excuse me... [BLUE](Before you can reply, the man leaves in long strides)[]"	[BLUE](Escoge sus palabras con cuidado)[] Me preocupa mucho que ese criminal regrese, así que si ha muerto, me gustaría recibir pruebas de su muerte. Ofrecería una recompensa por su medallón. Ahora discúlpame. [BLUE](Antes de que puedas responder, el hombre se marcha con grandes zancadas)[]	0			
5	A	Indeed. He will never return to New Anthur. Here is his medallion.	Pues sí. Jamás regresará a New Anthur. Aquí está su medallón.	10	PlayerHasItem#4009		
5	A	Indeed. He will never return to New Anthur.	Pues sí. Jamás regresará a New Anthur. Aquí está su medallón.	20	PlayerHasntItem#4009		
5	A	Talking to you was a mistake. Goodbye.	Hablar contigo ha sido un error. Adiós.	0			
10	Q	Don't say a word! I don't want to know of any details. After those bandits leave, I'll be able to perform my own plays. Here is a reward for your efforts, but make sure you never talk to me again... 	¡No me digas más! No quiero saber detalles, lo único que me importa es que pronto podré representar mis propias obras. Esta es tu recompensa, pero no vuelvas a hablar conmigo nunca...	0		"LoseItem#4009;GainGold#1000;GainXP#200;SetVariable#world_stage,200"	
20	Q	"I need evidence; for all I know, Laertes could show up any moment with that stupid smile."	"Necesito pruebas; por lo que yo sé, Laertes podría aparecer en cualquier momento con esa estúpida sonrisa."	0			
