index	type	text	text_ES	Go To	conditions	actions
1	Q	Я тебя слушаю, мой друг.	port	16	NPCisFollower#	
1	Q	[BLUE](молодая полуголая девушка с метвецки бледной кожей, сидела на камне у берега)[] Значит ты вернулся. Рада снова тебя видеть, мой друг.	port.	14	"VariableEqual#barge_attack,10"		
1	Q	[BLUE](молодая полуголая девушка с метвецки бледной кожей, сидела на камне у берега с интересом поглядывая на вас)[] Давненько я не видела на этой барже новые лица, рада с тобой познакомиться. Но советую тебе не задерживаться здесь надолго и быть очень осторожным.	port.	2		
2	A	Надеюсь, ты не одна из тех тварей, маскирующихся под людей?	port.	3		
3	Q	Ты имеешь ввиду этих гадких перевёртышей? Нет, конечто, я обычный человек... ну в какой-то мере обычный.	port.	4		
4	A	Кто же ты тогда и что делаешь в этом проклятом месте?	port.	5		
5	Q	Столько много времени я уже здесь нахожусь, что уже забыла, кем я была и как попала в это место. В памяти лишь остались обрывки о том, что я была дочерью богатого господина - хозяина этой баржи, и о сделке, которую он заключил с каким-то могущественным существом, итогом её стало проклятие, обрушевшееся на всё, чем владел мой отец. Из-за проклятия я и прикована к этому месту.	port.	6		
6	A	Я убил огромное чудовище, что обитало здесь, возможно, проклятие разрушено.	port.	7		
7	Q	Рада слышать подобную весть, несомненно, ты великий герой, раз одержать эту победу! Но даже если проклятия больше нет, мне все равно уже некуда податься.	port.	8		
8	A	Да, это печально, но я вернусь, чтобы снова тебя навестить.	port.	12	hasFollower#	
8	A	Ты могла бы отправиться со мной, помочь мне в моих приключениях.	port.	9	"hasNoFollower#"	"NPCFollow#"
9	Q	Хм, а почему бы и нет? На самом деле это явно лучше, чем просидеть здесь на месте ещё одну сотню лет. Отправляемся в путь, мой новый друг!	port.	11		
11	A	Рад стать твоим другом.	port.	0		"SetVariable#barge_attack,10"
12	Q	Буду ждать тебя, мой новый друг!	port.	13		
13	A	Рад стать твоим другом.	port.	0		"SetVariable#barge_attack,10"
14	A	Я тебя тоже рад видеть.	port.	0	hasFollower#	
14	A	Чтобы не сидеть тебе здесь одной, ты могла бы отправиться со мной, помочь мне в моих приключениях.	port.	15	"hasNoFollower#"	"NPCFollow#"
15	Q	Хорошая идея, это лучше, чем просидеть здесь на месте ещё одну сотню лет. Отправляемся в путь, мой новый друг!	port.	0		
16	A	Ничего, давайте двигаться дальше.	port.	0		
16	A	Мне сейчас не нужна твоя компания. Спасибо за помощь, увидемся снова позже.	port.	17		
16	A	Пожалуйста, подвинься немного, ты стоишь на пути.	port.	18		
16	A	Эй, а ты владеешь магией?	port.	19		
17	Q	Чтож, ты знаешь, где меня искать, если захочешь снова меня увидеть, мой друг.	port.	0		"NPCStopFollowing#;NPCDespawn#drowned"
18	Q	Конечто.	port	0		NPCMoveRandom#
19	Q	Конечто, могу телепортировать нас, куда хочешь.	port	0		Teleport#
