index	type	text	text_ES	Go To	conditions	actions
1	Q	The Eye of Tol is now spent, gone forever. Probably a good thing, considering its powers.	El Ojo de Tol ha sido destruido completamente. Posiblemente eso es bueno, teniendo en cuenta sus poderes.	0	VariableGreater#shards_fate,22	
1	Q	"The surface of the mirror ripples as if it was liquid, a deep pool of darkness gaping in front of you. You have no idea how to use the Eye of Tol yourself; probably your Grandfather's Illusion can help."	La superficie del espejo se agita formando ondas como si fuera líquida. Es como un insondable estanque de oscuridad, abierto frente a tí. No tienes ni idea de cómo usar el Ojo de Tol, posiblemente la ilusión de tu abuelo pueda ayudarte.	0	VariableEqual#shards_fate,22	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]11 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]11 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,21	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]10 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]10 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,20	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]9 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]9 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,19	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]8 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]8 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,18	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]7 of the Eye of Tol shards[]. It is yet black and reflects nothing on its surface.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]7 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,17	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]6 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]6 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,16	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]5 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]5 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,15	
1	Q	Before you stands an elegant bronze mirror frame, probably of Imperial manufacture. The metal has turned green after many years. The frame is currently holding [BLUE]4 Eye of Tol shards[]. They seem to hum with a strange energy.	Ante tí se alza un elegante marco de espejo fabricado en bronce, posiblemente de la época imperial. Los años han vuelto el metal verdoso. Has colocado en el marco [BLUE]4 fragmentos del Ojo de Tol[]. Ocasionalmente parecen vibrar juntos.	2	VariableEqual#shards_fate,14	
