index	type	text	text_ES	Go To	conditions	actions	
1	Q	Magnificent, my friend. This will suffice to create a shield for the Baron, and another one for you.	Magnífico, amigo mío. Esto es suficiente para hacer dos escudos, uno para el Barón y otro para tí.	20	"VariableEqual#shield_mind,20;PlayerHasItems#1015,4"	"SetVariable#shield_mind,100;LoseItems#1015,4;GainXP#1200;IncVariable#REP_town_new_anthur,2;GainItem#192"	
1	Q	"[BLUE](He puts on his monocle and examines the red flowers with care)[]. Exceptional. Just as the old text said, it can shield the mind from magic. The first one goes to you; the Baron can now send an expedition to find more Tesur."	"[BLUE](Se pone el monóculo e inspecciona las flores rojas con cuidado)[]. Excepcional. Tal y como dice el libro, sirve para proteger la mente de la magia. La primera es para tí, amigo mío; el Barón enviará una expedición al sur para conseguir más Tesur."	10	"VariableEqual#shield_mind,10;PlayerHasItems#2105,3"	"SetVariable#shield_mind,20;LoseItems#2105,3;GainXP#500;IncVariable#REP_town_new_anthur,2;GainItem#5025"	
1	Q	Adventurer, do you have a moment? I am Jachimo, master crafter from Whitetower, currently employed by the Baron of New Anthur.	Aventurero, tienes un momento? Soy Jachimo, maestro artesano de Whitetower, al servicio del Barón de New Anthur.	2	VariableLower#shield_mind,10		
1	Q	Greetings, please remember to bring me those [BLUE]three Tesur flowers[].	Saludos. Por favor no olvides traerme [BLUE]tres flores de Tesur[].	0	VariableEqual#shield_mind,10		
1	Q	Greetings, please remember to bring me those [BLUE]four chitin carapaces[].	Saludos. Por favor no olvides traerme [BLUE]cuatro caparazones de quitina[].	0	VariableEqual#shield_mind,20		
1	Q	I'm glad to see you again.	Me alegra verte de nuevo.	20			
2	A	Sorry but not right now, I'll talk to you another time.	Lo siento pero ahora mismo no, ya hablaremos en otro momento.	0			
2	A	What is your job exactly?	¿Cuál es exáctamente tu tarea?	3			
3	Q	The Baron wants to shield his troops from mental attacks such as paralysis, so he hired me. Unfortunately, I am a good artisan and alchemist, but despite being Thuramian I am not a magician. I've not been able to provide the Baron with anything useful so far. However...	El Barón quiere proteger a sus tropas de los ataques mentales, por ejemplo la parálisis, y por eso me ha contratado a mí. Soy un buen artesano y alquimista, pero pese a ser Thuramio, no soy mago. No he conseguido hasta ahora nada útil para el Barón. Pero... 	4			
4	A	Is this the part when you ask me to bring you some weird thing from a place in which I'll probably die?	¿Es ahora cuando me pides que vaya a buscar una cosa rara en un lugar en el que seguramente me matarán?	5			
5	Q	"... Well, to tell the truth, the other adventurers haven't returned. What I need is this. [BLUE](He shows you a drawing of a pink flower)[]. It is a rare desert flower called Tesur, usually found near rocky desert areas; with three of them I might be able to distill a potion. "	"... Para ser sincero, los otros aventureros no han vuelto. Lo que necesito es esto. [BLUE](Te enseña un dibujo de una flor rosada)[] Se llama Tesur y es una rara especie del desierto, más frecuente en las zonas rocosas; necesitaría tres para destilar una poción."	6			
6	A	Sure, if I ever find three of those in a desert, I'll be back.	De acuerdo, si encuentro tres de esas en un desierto, volveré.	0		SetVariable#shield_mind,10	
6	A	Deserts are very far away to the south. It may take me a very long time to get there, and back again. On the other hand, maybe I could board a ship to New Garand... But those are expensive.	"Los desiertos están lejos, al sur. Me puede llevar mucho tiempo ir allí y volver; por otro lado podría tomar un barco a New Garand, pero son muy caros..."	7			PER#3
7	Q	I see... Yes, time is golden, as they say. Here you have, this should cover part of the travelling expenses. Remember, I need three Tesur flowers.	Ya veo... El tiempo es oro, como suele decirse. Aquí tienes algo de dinero, debería cubrir parte de los gastos. Recuerda, necesito tres flores de Tesur.	0		"SetVariable#shield_mind,10;GainGold#150"	
10	A	Good, this should be useful, and the Baron will be pleased.	Bien, esto parece muy útil, y el Barón estará satisfecho.	11			
11	Q	Unfortunately, he isn't. He also wants me to build shields for his men that have a similar effect.  With Tesur flowers, I can't do that.	Por desgracia, no lo está. Quiera que fabrique escudos para sus hombres, que tengan un efecto similar. Con flores de Tesur es imposible.	12			
12	A	So what would you need, then?	Y ¿Qué necesitarías?	13			
13	Q	I have heard about certain worm-like underground creatures with hard shells, which are immune to such powers. Maybe, if you could bring me [BLUE]four carapaces[]... 	He oido hablar de criaturas subterráneas, con aspecto de gusano y duros caparazones, que son inmunes a tales poderes. Quizá, si pudieras traerme [BLUE]cuatro caparazones[]... 	14			
14	A	Wow, giant worms. This has to be the most disgusting request anyone ever made to me. I really thank you for this.	Wow, gusanos gigantes. Esa es la misión más asquerosa que me han pedido nunca. Te lo agradezco.	15			
15	Q	Remember, they're just like seafood, but overgrown and dry.	Recuerda, es igual que el marisco, pero gigante y de tierra.	16			
16	A	Thanks for ruining seafood for me! Any idea where such creatures can be found?	¡Gracias por arruinarme el marisco! ¿Tienes idea de dónde puedo encontrar a esas criaturas?	17			
17	Q	No, but they're part of the local tales and legends, so not very far from New Anthur.	No, pero aparecen en las historias y leyendas locales, así que no muy lejos de New Anthur.	0			
20	A	I was wondering, can you maybe prepare more Potions of Clarity for me?	Me preguntaba si puedes perparar más Pociones de Claridad para mí.	21			
20	A	Goodbye, friend.	Adiós, amigo.	0			
21	Q	Certainly, friend. Just bring me [BLUE]three Tesur flowers and 150 gold[] and I'll brew one for you.	Claro, amigo. Símplemente tráeme [BLUE]tres flores de Tesur y 150 monedas[], y te prepararé una.	22			
22	A	I have it right here. Please do it.	Lo tengo todo aquí. Toma, prepara una poción.	23	"PlayerHasItems#2105,3;PlayerHasGold#150"	"LoseItems#2105,3;LoseGold#150;GainItem#5025"	
22	A	Alright, understood.	De acuerdo, entendido.	0			
23	Q	Put it to good use!	¡Espero que le des buen uso!	0			
