index	type	text	text_ES	Go To	conditions	actions
1	Q	I suspected those wild ones were indeed more than meets the eye, but Sister Calvin wouldn't listen. A tragic story, my friend. And with the knowledge you bring, we'll surely do something to confront the werewolves.	sospechaba que esos salvajes son más de lo que parece, pero la Hermana Calvin no quiso escucharme. Una historia trágica, amigo mío, pero con lo que nos has contado podemos planear como acabar con esas bestias.	50	"VariableGreater#moon_children,9;VariableLower#moon_children,100;PlayerHasItem#2611"	"SetVariable#moon_children,100;IncVariable#REP_the_three,2;IncVariable#REP_ilmara,3;GainXP#1500;LoseItem#2611"
1	Q	"Welcome again. I guess you still have no news of Sister Calvin; I'll pray for her."	"Bienvenido de nuevo. Supongo que aun no hay noticias de la Hermana Calvin; Rezaré por ella."	2	VariableEqual#moon_children,10	
1	Q	[BLUE](The man bows down)[] Welcome to this humble shrine. May the Three guide your steps. 	[BLUE](El hombre hace una reverencia)[] Bienvenido a esta humilde capilla. Que Los Tres guíen tus pasos.	2		
2	A	I require healing	Necesito curación.	3		
2	A	Can you answer some questions about The Three?	¿Puedes responderme algunas preguntas acerca de Los Tres?	8		
2	A	Can I be of service to The Three?	¿Hay algún trabajo que pueda hacer para Los Tres?	21	VariableLower#moon_children,10	
2	A	I must be on my way.	Debo marcharme.	0		
3	Q	I can heal you, in exchange of a small contribution to our Shrine. 	Puedo curarte, a cambio de una pequeña contribución a esta Capilla. 	4		
4	A	Here is a small donation. Please heal me. [BLUE](Pay 25 gold coins, be healed for 25hp)[]	Aquí tienes un pequeño donativo. Por favor cúrame. [BLUE](Pagar 25 monedas, curar 25hp)[]	5	PlayerHasGold#25	"GainHP#25;LoseGold#25"
4	A	I wish to make a large donation then. Please heal me. [BLUE](Pay 60 gold coins, be healed for 80hp)[]	Voy a hacer una buena donación. Por favor cúrame. [BLUE](Pagar 60 monedas, curar 80hp)[]	5	PlayerHasGold#60	"GainHP#80;LoseGold#60"
4	A	Not at the moment thanks. I better be on my way.	Ahora no, gracias. Mejor me marcho.	0		
5	Q	By the Power of Arbenos, Thelume and Nivaria, be healed of your wounds!	¡Por el poder de Arbenos, Thelume y Nivaria, que tus heridas se cierren!	0		
8	Q	But of course. Please tell me what you wish to know.	Por supuesto. Dime en qué deseas saber.	9		
9	A	Undead seem to be the great enemy of the Church of the Three, and in particular Tolassians. But who was Tol? And what's the deal with those tombs?	Los muertos vivientes son el gran enemigo de la Iglesia de Los Tres, y en particular los Tolassians. Pero ¿Quién era Tol? Y ¿Qué ocurre con esas tumbas?	10	VariableLower#know_tol,1	
9	A	I expected a large temple, not a street shrine.	Esperaba encontrar un gran templo, no una capilla en las calles.	18		
9	A	Everybody here worship The Three, or there are other cults and priests?	¿Todo el mundo adora a Los Tres?¿O hay otras religiones y templos?	20		
10	Q	"As you probably know, Tol is a dead God, which disappeared from Varannar centuries before the Empire arrived. Tolassians were a civilization which we still largely ignore; all we have now are those underground 'tombs', no castles, towns nor palaces."	Como seguramente ya sabes, Tol es un Dios Muerto desde siglos antes de que el Imperio llegase a Varannar. Sus seguidores, los Tolassian, son una civilización misteriosa. Sólo hemos encontrado subterráneos, nada de ciudades o castillos.	11		
11	A	Can't those tombs be destroyed? The Church of the Three is quite powerful.	¿No pueden destruirse esas tumbas? La Iglesia de Los Tres es muy poderosa.	12		
11	A	I don't feel like talking about undead in such a beautiful town.	No me apetece hablar de tumbas en una ciudad tan bonita.	0		
12	Q	It can't be done, at least we don't know how yet. There's something in those evil places that makes the undead surge endlessly. And below each tomb there are thousands of corpses. Unfortunately, they seem to be waking up more quickly as of late.	No es posible, o al menos de momento no sabemos cómo. Hay algo en esos lugares maléficos que hace que los muertos sigan levantándose, y bajo cada tumba hay miles de cadáveres. Lo peor es que parece que cada vez están más activos.	13		"SetVariable#know_tol,1;GainXP#300"
13	A	A zombie apocalypse... Those stories are quite popular. Anyways, going back to Tol. How did he die?	Un apocalipsis zombie... Esas historias están muy de moda. De todos modos, volviendo a Tol, ¿Cómo murió?	14		
