index	type	text	text_ES	Go To	conditions	actions
1	Q	I have nothing better to do, and I write all sorts of crap. Do I really have nothing to do?!	¿po?	0	VariableEqual#philosophy,52	"SetVariable#philosophy,10"	
1	Q	Remember, or you'll forget!	¿po?	0	VariableEqual#philosophy,51	"IncVariable#philosophy,1"	
1	Q	And when I want to listen to smart people, I just start talking.	¿po?	0	VariableEqual#philosophy,50	"IncVariable#philosophy,1"	
1	Q	You know, I'd love to be a better person, but it can't get any better.	¿po?	0	VariableEqual#philosophy,49	"IncVariable#philosophy,1"	
1	Q	The Deep Cauldron know? I fell down.	¿po?	0	VariableEqual#philosophy,48	"IncVariable#philosophy,1"	
1	Q	If you didn't know, I'm very good in bed, so I'm not going to get up again.	¿po?	0	VariableEqual#philosophy,47	"IncVariable#philosophy,1"	
1	Q	You won't be able to say anything but words.	¿po?	0	VariableEqual#philosophy,46	"IncVariable#philosophy,1"	
1	Q	Learn from my example - be like me, or you'll be like you.	¿po?	0	VariableEqual#philosophy,45	"IncVariable#philosophy,1"	
1	Q	When there's no fucking way to say it, there's no fucking way to say it.	¿po?	0	VariableEqual#philosophy,44	"IncVariable#philosophy,1"	
1	Q	And the one who did not swim did not drown, and the one who drowned - drowned.	¿po?	0	VariableEqual#philosophy,43	"IncVariable#philosophy,1"	
1	Q	Remember, no matter how many times you fell, no one counted at all.	¿po?	0	VariableEqual#philosophy,42	"IncVariable#philosophy,1"	
1	Q	Rhöneis Plains know? I smoothed.	¿po?	0	VariableEqual#philosophy,41	"IncVariable#philosophy,1"	
1	Q	In fact, it's easy to hide feelings, but hiding a boner is much more difficult.	¿po?	0	VariableEqual#philosophy,40	"IncVariable#philosophy,1"	
1	Q	If your good friend is hit by a wagon, then don't talk to him anymore, because good friends don't lie on the road.	¿po?	0	VariableEqual#philosophy,39	"IncVariable#philosophy,1"	
1	Q	Know that a weak man is looking for excuses, and a real man has prepared them in advance.	¿po?	0	VariableEqual#philosophy,38	"IncVariable#philosophy,1"	
1	Q	If you suddenly don't know what to do, do as you know.	¿po?	0	VariableEqual#philosophy,37	"IncVariable#philosophy,1"	
1	Q	Everyone can throw a stone at a wolf, but not everyone can throw a wolf at a stone.	¿po?	0	VariableEqual#philosophy,36	"IncVariable#philosophy,1"	
1	Q	And no one will understand you like no one.	¿po?	0	VariableEqual#philosophy,35	"IncVariable#philosophy,1"	
1	Q	The only thing that always supports you is your spine.	¿po?	0	VariableEqual#philosophy,34	"IncVariable#philosophy,1"	
1	Q	Did you know that three words are two words?	¿po?	0	VariableEqual#philosophy,33	"IncVariable#philosophy,1"	
1	Q	Remember, we are responsible for those to whom we pour.	¿po?	0	VariableEqual#philosophy,32	"IncVariable#philosophy,1"	
1	Q	Undermother know? I'm the father.	¿po?	0	VariableEqual#philosophy,31	"IncVariable#philosophy,1"	
1	Q	If you're not looking for the easy way out, come find me – I make things more complicated.	¿po?	0	VariableEqual#philosophy,30	"IncVariable#philosophy,1"	
1	Q	Good manners are for a good person, and a good person won't keep bad air in himself.	¿po?	0	VariableEqual#philosophy,29	"IncVariable#philosophy,1"	
