progress	description	description_ES	actions
0	Королевская Воля	po	
10	Я встретился с принцессой Бернадет, которая отвела меня в королевский замок.	po.	
12	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
15	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
16	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
17	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
18	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
19	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
20	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
21	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
22	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
23	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
24	Я должен разобраться с кучей преступников, чтобы пройти проверку принцессы Бернадет.	po.	
25	Я разобрался с преступниками, и прошёл проверку принцессы Бернадет.	po.	
27	Я разобрался с преступниками, и прошёл проверку принцессы Бернадет.	po.	
30	Я оказался в тронном зале замке, где должен с кем-то встретиться.	po.	
35	Я должен поговорить с Архонтом, чтобы узнать про план принцессы Бернадет.	po.	
40	Я должен встретиться с Архонтом и пиратами на западе Драконьего Гнезда у устья реки.	po.	
42	Я должен встретиться с Архонтом и пиратами на западе Драконьего Гнезда у устья реки. Принцесса Бернадет велела не говорить принцу Алариону о её планах, но всё же стоит передать ему эту важную информацию, чтобы помочь его делу.	po.	
45	Я должен встретиться с Архонтом и пиратами на западе Драконьего Гнезда у устья реки, но попытаться избежать участия в нападении на сына губернатора.	po.	
47	Я должен помочь Архонту разобраться с пиратами.	po.	
50	Мне необходимо добраться до разрушенного маяка на Пустнынном мысу, чтобы переправиться на остров.	po.	
55	Я должен встретиться с Аларионом в Королевском лесу.	po.	
57	Я избежал участия в нападении на сына губернатора, теперь я должен встретиться с Аларионом в Королевском лесу.	po.	
60	Я и Архонт должны незаметно добраться до мятежников и разобраться с ними.	po.	
62	Я и Архонт должны добраться до мятежников и разобраться с ними.	po.	
63	Я помог принцессе Бернадет разобраться с мятежникам, теперь необходимо с ней поговорить.	po.	
64	Мне необходимо найти магистра Каледора в Истриле, чтобы забрать маскировочные плащи, в его поиске мне сможет помочь начальник стражи.	po.	
66	Мне необходимо найти магистра Каледора в Истриле, чтобы забрать маскировочные плащи, я смогу его найти на востоке за городом у ферм.	po.	
68	Мне необходимо передать маскировочные плащи Алариону, я смогу связаться с ним, воспользовавшись его монетой.	po.	
70	Я должен встретиться с Аларионом в Королевском лесу, после того, как он спасёт Дариэля.	po.	
72	Я должен встретиться с Аларионом и Хавис ночью у входа в таверну "Весёлый прохожий".	po.	
75	Мне необходимо добраться до комнаты, где держат Дариэля.	po.	
77	Я должен разобраться с Архонтом, чтобы попасть в комнату, где держат Дариэля.	po.	
80	Я должен освободить Дариэля.	po.	
82	Я должен встретиться с принцессой Бернадет.	po.	
85	Мне необходимо проследовать к источнику шума.	po.	
87	Я должен вернуться в свою комнату.	po.	
95	Я должен встретиться с Аларионом в Королевском лесу.	po.	
97	Я должен встретиться с Аларионом ночью у старого королевского замка на севере Королевского леса.	po.	
100	Я помог принцессе Бернадет решить её проблему с Аларионом.	po.	
110	Я согласился и дальше помогать принцу Алариону в его мятежном деле.	po.	
