index	type	text	text_ES	Go To	conditions	actions
1	Q	Hey there. Watch out, those damn mirmeks keep getting closer, no matter how many I hunt down.	Ten cuidado, esos malditos mirmek siguen acercándose. No importa a cuantos he cazado, siempre hay más.	20	VariableLower#ant_hunt,10	
1	Q	Good hunt, friend.	Que tengas buena caza, amigo.	0	VariableLower#ant_hunt,100	
1	Q	A mirmek nest in the outside is something I have never seen, or even heard about. They're always deep in their caves, as their hatchlings are vulnerable. Something is wrong here.	Un nido mirmek en el exterior es algo que me parece imposible. Siempre están en las cuevas más profundas, para proteger a las crias indefensas. Algo no anda bien.	30	VariableLower#wild_mystery,10	
1	Q	Hello again. Safe hunting.	Hola de nuevo. Que tengas buena caza.	0		
20	A	Maybe I could help	Quizá pueda ayudar.	21		
20	A	I'll be careful, thanks.	Tendré cuidado, gracias.	0		
21	Q	Well, ask Sheryl, she's the one in charge around here.	Bueno, pregúntale a Sheryl, ella es la que está al mando.	0		
30	A	Well, there's always a first time, I guess.	Bueno, siempre hay una primera vez, supongo.	31		
31	Q	"No, that's not the way of beasts, they're not wimshical as we are; they follow instincts. It's the same thing I heard in Rhöneis."	No, así no funcionan las bestias, no son caprichosas como nosotros: se guían por instinto. Es lo mismo que escuché en Rhöneis.	32		
32	A	I'm busy now, we better talk another time.	Ahora estoy ocupado, mejor hablamos en otro momento.	0		
32	A	Rhöneis?	Rhöneis?	33		
33	Q	Yes, it is a small town west, crossing the Bluemist. Apparently, the Coyotes are attacking them in organized packs. It is unnatural.	Sí, es un pequeño pueblo al oeste, cruzando el rio. Los coyotes están atacando en manadas organizadas, es algo antinatural.	34		SetVariable#wild_mystery,10
34	A	You are a veteran ranger, so any ideas, or anything strange you've seen recently?	Tú eres un explorador veterano, así que, ¿tienes alguna idea, o has visto algo inusual recientemente?	35		
34	A	Certainly, all of this is very strange. Goodbye.	La verdad, todo esto es muy raro. Adiós.	0		
35	Q	I really don't know, but there was a band of those disgusting grassheads. Maybe they have something to do with it. I wouldn't be surprised.	Pues no lo sé. Pero hace poco pasó por aquí un grupo de cabezahierbas. A lo mejor tienen algo que ver, no me extrañaría.	36		
36	A	Grassheads? You mean the Varannari?	¿Cabezahierba? ¿Te refieres a los Varannari?	37		
37	Q	I mean those disgusting thieving  green scum, yes. It's no mystery I don't like them much, but I'm not the only one. 	Me refiero a esos malditos y asquerosos ladrones verdes, si. No es ningún misterio que no me gustan mucho, pero no soy el único.	0		
