index	type	text_english	text_ES	Go To	conditions	actions
1	Q	I don't want anything to do with you. Go away.		0	VariableGreater#tearalove,109	
1	Q	[BLUE](Theara turns away from everyone and flips through the pages of the book. You can see how her shoulders sometimes shudder. Perhaps she shouldn't be disturbed just yet.)[]		0	VariableEqual#TMP_teara,1	
1	Q	Thank you for giving me the opportunity to be alone for a while...Tell me...Can you do one request for me?		17	VariableEqual#tearalove,11	
1	Q	[BLUE](This female guard seems completely immersed in her own thoughts.)[]		11	PlayerHasItem#7605	
1	Q	Greetings. Remember, there is a reward for hunting down ten coyotes.	Saludos. Recuerda que hay una recompensa por eliminar a diez coyotes salvajes.	0	"VariableGreater#coyote_hunt,9;VariableLower#coyote_hunt,20"	
1	Q	Well done. Now our woodsmen and farmers will feel safer, thanks to you. Now please choose your reward. You can take a steel longsword, or a small emerald.	Bien hecho, ahora los viajeros podrán sentirse a salvo. Puedes escoger tu recompensa. ¿Prefieres una espada larga de acero, o una esmeralda pequeña?	9	"VariableGreater#coyote_hunt,19;VariableLower#coyote_hunt,100"	"GainXP#240;IncVariable#REP_town_rhoneis,3;IncVariable#REP_ilmara,3;SetVariable#coyote_hunt,100"
1	Q	Greetings, adventurer. If you seek more jobs, please check the Town Hall.	Saludos, aventurero. Si buscas más tareas, puedes mirar en el ayuntamiento.	0	VariableEqual#coyote_hunt,100	
1	Q	Welcome to Rhöneis and to the holy land of Ilmara. May the Three bless you. [BLUE](The woman bows her head slowly)[]	Bienvenido a Rhöneis y a la tierra sagrada de Ilmara. Que los Tres te bendigan.	2		
2	A	Thanks! I have to go.	Gracias! Me tengo que marchar.	0		SetVariable#salute_rhoneis,1
2	A	Hello, I was wondering if you have any jobs for a wandering adventurer like myself.	Hola, me preguntaba si hay alguna misión para un aventurero como yo.	3		SetVariable#salute_rhoneis,1
2	A	May the Three guide your every step.[BLUE](Bow your head respectfully)[]	Que los Tres guíen tus pasos.	4	VariableLower#salute_rhoneis,1	"SetVariable#salute_rhoneis,1;IncVariable#REP_town_rhoneis,3"
