index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	What's the plan, boss?	¿Cuál es el plan, jefe?	30	NPCisFollower#		
1	Q	[BLUE](Furulipo sees the Solar Relic in your hands. He freezes. His eyes widen. For the first time since you've known him, the hardened knight looks vulnerable)[] You... you did it? *reaches out with trembling hands, takes the Relic* [BLUE](He closes his eyes. A faint golden light pulses from the medallion)[] I can feel it. After ten years. Its warmth. My brother's warmth. *voice breaks* ...Thank you.	[BLUE](Furulipo ve la Reliquia Solar en tus manos. Se congela. Sus ojos se abren de par en par. Por primera vez desde que lo conoces, el endurecido caballero parece vulnerable)[] Tú... ¿lo lograste? *extiende las manos temblorosas, toma la Reliquia* [BLUE](Cierra los ojos. Una tenue luz dorada pulsa desde el medallón)[] Puedo sentirla. Después de diez años. Su calidez. La calidez de mi hermano. *la voz se quiebra* ...Gracias.	2	VariableGreater#crusaders_oath,69;HasItem#11070	SetVariable#crusaders_oath,100;LoseItem#11069;LoseItem#11070;GainItem#11071	
1	Q	The [BLUE]Crusader's Crypt[] is in the frozen mountains nearby. Find the entrance. Kill the Death Knight. Bring me the [RED]Solar Relic[]. I know it's a lot to ask. But I wouldn't ask if there was any other way.	La [BLUE]Cripta del Cruzado[] está en las montañas heladas cercanas. Encuentra la entrada. Mata al Caballero de la Muerte. Tráeme la [RED]Reliquia Solar[]. Sé que es mucho pedir. Pero no pediría si hubiera otra forma.	0	VariableGreater#crusaders_oath,49;VariableLower#crusaders_oath,70		
2	A	It's done. Your brother... he fought well.	Está hecho. Tu hermano... luchó bien.	3			
2	A	I showed him the medallion. He hesitated.	Le mostré el medallón. Dudó.	4			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	*nods, eyes closed* He always was the best of us. Even corrupted, even in death... some part of him was still a knight. Still my brother. *opens eyes, wipes them roughly* Enough mourning. I've mourned for ten years. Now it's time for the truth. SIT. What I'm about to tell you... will change everything.	*asiente, ojos cerrados* Siempre fue el mejor de nosotros. Incluso corrupto, incluso en la muerte... alguna parte de él seguía siendo un caballero. Seguía siendo mi hermano. *abre los ojos, se los limpia bruscamente* Basta de luto. He llorado durante diez años. Ahora es hora de la verdad. SIÉNTATE. Lo que estoy a punto de contarte... lo cambiará todo.	5			
4	Q	*sharp intake of breath* He recognized it? Then... some part of him was still in there. Still fighting. After ten years of torment. *fist clenches* What they did to him... what they did to ALL of us... [RED]will be answered.[] But first... the truth. I swore an oath and I keep my oaths. Sit down.	*respiración entrecortada* ¿Lo reconoció? Entonces... alguna parte de él seguía ahí. Luchando. Después de diez años de tormento. *aprieta el puño* Lo que le hicieron... lo que nos hicieron a TODOS... [RED]será respondido.[] Pero primero... la verdad. Hice un juramento y cumplo mis juramentos. Siéntate.	5			
5	Q	*sits heavily, the Relic glowing softly in his hands* You've earned the truth. All of it. No more riddles. No more half-answers. *deep breath* My Order was called the [RED]Solar Crusade[]. We were created for one purpose: to protect certain bloodlines. Not royal blood. Not noble blood. Something far older. Something connected to the very FOUNDERS of this world. *looks at you* The Muud'ari.	*se sienta pesadamente, la Reliquia brillando suavemente en sus manos* Te has ganado la verdad. Toda. Sin más acertijos. Sin más medias respuestas. *respira profundo* Mi Orden se llamaba la [RED]Cruzada Solar[]. Fuimos creados con un solo propósito: proteger ciertos linajes. No sangre real. No sangre noble. Algo mucho más antiguo. Algo conectado a los propios FUNDADORES de este mundo. *te mira* Los Muud'ari.	6			
6	A	The Muud'ari? The ancient civilization?	¿Los Muud'ari? ¿La antigua civilización?	7			
6	A	What does that have to do with me?	¿Qué tiene que ver eso conmigo?	8			
6	A	I should go. (Leave)	Debo irme. (Salir)	0			
7	Q	Not just a civilization. A PEOPLE. And they didn't disappear. Not entirely. Their blood lives on. In scattered descendants across Varannar. People who don't know what they are. People who live ordinary lives without any idea that their veins carry the power to reshape the world. *dead stare at you* People like YOU.	No solo una civilización. Un PUEBLO. Y no desaparecieron. No del todo. Su sangre vive. En descendientes dispersos por Varannar. Personas que no saben lo que son. Personas que viven vidas ordinarias sin idea de que sus venas llevan el poder de remodelar el mundo. *mirada fija en ti* Personas como TÚ.	9			
