progress	description	description_ES	actions
0	A Mad Wizard	Un Mago Enfurecido	
10	Janod, in Kingsbridge, was robbed by Adaon and now demands his [BLUE]Orb of Shadows[] to be returned, or be paid [BLUE]10,000 coins[]. Adaon sold the artifact to some stranger in the New Garand sewers. Until I do this, I may be considered a criminal by the Kingdom of Thuram and the Wizards' Guild.	Adaon robó al mago Janod en Kingsbridge, que ahora exige que le sea devuelto su [BLUE]Orbe de las Sombras[], o bien que se le paguen [BLUE]10,000 monedas[]. Adaon vendió el artefacto a un desconocido en las alcantarillas de New Garand. Hasta que haga ésto, seré considerado un criminal por el Reino de Thuram y el Gremio de Magos.	
20	I found the man which bought the Orb of Shadows from Adaon: it's Butterfingers, in New Garand Sewers. Unfortunately the orb is inside a room where lies some danger, a thief there has killed Butterfingers' guards and remains locked.	He encontrado al hombre que compró el Orbe de las Sombras a Adaon: Butterfingers el comerciante, en las alcantarillas de New Garand. Lamentablemente, el orbe se encuentra en un almacén donde un ladrón enloquecido ha matado a varios guardias de Butterfingers, y permanece encerrado.	
30	I entered the room... Let's see if the thief surrenders.	He entrado en la habitación... Veremos si el ladrón se rinde.	
40	I talked to the thief inide the locked door. Unfortunately, he has transformed into a gigantic werewolf.	He hablado con el ladrón, pero por desgracia se ha transformado en un gigantesco hombre-lobo.	
50	I defeated the werewolf, the Orb of Shadows must be around here.	He derrotado al hombre-lobo, el orbe de las sombras debe andar cerca.	
60	I found the Orb of Shadows, I should return it to Janod in Kingsbridge to clean my name.	Encontré el Orbe de las sombras. Debería devolvérselo a Janod en Kingsbridge para limpiar mi nombre.	
100	I paid 10,000 gold to Janod instead of returning the Orb of Shadows	Le pagué 10.000 monedas a Janod en vez de devolver el Orbe de las Sombras.	
110	I returned the Orb of Shadows to Janod the Wizard	Devolví a Janod el Mago el Orbe de las Sombras.	
200	I decided to fight Janod instead of returning the Orb of Shadows.	Decidí luchar con Janod en lugar de devolverle el Orbe de las Sombras.	
