index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](The young man bows down gently to Grissenda, and talks to her with a tired voice)[] Greetings travellers. I wonder if, on the roads, you may have heard of the whereabouts of Lady Grissenda. 	[BLUE](El joven hace una gentil reverencia a Grissenda antes de hablarle con voz cansada)[] Saludos, viajeros. Señora, me pregunto si sois Grissenda, de Kingsbridge. 	2	"VariableLower#invitation,10;IsInParty#mercenary_grisenda"	"SetVariable#invitation,10;SetVariable#TMP_talk_messenger,1"
1	Q	My job is done, finally I can stop wandering the Kingdoms .	Mi trabajo está hecho, por fin puedo dejar de vagar por los Reinos.	0	VariableGreater#invitation,0	SetVariable#TMP_talk_messenger,1
1	Q	Please leave me, I am just a messenger and you're not the person I'm looking for.	Por favor déjame, solo soy un mensajero y no es a tí a quien busco.	30		SetVariable#TMP_talk_messenger,1
2,mercenary_grisenda	Q	Yes, that's me.	Si, soy yo.	3		
3,R	Q	[BLUE](Blinks in disbelief and smiles pleased)[] Finally! Milady, you are the most difficult person to find in all the Kingdoms, I've been looking for you for weeks, but it seems I always was a few days behind you.	[BLUE](La mira sorprendido y sonríe gratamente)[] ¡No puedo creerlo, por fín! Sois la persona más difícil de encontrar de los Reinos, llevo semanas siguiendo vuestra pista pero siempre llegaba uno o dos días tarde.	4		
4	A	Why are you trying to find her?	¿Por qué intentas encontrarla?	5		
5	Q	I am a messenger,my mission is delivering this letter. [BLUE](He retrieves a sealed scroll from his bag and hands it to Grissenda. You recognize the blood-red wax seal: the wolf head baring its teeth, emblem of house Storme)[]	Soy un mensajero, mi misión es entregar esta carta. [BLUE](Toma un pergamino de su bolda y se lo entrega a Grissenda. Reconoces el sello de cera, color rojo sangre: el lobo mostrando sus colmillos, emblema de la casa Storme)[]	6		
6,mercenary_grisenda	Q	[BLUE](She begins to read, with a concerned expression. After a minute, she looks back at the messenger)[]. Will you send back a reply?	[BLUE](Comienza a leer con una expresión preocupada. Tras un minuto, mira al mensajero)[] ¿Llevarás una respuesta de vuelta?	7		
7,R	Q	Indeed I will. What is your reply, Milady?	Ciertamente lo haré. ¿Cual es vuestra respuesta, Señora?	8		
8,mercenary_grisenda	Q	You may inform the Baroness I accept her invitation and will be visiting her. I can not attend right now, but will do so as soon as time allows.	Informa a la Baronesa de que acepto su invitación y acudiré a verla. No puedo ir ahora mismo, pero lo haré tan pronto como sea posible.	9		
9,R	Q	 [BLUE](Nods his head, as if memorizing the words)[]With your permission, I'll now take my leave. [BLUE](The young man prepares to leave)[]	[BLUE](Asiente con la cabeza, memorizando sus palabras)[]. Con vuestro permiso, me retiro ahora. [BLUE](El joven se prepara para marcharse)[]	10		
10	A	Attend? Baroness? What's all this about, Grissenda? Those Storme people don't sound like someone we want to visit for tea.	¿Visitar? ¿Baronesa? ¿De qué va todo esto, Grissenda? Esos Storme no parecen el tipo de gente con la que debamos ir a tomar el té.	11		
11,mercenary_grisenda	Q	"I... I am sorry about all this but I really must go, and indeed it can be dangerous; you don't need to come if you think it threatens your quest."	Yo... Realmente lamento todo esto pero realmente tengo que ir, y es cierto que puede ser peligroso. Si crees que puede poner en peligro tu misión, debería ir yo sola.	12		
12	A	That's not what I mean. I'd never let you walk alone into a dangerous place. Just tell me what's going on.	No es eso lo que quiero decir. Nunca te dejaría ir sola a algo tan peligroso. Cuéntame qué está pasando.	13		
12	A	Actually, you are a valuable asset for the completion of my quest, so I won't put you in danger like that. Tell me why you must go there.	La verdad, eres muy importante para que pueda cumplir mi propia misión, no quiero que corras ese peligro. Dime por qué debes ir.	13		
13	Q	The Baroness is my sister, Eirenda. She married Dobros Storme due to family arrangements, which not long ago became the Baron. It's been years since I have seen my sister... [BLUE](She looks at the horizon with dreamy, sad eyes)[].	La baronesa es mi hermana, Eirenda.  Por contratos entre familias se casó con Dobros Storme, quien hace no mucho se convirtió en Barón. He pasado años sin ver a mi hermana... [BLUE](Mira al horizonte con ojos soñadores, pero tristes)[].	14		
14	A	What? You are related to the Storme? Why you never mentioned this before?	¿Qué? ¿Eres pariente de los Storme? ¿Por qué nunca me lo mencionaste?	15		
15	Q	"It is a part of my past I am not very proud of; most of the time I even pretend it never happened, I had almost succeeded at forgetting it. [BLUE](Looks down at the scroll in her hand)[] But in the end, you can't flee from your past forever, can you?"	"Es una parte de mi pasado de la que me averguenzo; la mayor parte del tiempo finjo que nunca ocurrió, y casi había conseguido olvidarlo.  [BLUE](Mira al pergamino en su mano)[] Pero al final, no puedes escapar de tu pasado, ¿verdad?"	16		
16	A	Yeah, there's always a letter that reminds us we have a past, often dark. I know about that. So what does the letter say?	Si, siempre llega una carta que nos recuerda que tenemos un pasado, a menudo oscuro. A mi me ha pasado. ¿Qué dice la carta?	17		
17	Q	It is a very formal and brief invitation. She invites me to visit Castle Storme at my convenience to spend some time with her, that's all. But I sense something is wrong.	Es una invitación muy formal y breve. Me invita a visitar el Castillo Storme cuando quiera para pasar tiempo con ella, nada más. Pero siento que hay algo raro.	18		
18	A	Something wrong? What a surprise when House Storme is involved.	¿Algo raro? Que sorpresa cuando la Casa Storme anda por medio.	19		
19	Q	The note is too brief and dry. I don't know if she is in danger... Or even if she is the one who truly wrote it. I need to go and check if she needs my help.	La nota es demasiado breve y seca. No sé si está asustada o... Si la ha escrito otra persona. Debo ir y averiguar si me necesita.	20		
20	A	Can you tell me what happened back then?	¿Puedes contarme qué ocurrió en aquel tiempo?	21		
21	Q	"Not right now, please forgive me. I need to meditate and put things in order in my own head. When you feel it's the right time we should head to Mount Storme; once there I'll tell you what happened."	Ahora no, te pido disculpas. Necesito poner mi cabeza en orden. Cuando creas que es buen momento, vayamos al castillo en el Monte Storme. Allí te contaré qué ocurrió.	0		NPCDespawn#messenger
30	A	Who are you looking for?	¿A quien buscas?	31		
