index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](вы разобрались со всеми разбойниками, и теперь могли спокойно рассмотреть тех, кто пришёл вам на выручку, это оказались Аларион и женщина в плаще с капюшоном, опустившаяся на корточки, изучая убитых врагов)[] Это её люди.	¿po?	16	"VariableEqual#one_way_road,40"		
1	Q	[BLUE](разбойники остановились, осматриваясь)[]	po.	8	"VariableEqual#one_way_road,35"		
1	Q	 [BLUE](главарь разбойников повержен, и у его подчиненных сразу же пропало желание драться, они бросились бежать. Но на этом напасть не закончилась, из леса вышла другая, более многочисленная шайка бандитов)[]	¿po?	0	"VariableEqual#one_way_road,30"	"SetVariable#one_way_road,35;NPCDespawn#bandit2;NPCSpawn#bandit3;NPCSpawn#bandit4;NPCSpawn#arhont"	
1	Q	[BLUE](оглянувшись на шум, вы видете группу разбойников, выходящих из леса)[] А Архонт-то точно сказал, что сюда ещё кто-то придёт, а ты, кретин, не хотел ждать, а сразу свалить.	po.	3	"VariableEqual#one_way_road,25"		
1	Q	 [BLUE](у кромки леса вы замечаете тела, лежащие в траве, осмотрев их, вы понимаете, что их убили совсем недавно, возможно, это и есть люди Алариона, которых он просил найти. Вдруг, за спиной вы слышите какой-то шум)[]	¿po?	0		"SetVariable#one_way_road,25;NPCSpawn#bandit1;NPCSpawn#bandit2"	
3,bandit2	Q	Да пошёл ты и твой Архонт! Рядом находятся проклятые шахты, любой бы на моем месте не захотел бы долго торчать здесь!	po.	4			
4,bandit1	Q	Зато монетки хочется получать особо не напрягаясь, да, приятель?	po.	5			
5	A	Эй, вы кто такие?!	po.	6		
6	Q	А ты не парься насчёт нас, мы сейчас быстро тебя кончим, ты ничего не успеешь даже почувствовать, такая уж у нас работа!	po.	7			
7	A	Это мы ещё проверим, кто кого здесь прикончит!	po.	0		"SetVariable#one_way_road,30;NPCHostile#bandit1;NPCHostile#bandit2"	
8,bandit3	Q	А я тебе говорил, Архонт, что не стоит полагаться на всякий сброд, толку от них никакого, зато они могут растрепаться и привлечь к нам лишнее внимание!	po.	9			
9,arhont	Q	Ты не прав, польза от них есть, я подбирал этот сброд против определенных целей, но здесь появился кое-кто лишний, не входивший в мой расчёт, этот незнакомец явно оказался им не по зубам.	po.	10			
10,bandit3	Q	Мы долго здесь возимся, босс будет не доволен.	po.	11			
11,arhont	Q	Это не твоя проблема...	po.	12			
12,bandit4	Q	[BLUE](из леса показался ещё один разбойник)[] Разведчик доложил, что заметил в лесу кого-то ещё!	po.	13			
13,arhont	Q	Ясно, я проверю кто это там, а ты со своим людьми заканчивай здесь работу.	po.	14			
14,bandit3	Q	Понял тебя, Архонт. [BLUE](часть разбойников ушла обратно в лес, оставшиеся, вынув своё оружие, стали вас окружать, тут вы заметили, что хоть они и одеты в простые плащи, под ними у них имелись доспехи, а вооружены были добротными мечами)[]	po.	15			
15,bandit3	Q	[BLUE](вдруг, кто-то напал на  разбойников с тыла, похоже, какая-та женщина и смутно знакомый мужчина, это явно ваш шанс разобраться с бандитами, пока часть из них отвлеклись на другую цель!)[]	po.	0		"SetVariable#one_way_road,40;NPCHostile#bandit3;NPCHostile#bandit4;NPCDespawn#arhont;NPCSpawn#havis2;NPCSpawn#alarion2"	
16,alarion2	Q	Возможно, но мы не можем знать это точно без доказательств. [BLUE](ответил ей Аларион и перевёл взгляд на вас)[] Вернувшиеся в поселение охотники сообщили, что видели в лесу каких-то неизвестных людей, я решил подстраховать вас, и вместе с Хавис отправился вслед. Мы спешили изо всех сил, жаль немного опоздали и не смогли спасти всех.	po.	17			
17	A	Здесь не все разбойники, часть из них вернулись в лес.	po.	18			
18,alarion2	Q	Хм, если они заметили меня и Хавис, то скорей всего не полезут в драку и уберутся отсюда. А эти гады о чём-то говорили перед тем, как напасть, может тебе удалось что-нибудь запомнить?	po.	19			
19	A	Да вроде бы ничего интересного, только одного из них, который ушёл, называли по имени Архонт.	po.	20			
20,alarion2	Q	[BLUE](Аларион и женщина переглянулись)[] Чтож, очевидно, ты была права, Хавис, он, и вправду, следит за мной и всеми, с кем я имею дело.	po.	21			
21,havis2	Q	И ты всё-равно не собираешься отказываться от своей затеи?	po.	22			
22,alarion2	Q	Это обстоятельство только усиливает мою решимость, он не оставляет мне иного выхода, я должен действовать, пока не стало совсем поздно. Тем более, когда теперь губернатор Сол-Лаквиля готов...	po.	23			
23,havis2	Q	Не при посторонних. [BLUE](прервала его речь женщина, нахмурившись посмотрев в вашу сторону)[]	po.	24			
24,alarion2	Q	Ах, да. Спасибо тебе за помощь, очень жаль, что не удалось спасти моих людей, но вознаграждение ты, в любом случаи, заслужил.	po.	25			
25,havis2	Q	Надо забрать тела наших соратников и достойно проводить их в последний путь. [BLUE](сказала женщина, при этом вы увидели, как она срезает лица у трупов разбойников, которых сама убила)[]	po.	28	"VariableGreater#trouble_again,99;VariableGreater#true_lie,99"		
