index	type	text	text_ES	Go To	conditions	actions
1	Q	I'm listening to you, my hero.	port.	11	"VariableGreater#something_more,99;NPCisFollower#"	
1	Q	I'm listening to you, my hero.	port.	13	"VariableGreater#something_more,9;NPCisFollower#"	
1	Q	I'm listening to you, my hero.	port.	11	"VariableGreater#sansa_quest,14;NPCisFollower#"	
1	Q	[BLUE](a young-looking sorceress)[] Glad to see you, well, are we going on the road?	port?	9		
9	A	Sansa, I need your help.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
9	A	Yes, we're going to be heroes together!	port.	16		
9	A	I don't need your help right now.	port.	10		
10	Q	You know where to look for me if you need me, my hero.	port.	0		
11	A	Sansa, I need your help.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
11	A	Nothing, let's move on.	Nada, continuemos.	0		
11	A	I don't need your company right now. Thanks for the help, see you again later.	port.	12		"NPCStopFollowing#;NPCDespawn#sansa"
11	A	Let's talk about something.	Quiero que hablemos de algo.	19		
11	A	I have some battle orders for you.	Quiero darte órdenes de combate.	91		
12	Q	You know where to look for me if you need me, my hero.	port.	0		
13	A	Sansa, I need your help.	port.	43	"VariableGreater#between_worlds,19;VariableLower#between_worlds,23"		
13	A	Nothing, let's move on.	Nada, continuemos.	0		
13	A	Let's talk about something.	Quiero que hablemos de algo.	19		
13	A	I have some battle orders for you.	Quiero darte órdenes de combate.	91		
16	Q	I would be very happy to join you, but you already have someone in the company.	port.	0	HasCompanion#	
16	Q	No one and nothing will stop us!	port.	0		NPCFollow#
19	Q	About what exactly?	port.	20		
20	A	What can you tell me of this place?	¿Qué puedes decirme de este lugar?	40		
20	A	Hey, can you use your magic?	port.	41		
20	A	Let's just go on.	Continuemos.	0		
40	Q	I would like to call this place my home, because I have spent so much time and effort to become my own here, but this place always feels alien to me.	port.	20	AreaIs#IM	
40	Q	This is my home, and you have no idea how much effort it took me to get it.	port.	20	AreaIs#IM_manor6	
40	Q	My childhood was spent in a village like this, although I don't remember much about those distant days, I was taken to Icemist at a young age as a student of magic.	port.	20	AreaIs#K11	
40	Q	My childhood was spent in a village like this, although I don't remember much about those distant days, I was taken to Icemist at a young age as a student of magic.	port.	20	AreaIs#H12	
40	Q	It's a fabulous place to be alone, if not for the dangerous creatures that want to devour you.	port.	20	AreaIs#I13	
40	Q	It's a fabulous place to be alone, if not for the dangerous creatures that want to devour you.	port.	20	AreaIs#H13	
40	Q	Something bad has happened here, but it's better not to talk about it again.	port.	20	AreaIs#G13	
40	Q	I love these mountains, but still I would prefer to admire them from some warm and cozy place.	port.	20	AreaIs#J12	
40	Q	I love these mountains, but still I would prefer to admire them from some warm and cozy place.	port.	20	AreaIs#I12	
40	Q	It's a pretty peaceful and nice place, if you don't stick your head out of the village walls.	port.	20	AreaIs#H10	
40	Q	One of the oldest settlements of Varannar, there is nothing more to say about this place.	port.	20	AreaIs#J10	
40	Q	The perfect place to get rich, although you can almost always do it illegally if you are not born a nobleman.	port.	20	AreaIs#NG	
40	Q	They have clearly learned to make the most of all the available... resources of their kingdom, but for questionable purposes.	port.	20	AreaIs#FT	
40	Q	People here rely too much on their deities and not on themselves, so only a few will achieve anything in life.	port.	20	AreaIs#NI	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#C13	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#C12	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#G7	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#F9	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#D11	
40	Q	I don't like this place, it clearly feels like some kind of ancient and not good magic.	port.	20	AreaIs#D12	
