index	type	text	text_ES	Go To	conditions	actions
1	Q	It is done! I can't believe it. What a fight! You should consider fighting in the Freetown Arena. Feel free to take the Orb from the chest inside.	¡Está hecho! No puedo creerlo, menuda lucha. Deberías pensarte luchar en la Arena de Freeport. Puedes coger el Orbe del cofre que hay dentro.	0	VariableEqual#mad_wizard,50	
1	Q	It is done! I can't believe it. What a fight! You should consider fighting in the Freetown Arena.	¡Está hecho! No puedo creerlo, menuda lucha. Deberías pensarte luchar en la Arena de Freeport.	0	VariableEqual#mad_wizard,60	
1	Q	[BLUE](This short and plump man smiles at you)[] Welcome to the Sewer Emporium. Because what is lost is always found, and you can be the one to find a bargain today.[BLUE](Snorts)[]. Or maybe you are a seller. Want to check my wares?	[BLUE](Este hombre bajito y grueso te sonríe)[] Bienvenido al emporio de la Alcantarilla . Porque lo que se pierde siempre es encontrado, y hoy puedes ser tú quien encuentre una ganga.[BLUE](Resopla)[]. Quieres ver lo que tengo?	2		
2	A	Sure, let's have a look.	Seguro, echemos un vistazo.	20		
2	A	Hey... Adaon, is this the man we're looking for?	Hey... Adaon, ¿es este el hombre que andamos buscando?	3	"NPCIsInParty#adaon,adaon;VariableEqual#mad_wizard,10"	SetVariable#mad_wizard,20
2	A	We've come for the Orb, open the grate for us.	Hemos venido a recuperar el Orbe, abre la reja.	16	"NPCIsInParty#adaon,adaon;VariableEqual#mad_wizard,20"	
3,adaon	Q	[BLUE](Adaon looks him up and down and nods)[] I would recognize that belly anytime, yes. I sold the orb to this guy.	[BLUE](Adaon le mira de arriba a abajo y asiente)[] Reconocería esa barriga en cualquier sitio. Le vendí el orbe.	4		
4,R	Q	[BLUE](The man begins looking at both of you nervously. His bodyguard tenses up)[] I recognize you, little rat. We made a deal, now begone.	[BLUE](El hombre os mira nervioso. Su guardaespaldas se tensa)[] Te reconozco, pequeña rata. Hicimos un trato, déjame en paz	5		
5	A	Let's calm down a bit. You're a trader. You have an item we need. Let's negotiate.	Calmémonos. Eres un comerciante. Tienes un objeto que nosotros queremos. Negociemos.	6		
6	Q	I am afraid, things are not so simple... We have a small problem. The orb is in there [BLUE](the man points at the closed iron grate. A strong scent of blood and rotten meat comes out of it)[] 	Me temo que las cosas no son tan simples... Tenemos un pequeño problema. El orbe está ahí. [BLUE](el hombre señala a la reja cerrada. Un fuerte olor de sangre y carne podrida sale del interior)[] 	11		
11	A	It smells like a serious problem to me.	A mi me huele a problema serio. Literalmente.	12		
12	Q	[BLUE](The man shakes his head in distress)[] Well, here's what happened. A few days ago, I heard noises in my warehouse back there. It was a filthy thief, would you believe? There's not a single honest man in all New Garand, I tell you! except we fine gentlemen in this room, of course.	[BLUE](El hombre se agita, preocupado)[] Esto es lo que ocurrió. Hace unos días, escuché un ruido ahí detrás, en mi almacén. Era un asqueroso ladrón, ¿puedes creerlo? En verdad te digo, que no queda un sólo hombre honrado en todo New Garand! excepto los que estamos aquí hablando, claro.	13		
13	A	Go on.	Continua.	14		
14	Q	I sent my bodyguards in, but... Something happened. I believe the rascal has used one of the powerful potions in this shop, because he slaughtered them easily. Luckily, I could close the magical fence in time. So here we are, he is trapped inside... together with my valuable mercian wine and rugs.	Envié a mis guardaespaldas pero... Algo sucedió. Creo que el bribón ha usado una de mis poderosas pociones, porque acabó con ellos sin esfuerzo. Pude cerrar la reja mágica, así que el está atrapado, pero también mis valiosas cajas de vino y mis alfombras de Liberty.	15		
15	A	I have a terrible feeling about this. Goodbye.	Tengo un mal presentimiento acerca de esto. Adiós.	0		
15	A	Maybe I could walk in and solve your problem. But I want the Orb in exchange.	Quizá pueda entrar y resolver tu problema. Pero quiero el Orbe a cambio.	16		
16	Q	Excellent! But understand that I will have to close the grate after you walk in. I am a man of peace, and I don't want to put myself in danger.	¡Excelente! Pero comprende que debo cerrar la reja cuando entres. Yo soy un hombre de paz, no quiero correr riesgos.	17		
17	A	I have to think about this. we'll be back later.	Tengo que pensarlo. Volveremos luego.	0		
17	A	Deal. Let's go in, Adaon.	Trato hecho. Vamos allá, Adaon.	18		
18,adaon	Q	Who, me? I think I feel a bit tired, I'll wait you outside.	¿Quién, yo? Estoy un poco cansado, mejor entra tú.	19		
19	A	You are not sneaking out of this. Let us in, merchant, and let's get over with this.	No te vas a escapar de esto. Déjanos entrar, mercader, y acabemos con esto.	0		"SetVariable#mad_wizard,30;Travel#NG_sewers,5,0"
20	Q	Just talk to my dear Liliana here.	Habla con mi querida Liliana.	0		
