index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	This slab of black stone is pulsating with evil energy. Over it, you see a small clay jar, with symbols painted over it. 	Este bloque de piedra negra irradia energía maligna. Sobre él, ves una vasija de arcilla con símbolos pintados.	2	VariableEqual#dark_matters,15		
1	Q	This slab of black stone is pulsating with evil energy. But you don't have much time to examine it, until you eliminate the undead Tolassian Priest! 	Este bloque de piedra negra irradia energía maligna. Pero no tienes tiempo de examinarlo hasta que no acabes con el Sacerdote Tolassian.	0	VariableEqual#dark_matters,10		
1	Q	This black altar has nothing special about it.	Este altar negro no tiene nada de especial	0			
2	A	Smash the jar with your weapon.	Romper la vasija con tu arma.	3			
2	A	Take the jar and see what is inside. 	Abrir la vasija para ver qué hay dentro.	4			
2	A	Erase the small runes around the Jar, to dispel the magic. Then spill its contents to see what's inside.	Borrar las runas de la vasija para que la magia se disipe, y luego volcarla para ver qué hay dentro.	5			INT#3
2	A	Leave it alone for now.	No tocar nada de momento.	0			
3	Q	You take impulse and swiftly shatter the clay jar in one motion. It was filled with blood and guts... Disgusting. But suddenly you feel the evil aura dissipating around you. You have stopped whatever evil was in the making.	tomas impulso y, de un solo golpe, rompes en mil pedazos la vasija. Estaba llena de sangre y vísceras que se desperdigan sobre el altar... Muy desagradable. Pero tan pronto como se ha roto, notas que el aura maligna desaparece. Parece que has logrado parar el mal que se estaba preparando.	0		SetVariable#dark_matters,20	
4	Q	As you open it, you find that it is filled with nothing but animal blood and guts. Your disgust turns into horror as you feel an inmensely powerful evil aura behind you. The ritual is now complete, and your only option is to destroy the evil creature that was summoned from hell.	Al abrirla, te das cuenta de que tan sólo contiene sangre y vísceras de animal. Tu desagrado se convierte en horror al sentir la poderosa aura maligna detrás de ti. El ritual se ha completado, y ahora la única opción es derrotar a la criatura convocada desde el infierno.	0		"SetVariable#dark_matters,20;NPCSpawn#summoned"	
5	Q	As the runes go away, you feel the evil aura dissipating around you. You have stopped whatever evil was in the making. Among the blood and guts, you find a bright gem.	"Tan pronto como borras las runas, notas que el aura maligna desaparece. Parece que has logrado parar el mal que se estaba preparando. La vasija estaba llena de sangre y vísceras; entre ellas también encuentras una brillante gema."	0		"SetVariable#dark_matters,20;GainXP#50;GainItem#2004"	
