index	type	text	text_ES	Go To	conditions	actions
1	Q	You have returned! I had a vision in which you retrieved the Crown,  yet I sense its evil no more and the visions ceased. I am grateful, for I was ready to accept that curse which meant my death... But how did you do it?	Has regresado. Tuve una visión en la que conseguías la corona, y sin embargo ya no siento su mal y las visiones han cesado. Te lo agradezco puesto que había asumido que esa Corona significaría mi muerte, pero ¿Cómo lo has hecho?	100	"VariableEqual#mangled_god,110;VariableLower#NI_talked_bishop,1"	SetVariable#NI_talked_bishop,1
1	Q	Welcome again, my friend. May the blessings of Nivaria be upon you.	Bienvenido de nuevo, amigo mio, que las bendiciones de Nivaria caigan sobre tí.	2	VariableEqual#mangled_god,110	
1	Q	[BLUE](Looks paler and weaker than ever)[]Greetings again, friend. May the blessings of Nivaria be upon you. How may I assist you?	[BLUE](Parece más pálido y débil que nunca)[]Saludos amigo mio, que las bendiciones de Nivaria caigan sobre tí. ¿Cómo puedo servirte?	2	VariableGreater#mangled_god,99	
1	Q	It was revealed to me... You have the Crown. But I can feel how its curse is slowly draining you, devouring your life.	Recibí una revelación, sé que lo has conseguido. Pero... Puedo sentir cómo absorbe tu vida, devorándola.	20	"VariableGreater#mangled_god,10;PlayerHasItem#2618"	
1	Q	I pray for your safe return with the evil Crown.	Rezo por quer egreses sano y salvo con la Corona.	2	VariableGreater#mangled_god,10	
1	Q	[BLUE](This high-rank priest seems to be weak and fatigued, yet he greets you cordially)[] Greetings, may the blessings of Nivaria be upon you. How may I assist you?	[BLUE](Este clérigo de alto rango parece fatigado y débil, aunque te saluda cordialmente)[] Saludos, que las bendiciones de Nivaria caigan sobre tí. ¿Cómo puedo servirte?	2		
2	A	I seek training, your grace. Can you teach me how to better channel the powers of The Three?	Excelencia, busco entrenamiento. ¿Podríais enseñarme cómo canalizar el poder de Los Tres?	30		
2	A	Is there anything troubling you, your grace?	¿Hay algo que os preocupe, excelencia?	3	VariableLower#mangled_god,20	
2	A	May her blessings descend upon you as well.	Que sus bendiciones estén contigo.	0		
3	Q	Troubling? I can't even sleep anymore. Visions come to me as soon as I close my eyes, and the prophetic divinations awake me violently. This has been going on for weeks already!	¿Preocupar? Ya ni siquiera puedo dormir. Las visiones llegan tan pronto como cierro los ojos, adivinaciones proféticas que me despiertan sobresaltado. Llevo semanas así.	4		
4	A	What are those visions about?	¿Visiones? Cuéntame más.	5		
5	Q	I appreciate your concern, but I can only share such matters with the most trusted believers. [BLUE](You need a reputation of 32 with The Three for this quest)[]	Aprecio tu preocupación, pero sólo puedo compartir esto con los más fieles. [BLUE](Necesitas una reputación de al menos 32 con Los Tres para iniciar esta misión).	0	VariableLower#REP_the_three,32	
5	Q	[BLUE](He looks a bit reluctant)[] The Three send me visions about a sundered crown and a great evil. I might be weak and old but I believe this burden is meant for me alone, I won't disturb others with it.	[BLUE](Parece no querer hablar)[] Los Tres me envían visiones sobre una corona rota y un gran mal. Soy viejo y débil pero creo que esta carga es sólo para mí, no quiero que otros la sufran.	6		
6	A	I see you can't be persuaded. Very well, I'll be on my way.	Veo que estás convencido. Muy bien, continuaré mi camino.	0		
6	A	A crown that was broken, split? I once read a book about that. The Crown of Tol.	Una corona partida... Una vez leí acerca de eso. Es la Corona de Tol.	7	VariableGreater#mangled_god,0	
7	Q	[BLUE](Excitedly)[] A signal, The Three have sent you! I have seen a forgotten temple, half-buried amidst broken hills in the coast of Inori. Somewhere inside rests the damned crown, broken but still a danger if it ever fell in the hands of a necromancer capable of restoring it. 	[BLUE](Emocionado)[] ¡Una señal, Los Tres te envían! He visto un templo olvidado, en las rocosas costas desoladas del Inori. Rota y perdida descansa la Corona maldita en su interior, pero si cayera en las manos de un nigromante capaz de restaurarla...	8		
8	A	On the coast of Inori you say? Can you be more specific?	¿En la costa de Inori dices? ¿Podrías ser más específico?	9		
