progress	description	description_ES	actions
0	Strangers in foreign lands	po	
10	The guardmaster of Istril asked me to solve the problem with the orcs and find the missing sorceress on the Istrilian Tract.	po.	
20	I have found a missing sorceress named Evelina Lightwind, and now I must free her. The key to the cell where she is locked may be in the possession of the orc leader in a nearby cave.	po.	
25	I killed the orc leader, and I may find the key to the cell where the sorceress Evelina is locked on his corpse.	po.	
30	I've found the key, now I need to free the sorceress Evelina.	po.	
35	I managed to open the cage where the sorceress Evelina was locked, and now I need to talk to her.	po.	
40	It is necessary to take Evelina to the guardmaster in Istril and inform him that the problem with the orcs has been resolved.	po.	
45	Minotaurs attacked me and Evelina! I have to deal with them.	po.	
50	It is necessary to take Evelina to the guardmaster in Istril and inform him that the problem with the orcs has been resolved.	po.	
100	I saved Princess Evelina Lightwind and solved the orc problem, and I was generously rewarded.	po.	
