index	type	text_english	text_ES	Go To	conditions	actions
1	Q	[BLUE](a dark purple glow appeared at the far wall, which turned into a portal, and a man with a robe came out of it, whom you had already encountered earlier at the bottom of the tower)[] Well, wow, what a stroke of luck, how many Adaons there are in one place. 	[BLUE]()[] port.	49	"VariableEqual#hate_through,75"		
1	Q	[BLUE](arriving Adaons were confused, don't understand what's going on, there was a lot of noise and uproar, one of them, who looked older, richly dressed like a nobleman and with a precious-looking crown on his head, expressed his confusion especially loudly)[] What happened?! How did I end up here?! Who are all these pathetic doppelgangers of mine surrounding me?! 	port. port.	2			
2,adaon2	Q	Hey, you're the doppelganger! And I'm real and unique!	port?	3			
3,outlaw	Q	Hey, uncle, you look like a pensioner who ran away from an old people's shelter, and why are you dressed up like some kind of wealthy nobleman?	port?	4			
4,king	Q	Shut up, worthless serfs! You are speaking to King Adaon the First of Varsilia!	port?	5			
5,scientist	Q	What?! What kind of crazy world is this where I am... more precisely, my version, was able to become the king of Varsilia?!	port?	6			
6,king	Q	Version? You look educated, unlike all this rabble, can you explain what's going on here?	port?	7			
7,scientist	Q	Well, there was a mistake, you are all Adaons, but from different worlds, you arrived in this world by accident, but calmly and without panic, now I will fix everything and bring you back!	port?	8			
8,outlaw	Q	Are you the king? Seriously? How are you so lucky? How many people did you have to kill or ruin to take the throne?	port?	9			
9,king	Q	Nothing like that! I took the throne peacefully and legitimately! Although I have to get my hands dirty to stay on it. When I was a child, I was picked up and adopted by a rich couple, for some reason they could not have their own children. My adoptive parents had a lot of influence in the royal castle, and they managed to arrange my engagement to Princess Varsilia.	port?	10			
10,king	Q	When we reached adulthood, we became engaged, becoming married, and a year later the king died, and he had only one daughter, whom I was married to. And so she was crowned queen, and I, her husband, was crowned king, and so I became the ruler of Varsilia.	port?	11			
11,adaon2	Q	Oh, wow, how lucky someone is in life!	port?	12			
12,king	Q	What? Do you think it's that easy to be a king?!	port?	13			
13,outlaw	Q	Hey, what's that glowing scarecrow? Who are you, warrior? What kind of world did you come from?	port?	14			
14,prime	Q	[BLUE](this Adaon was much larger than the others, almost completely encased in unusual armor that radiated light, and he had a huge sword on his belt)[] My world? My world was completely destroyed by the invasion of horrors, few managed to survive. In an attempt to avoid total annihilation, the strongest magicians and the best minds in the world created this armor capable of absorbing the forces of horror, but at the crucial moment, the hero who was supposed to wear this armor died, and there was no one left nearby except me.	port?	15			
15,prime	Q	I was able to absorb the power of all the horrors, they disappeared, and I was left alone in a dead and scorched, empty world. The power contained in the armor constantly torments me with a terrible hunger, not allowing me to die, in order to satisfy it, I had to become like those horrors, invade other worlds and absorb their entire life base. And so I arrived in your world!	port?	16			
16,adaon2	Q	What a creepy! I hope you're not going to have your lunch right now. Will you wait until I get out of here?	port?	17			
17,outlaw	Q	Yeah, it's hard for you to live, but I'm sure this guy will have a boring story.	port?	18			
18,skuf	Q	[BLUE](Adaon, whom he pointed out, looked more plump, obviously balding prematurely and dressed sloppily)[] Well, it's true, I moved to Liberty in my youth, where I stayed, gave up my dirty dealings and married Kiara, my friend, we had children, and we've been living quietly and peacefully together for over ten years now.	port?	19			
19,adaon2	Q	Yes, someone is lucky, but I'm stuck in a strange time loop on a forest road, where I have to meet different heroes over and over again, rob them while they sleep and go back to the beginning again when trying to leave there!	port?	20			
20,skuf	Q	Have you tried not to rob anyone on this road?	port?	21			
21,adaon2	Q	Of course, but then the hero just disappears, and I go back to the beginning of the forest road!	port?	22			
22,outlaw	Q	Damn, even shit like that happens in life.	port?	23			
23,king	Q	You talk more than anyone else, are you by any chance a buffoon in your world?	port?	24			
24,outlaw	Q	No, unlike you, I have a more ordinary life, filled with good old robberies, theft, kidnappings and violence, torture and murder, corruption of minors and pedophilia, desecration of churches, in general, all the delights of a robber's life.	port?	25			
25,adaon3	Q	It seems like all of us Adaons are bad guys who aren't used to living an honest lifestyle, but then how do explain his presence?!	port?	26			
