index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE] (These young natives look at you nervously with their weapons ready. They look rather dangerous)[] Not come close! Impiri go away. Leave!	[BLUE](Los nativos empuñan nerviosamente sus armas cuando te acercas. Parecen peligrosos)[]. Impiri, marchar. No acercar!	2	VariableEqual#price_of_freedom,10	
1	Q	We leave now, to never return.	Marchamos. Nunca regresar.	0	VariableEqual#price_of_freedom,20	
1	Q	We wait right here, you are honorable Impiri. You'll take care of evil guard woman.	Nosotros esperar aquí... Tú Impiri honorable. Tú encargar de mujer guardián.	0	VariableEqual#price_of_freedom,30	
1	Q	Traitor! You sell us! Now you die!	¡Traidor! ¡Tú vendernos! ¡Ahora tú morir!	0	VariableEqual#price_of_freedom,70	"NPCHostile#varannari;DecVariable#REP_varannari,5;SetVariable#price_of_freedom,75"
1	Q	You man of honor. My people will remember this, and will tell tale of your bravery. You take my sword, brother.[BLUE](The whole clan quickly runs away through the hills)[]	Tú, hombre de honor. Mi gente no olvidará, y contarán relato de tu valor. Tú tomar mi espada. [BLUE](Todo el clan se escabulle rápidamente por las colinas)[].	0	VariableEqual#price_of_freedom,60	"SetVariable#price_of_freedom,100;NPCDespawn#slave;NPCGoTo#varannari,3;NPCGoTo#escaped_slave,3;NPCTryToDespawn#varannari;NPCTryToDespawn#escaped_slave;GainXP#800;GainItem#533;IncVariable#REP_varannari,9;DecVariable#REP_mercia,10;DecVariable#REP_town_jabal,10"
1	Q	May the Three make your stars bright.	Que Los Tres hacer brillar tus estrellas.	0		
2	A	Calm down. [BLUE](sheathe your weapons and raise your hands)[] I come in peace. I'm a friend.	Calmaos. [BLUE](Guardar las armas y levantar las manos)[] Vengo en paz, soy un amigo.	3		
2	A	[BLUE](Raise a fist)[] In the name of Mercia, stop whatever you are doing and surrender, or die.	[BLUE](Levantar el puño)[] En nombre de  Mercia, rendíos ahora mismo o moriréis.	12		
3	Q	[BLUE](They look at each other, in doubt)[] Speak from there, not closer.	[BLUE](Se miran el uno al otro, con dudas)[] Hablar desde ahí, no acercar.	4		
4	A	Listen, I don't know what you're doing here, but the guards are very nervous about you. They believe you're going to attack the town.	Mirad, no sé qué estáis tramando, pero los guardias están muy nerviosos con vosotros. Créen que vais a atacar la ciudad.	5		
5	Q	Attack? No! We not attack stone-houses! Impiri very strong, we just hunters. We here to rescue our clan.	¿Atacar? No! No atacar Casas de Piedra. Impiri muy fuertes, nosotros pobres cazadores. Nosotros rescatar nuestro clan.	6		
6	A	Your clan? Were they captured as slaves?	¿Vuestro clan? ¿Les han capturado como esclavos?	7		
6	A	That 'rescue' sounds like an attack to me. I can't allow you to do that. Drop your weapons now, I don't want to hurt you.	Ese 'rescate' a mi me suena a ataque. No puedo dejaros hacer eso. Soltad vuestras armas, no quiero haceros daño.	12		
7	Q	[BLUE](the man nods angrily)[] Impiri hunt Varannari like beast. Varannari not beast. My sister, now captured. Impiri very cruel, will hurt her all day. But we rescue her, and all clan. 	[BLUE](El hombre asiente con la cabeza, enojado)[] Impiri cazan Varannari como animales. ¡Varannari no animales! Mi hermana, ahora esclava. Impiri muy crueles, hacen mal a hermana. Pero nosotros rescatar clan.	8		
8	A	You are wrong. Your sister will not be harmed or killed, they'll just put her to work. It may be a hard life, but if you try something stupid, both her and you may end up dead.	Estás equivocado. Tus hermana no van a ser dañada, sólo le van a obligar a trabajar duro. Pero si intentas una tontería, es posible que tanto ella, como tú, acabéis muertos.	9		
8	A	You are right. You must never abandon your family, and I will help you, even if it may get me into trouble.	Tienes razón. Debes salvar a tu familia, y yo te ayudaré, incluso si eso me mete en problemas.	11		
8	A	I've heard enough, rebel scum. Surrender or die.	He oido suficiente, basura rebelde. Ríndete o muere.	12		
9	Q	[BLUE](You see fear in the eyes of the young warrior)[] I not want sister hurt. But I not want sister chained. Please help us save clan, stranger. You look honorable Impiri. I have nothing to pay you, but I need you.	[BLUE](Hay miedo en los ojos del joven guerrero)[]No querer hermana herida. Pero no querer ella encadenada. Por favor, tú ayudar. Tú ser Impiri honorable. Yo no tener nada para pagarte, pero yo necesitar ayuda.	10		
10	A	No, listen, they're beyond help. You can't stop the Kingdom of Mercia. Even if you rescue them, they'll come after you, and then they'll punish you... And they'll punish her too.	No, escucha, ya es imposible ayudarles. No puedes derrotar al Reino de Mercia. Incluso si les rescataras, vendrían tras vosotros y os castigarían... Y tambien a ella.	14		
10	A	Very well, I can't just ignore your suffering. This may end up badly, and I may end up getting in trouble , but tell me of your plan.	Muy bien, no puedo quedarme al margen, debo ayudaros aunque eso me meta en problemas. Cuéntame tu plan.	11		
11	Q	We have plan, but bad plan. We digged hole, under wall, almost to where clan is. But there is Impiri guard woman, watching day and night. She will see clan escaping through hole, and plan fails.	Nosotros tener plan, pero mal plan. Tener listo túnel por debajo de muro para que clan escapar, pero guardiana Impiri siempre junto a jaula, ella vería clan escapar y entonces, plan fallar.	13		
12	Q	Evil Impiri invader, I never carry your chains!	¡Malvado invasor Impiri, yo nunca llevar cadenas!	0		"NPCHostile#varannari;DecVariable#REP_varannari,3;SetVariable#price_of_freedom,40"
13	A	Yeah, the Praetor will raise the alarm. Unless... maybe I can find a way to distract her away from your clan. Goodbye, I'll be back soon.	Eso nunca funcionará. La Praetor dará la alarma. Pero quizá pueda encontrar la forma de distraerla. Me marcho, pero volveré.	0		SetVariable#price_of_freedom,30
13	A	That plan will never work, boy. You're just going to get yourself killed. And probably your sister too.	Ese plan no va a funcionar, muchacho. Sólo vas a conseguir que te maten. Y posiblemente a tu hermana también.	14		
