index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	Wh... What in the name of the Three is that???	Que... En el nombre de los Tres, ¿¿¿qué es eso que traes???	13	"PlayerHasItem#2503;VariableEqual#goblin_hunt3,50"		
1	Q	You did it... I am really surprised. Anyways, here is the reward, [BLUE]25 gold and a potion[]. Now, when you are ready for a more challenging job, come see me again.	Lo conseguiste... estoy sorprendido. En cualquier caso, aquí tienes tur ecompensa de [BLUE]25 monedas y una poción[]. Cuando estés preparado para un trabajo más difícil, ven a verme.	28	"VariableGreater#goblin_hunt,14;VariableLower#goblin_hunt,100"	"GainXP#80;GainItem#5000;GainGold#25;SetVariable#goblin_hunt,100;IncVariable#REP_town_lannegar,3;IncVariable#REP_varsilia,1"	
1	Q	Ah, I see, maybe bringing down a few goblins was a task too dangerous for you. No shame in that. No surprise either...	Ah, ya veo. Quizá unos pocos goblins sean un desafío muy grande para ti. No hay por qué avergonzarse. Pero no me sorprende...	0	"VariableGreater#goblin_hunt,9;VariableLower#goblin_hunt,15"		
1	Q	Very well, 'hero'. You proved yourself, so now I can trust you with a real job. A few days ago I sent a scout called Teram to the [BLUE]abandoned mine[] to the west. He hasn't returned, and I need someone to go and find out what happened to him.	"Muy bien, 'heroe', veo que eres eficaz. El siguiente trabajo es más difícil; hace varios días envié a un explorador llamado Teram a la mina que se encuentra al oeste de aquí; no ha regresado. Necesito que alguien vaya a buscarle cuanto antes."	19	"VariableEqual#goblin_hunt,100;VariableLower#goblin_hunt2,10"		
1	Q	You found him alive, you truly have done a great service to Lannegar. Thanks. Maybe you'll be the one that, one day, may rid us of the goblins. Here is your reward.	¡Le has encontrado con vida! Realmente has prestado un gran servicio a Lannegar.Quizá seas tú el que, algún día, nos libre de los goblins. Aquí está la recompensa.	26	VariableEqual#goblin_hunt2,20	"GainXP#200;GainItem#5000;GainGold#100;SetVariable#goblin_hunt2,100;IncVariable#REP_town_lannegar,4;IncVariable#REP_varsilia,2;disband#teram"	
1	Q	He died... Yet you at least tried to help. Those damn green monsters should be crushed once and for all. Here, I can at least give you part of the reward.	Ha muerto... Esos malditos monstruos verdes deberían ser aniquilados. Toma, al menos, parte de la recompensa.	0	VariableEqual#goblin_hunt2,30	"GainXP#90;GainGold#50;SetVariable#goblin_hunt2,110"	
1	Q	Remember, find Teram in the mine, or at least learn what happened to him.	Recuerda, encuentra a Teram en la mina o, al menos, averigua qué le ocurrió.	0	"VariableGreater#goblin_hunt2,9;VariableLower#goblin_hunt2,20"		
1	Q	Greetings friend. There may be more missions, but we can only assign them to someone trusted by the Baron [BLUE](You need to have a reputation of 'friendly' or better in Lannegar)[]. You can still request jobs and bounties in the Town Hall.	Saludos, amigo. El siguiente trabajo sólo puede llevarlo a cabo alguien que conozca bien el Barón.[BLUE](Necesitas mejorar tu reputación en Lannegar a 'Amigable')[] Pero puedes probar a buscar más misiones en el ayuntamiento.	0	"VariableGreater#goblin_hunt2,99;VariableLower#goblin_hunt3,10;VariableLower#REP_town_lannegar,10"		
1	Q	Greetings, comrade. I think it is time to strike a lasting blow to the goblin tribe that plagues our valley, by eliminating their leader [BLUE]Flamedancer Itharrak[]. The Baron has offered his own [BLUE]Sword of Shock[] as a reward, for the one bringing the monster's head.	Saludos, compañero.Es el momento de asestar un golpe definitivo a la tribu goblin, acabando con su líder, que llaman [BLUE]Danzafuegos Izharrak[]. El Barón ha prometido como recompensa su propia [BLUE]Espada de Descarga[] a quien consiga traernos su cabeza.	0	"VariableGreater#goblin_hunt2,99;VariableLower#goblin_hunt3,10"	SetVariable#goblin_hunt3,10	
1	Q	You still did not find that accursed goblin, did you? Well, I don't blame you, all the adventurers that did, have not returned to tell the tale	No has encontrado a ese maldito goblin, verdad? No te culpo, ningún aventurero que le haya visto ha vivido para contarlo.	0	"VariableGreater#goblin_hunt3,9;VariableLower#goblin_hunt3,50"		
1	Q	Goblins are in panic! We already know of your victory. Congratulations, friend.	Los goblin han entrado en pánico! Ya sabemos de tu victoria. Felicitaciones, amigo.	15	VariableEqual#goblin_hunt3,50		
1	Q	Thanks to you, our land is now safer. Well done.	Gracias a ti, nuestra tierra es más segura. Bien hecho.	0	VariableEqual#goblin_hunt3,100		
1	Q	Welcome to the village of Lannegar, traveller. Here you will be safe from the goblins raiding the road	Bienvenido al pueblo de Lannegar, viajero. Aquí estarás a salvo de los goblins que acechan en el camino	2			
2	A	Thanks! Goodbye.	Gracias! Adiós.	0			
2	A	Goblins? Why doesn't the Baron get rid of them?	Goblins? Por qué el barón no hace nada para remediarlo?	3			
2	A	Help! I was robbed by a thief called Adaon! He stole all my money, and an important letter.	Socorro! Me ha robado un ladrón llamado Adaon. Me ha quitado todo, incluyendo una carta muy importante.	9	"VariableLower#robbed_guard,1;VariableEqual#want_letter_back,10;PlayerIsntLevel#2"	SetVariable#robbed_guard,1	
3	Q	Listen, kid, the Baron has more important things to worry about than a few goblins. They have become a problem, however, as they seem to grow bolder every day.	Escucha, chaval, el Barón tiene cosas más importantes entre manos que un puñado de goblins. No obstante, se han vuelto un problema, y cada día son más osados. 	4			
4	A	I will be careful and remember that. Goodbye.	Tendré cuidado y lo recordaré, gracias.	0			
4	A	Is there anything I can do to help? I need a job, and quickly.	Hay algo que pueda hacer para ayudar? Necesito un trabajo, y rápidamente.	17			
5	Q	Hmmm... I don't know, are you really capable of taking out a goblin patrol? Hunt down five goblins and I'll consider giving you more serious work. Goblins can be found mostly to the West, towards the old mine. Do it and you'll be rewarded.	Hmmm... No sé, eres capaz de enfrentarte a una patrulla goblin? Acaba con cinco de ellos y te daré mejores trabajos. Son muy numerosos hacia el oeste, camino a la vieja mina. Si lo consigues, te recompensaré.	6		SetVariable#goblin_hunt,10	
6	A	It better be a good reward. I'm just saying, this is a dangerous job.	Espero que sea una buena recompensa. Solo digo que suena bastante peligroso.	7			
6	A	Sounds like the right thing to do, I'll get to the job right now!	Parece lo correcto, haré el trabajo ahora mismo!	8			
7	Q	Don't make me laugh... Just go and do it, or run back to your mama.	No me hagas reir... Ve y haz el trabajo, o vete a llorar a tu mamá.	0			
8	Q	That's the spirit! You have potential.[BLUE] (he nods approvingly)[]. Now let's see if you also have all your limbs when you return.	Ese es el espíritu! Tienes futuro aquí. [BLUE] (asiente con la cabeza, aprobando tu actitud)[]. Si sobrevives, claro.	0		IncVariable#REP_town_lannegar,1	
9	Q	Humm... Let's see, did it happen here, in Lannegar?[BLUE] (the man raises an eyebrow as he asks)[]	Humm... Déjame ver, ha ocurrido aquí, en Lannegar? [BLUE] (el hombre enarca una ceja mientras te pregunta)[]	10			
10	A	No, it happened on the road, but...	No, ha ocurrido en el camino, pero...	11			
11	Q	Then it's not my business. And I warn you, don't start a fight here or you'll sleep in a dungeon.	Bueno, me temo que entonces no es asunto mio. Y te lo advierto, no empieces peleas aquí o dormirás en una mazmorra.	12			
12	A	Alright... I'm looking for work, anything I can do to get a few coins? I need to equip myself again.	Está bien... Estoy buscando trabajo, hay algo que pueda hacer para conseguir unas monedas? Necesito volver a equiparme.	17			
12	A	That's not fair! Goodbye!	No es justo! Adiós!	0			
13	A	It's Itharrak's head, you told me to bring it!	Es la cabeza de Itharrak... ¡me dijiste que debía traerla!	14			
14	Q	You know, I didn't mean it... Literally. It was a figure of speech. Killing him was enough[BLUE](The captain pukes)[]. That is gross. Put it away before some kid sees it!	Mira, no lo decía en ese sentido literal, es sólo una forma de hablar... Esconde eso antes de que lo vea algún pobre chaval.	15			
15	A	Well, I think you mentioned something about a reward... The Baron's sword!	Bueno, creo que habías dicho algo de una recompensa... ¡La espada del Barón!	16			
16	Q	That is right. As a reward for your heroic service, here is the Baron's own sword. Now we have so much work to do... We're reopening the mines, thanks to you.	Efectivamente. Por los servicios prestados, la ciudad de Lannegar te agradece tus heroicos esfuerzos. Aquí tienes la mismísima espada del barón. Ahora tenemos mucho trabajo por hacer... Vamos a reabrir las minas, gracias a ti.	0		"GainXP#400;GainItem#580;SetVariable#goblin_hunt3,100;IncVariable#REP_town_lannegar,6;IncVariable#REP_varsilia,3;setVariable#lannegar_mine_cleared,1"	
17	Q	There's always stuff to do, assuming you're useful for anything else than getting robbed. [BLUE](He grins)[]. I think the alchemist needs reagents, and the Priest of The Three won't stop talking about some tomb. Or maybe you could work for me.	Siempre hay trabajo que hacer... Suponiendo que sirvas para algo más que para que te roben [BLUE](Sonríe)[]. Creo que el alquimista necesita ingredientes, y ese sacerdoe de Los Trés no para de hablar de nosequé tumba. O quizá puedas trabajar para mí.	18			
18	A	I assure you I am capable, if given a chance. Tell me what needs to be done.	Te aseguro que soy muy eficiente, si me das una oportunidad. Dime qué hay que hacer.	5			
18	A	Really, you are such a nice and helpful man, why would I work for anyone else?[BLUE](Grin back)[] Tell me what needs to be done.	Eres una persona tan amable... No querría trabajar para otro.[BLUE](Sonreir)[] Dime en qué te puedo ayudar.	5			
18	A	Thanks, I will go ask those other people then.	Gracias, entonces iré a hablar con esa gente.	0			
19	A	That sounds very dangerous... But I really need money and equipment. I'll do it.	Eso suena muy peligroso... Pero necesito equipo y dinero. Lo haré.	20		SetVariable#goblin_hunt2,10	
19	A	I can't, sorry. Maybe another time.	Ahora mismo me es imposible. Quizá en el futuro.	0			
19	A	You have well armed soldiers here, yet instead of sending out a patrol, you trust such a mission to an ill-equipped foreigner?	Tienes a soldados bien armados, y en lugar de enviar una patrulla, ¿confías esta misión a un extranjero mal equipado?	21			PER#1
20	Q	Good, good. I will give you [BLUE]100 gold[]. I hope you bring back Teram alive.	Bien, bien. Te daré [BLUE]100 monedas[]. Espero que traigas a Teram con vida.	0			
21	Q	[BLUE](The man caresses his moustache as he looks at you intently)[] Yes, you are cunning. We fear a treacherous invasion from the Baron of New Anthur. I was ordered to keep my men here. But I can't abandon Teram, that's why I need your help.	[BLUE](El hombre acaricia su bigote y te mira atentamente)[] Eres inteligente. Tememos una invasión del Barón de New Anthur, y me han ordenado mantener a todos mis hombres aquí. Pero no puedo abandonar a Teram. Por eso necesito tu ayuda.	22			
22	A	Well, in that case, maybe you could give me some gold in advance so I can equip myself better and have better chances to help your scout.	Bueno, en ese caso, quizá puedas darme algo de oro por adelantado, para que pueda equiparme mejor y tener más opciones de ayudar a tu explorador	23			
22	A	What??? An attack? But New Anthur is also part of Varsilia, we're in the same Kingdom. How is that possible?	¿Qué?¿Un ataque? Pero no es posible, New Anthur también es parte del Reino de Varsilia.	24			
23	Q	You are right, actually. Here you have some extra gold. Please bring Teram back.	Tienes razón. Aquí tienes algo de oro extra. Por favor, trae a Teram de vuelta.	0		"GainGold#40;SetVariable#goblin_hunt2,10"	
24	Q	That's not how the world works, kid. The nobles are often at each others' throats, and the young king has his hands full. Between you and me: I miss the days of the war with Mercia, we were united. Now the Kingdom is falling apart. 	Las cosas no son así, chaval. Los nobles están siempre apuñalándose unos a otros, y el joven rey tiene las manos llenas. Entre tu y yo: echo de menos la guerra con Mercia, estábamos todos unidos. Ahora el reino se hace pedazos.	25		GainXP#40	
25	A	Okay... I see why you can't send your men. I'll go find your missing scout.	De acuerdo... Entiendo por qué no pueden ir tus hombres. Iré a buscar a tu explorador.	0		SetVariable#goblin_hunt2,10	
26	A	Goodbye	Adiós	0			
26	A	Maybe you could now help me to find the thief that stole my letter, Adaon.	Quizá ahora podrías ayudarme a encontrar al ladrón que me robó la carta, Adaon.	27			
27	Q	Very well, I'll tell you what I know. Some traveller came to town a few hours before you, and he bragged about becoming rich soon. He mentioned going to [BLUE]Kingsbridge[] first, then to [BLUE]New Garand[], good luck catching him.	Muy bien, te diré lo que sé. Un viajero llegó pocas horas antes que tú, fanfarroneando acerca de cierta carta. Decía que antes iba a pasar por [BLUE]Kingsbridge[], y luego ir a [BLUE]New Garand[]. Buena suerte.	0			
28	A	Thanks, I will be back soon.	Gracias, volveré pronto.	0			
28	A	Tell me now about that job.	Háblame ahora de ese nuevo trabajo.	1			
