index	type	text	text_ES	Go To	conditions	actions
1	Q	On my honor as a Knight, you shall not pass. Turn back, or prepare to duel to the death.	Por mi honor como caballero, no pasarás. Date la vuelta, o bien prepárate a luchar a muerte.	2	VariableLower#TMP_talk_knight,1	SetVariable#TMP_talk_knight,1
1	Q	You changed your mind, villiain? Will you duel with me?	¿Has cambiado de idea, villano? ¿Te batirás en duelo conmigo?	8		
2	A	Calm down, I am just a travelling adventurer. I am not an enemy.	Calma, sólo soy un aventurero. No soy tu enemigo.	4		
2	A	Good! A random duel to the death is always welcome. Let's do this.	¡Perfecto! Un duelo a muerte al azar siempre es bienvenido. Hagámoslo.	3		
2	A	Wh... What? Why? I am just travelling this road, why are you doing this?	¿Qu... Qué? ¿Por qué? Yo sólo viajo por esta carretera, ¿por qué haces esto?	4		
3	Q	I beg to the spirit of my ancestors, that I am the bravest and deserve victory today. May the best win!	Ruego al espíritu de mis ancestros, que hoy sea yo el más valiente y merezca la victoria. Que gane el mejor.	0		NPCHostile#vigilant_knight
4	Q	I have made an oath, to redeem my mistakes: to remain here and challenge all bypassers to a duel, for a whole day and night. If I survive, my honor will be restored.	He hecho un juramento para redimir mis faltas: permanecer aquí un dia y una noche, y desafiar a todos los viajeros a duelo. Si sobrevivo, mi honor se habrá restablecido.	5		
5	A	That is probably one of the dumbest things I've heard in my life, and believe me, I talk to a lot of people.	Esa es posiblemente una de las ideas más estúpidas que he oido en mi vida. Y créeme, hablo con mucha gente.	6		
5	A	So, what happens if we duel but I win, and then I spare your life?	Y ¿qué pasa si te derroto, pero te perdono la vida?	7		
5	A	Okay... I'll just take a detour. Goodbye.	Vale... Creo que tomaré un desvío. Adiós.	0		
6	Q	I don't care about your peasant views. Will you fight, or leave?	No me importan tus opiniones de campesino. ¿Lucharás, o te marcharás?	8		
7	Q	That is highly unlikely. But then, I would still have my honor restored, and I would make public the name of the one who defeated me in duel, so people would know of your deed.	Eso es poco probable. Pero en ese caso, mi honor quedaría restaurado, y yo haría público el nombre de quien me derrotó, para que todos le honren.	8		
8	A	Very well. Let's duel, knight.	Muy bien. Luchemos, caballero.	0		NPCHostile#vigilant_knight
8	A	Okay... I'll just take a detour. Goodbye.	Vale... Creo que tomaré un desvío. Adiós.	0		
