index	type	text	text_ES	Go To	conditions	actions
1	Q	 [BLUE](a sweet-looking young guy)[] Hey, how long are you going to be there messing with this thing? I'm already steamed up to hang around here, I've been supposed to be in New Anthur for a long time!	¿po?	2			
2,artist_2	Q	[BLUE](no less sweet-looking is the second young guy)[] Oh, come on, they're not going anywhere in New Anthur, they'll wait for us as long as we want.	po.	3		
3,artist_1	Q	 Yes, I don't care about it, I'm tired and I'm full of mosquitoes, I want to get to a decent place and finally have a good rest!	¿po?	4		
4,alice	Q	It seems that these are the musicians we are looking for. 	po.	5		
5,artist_1	Q	 Hey, who else are you?	¿po?	6		
6,artist_2	Q	The fans must have followed us from Lanneger to get autographs, right? Am I right?	po.	7		
7,alice	Q	 No, didn't guess...	¿po?	8		
8,artist_1	Q	 Then what do you want to get from the best vocalist in the kingdom?	¿po?	9		
9,alice	Q	 The best? Are you serious about this? You're just talking some nonsense fast to the monotonous drumming of your friend.	¿po?	10		
10,artist_1	Q	 It's a recitative, baby!	¿po?	11		
11,artist_2	Q	Plus my beat, baby!	po.	12		
12,alice	Q	 What? What kind of nonsense are you talking about?	¿po?	13		
13,artist_2	Q	It's hard for a hillbilly like you to understand such concepts, you just need to listen to our music and have fun!	po.	14		
14,alice	Q	 You two look more like villagers who got their inspiration for their work by listening to cows farting, and then started making songs that are the same sounds those cows make from their asses!	¿po?	15		
15,artist_1	Q	 I've had enough, I have to stay in this unbearable hole, and also put up with some local fool!	¿po?	16		
16,alice	Q	 And what will you do? Will you drive me away with your bleating, which you call vocals?	¿po?	17		
17,artist_2	Q	We have crowds of fans, it's enough to whistle, and they will rush here, and you will really regret those nasty things that you said about us!	po.	18		
18,alice	Q	 Really? Another pointless chatter?	¿po?	19		
19,artist_2	Q	Do you want to check it out, baby?	po.	0		"NPCHostile#bodyguard_artist;NPCHostile#artist_1;NPCHostile#artist_2;NPCSpawn#fan_team;SetVariable#artist_talk,2"
