progress	description	description_ES	actions
0	Echoes of the Weave	Ecos de la Trama	
10	Lyssara detected a rupture in the arcane vault of Tremadan. She wants to investigate with my help.	Lyssara detecto una ruptura en el cofre arcano de Tremadan. Quiere investigar con mi ayuda.	
20	I chose the Prudent Seal route. Lyssara wants to contain the nexus without direct manipulation.	Elegi la ruta del Sello Prudente. Lyssara quiere contener el nexo sin manipulacion directa.	
30	I chose the Rupture Resonance route. Lyssara will force direct channeling of the fractured energy.	Elegi la ruta de Resonancia de Ruptura. Lyssara forzara la canalizacion directa de la energia fracturada.	
40	The ritual has begun and the Rift Warden was awakened by the seal route. I must defeat it.	El ritual comenzo y el Guardian de la Fenda fue despertado por la ruta del sello. Debo derrotarlo.	
50	The ritual has begun and the Rift Warden was awakened by the rupture route. I must defeat it.	El ritual comenzo y el Guardian de la Fenda fue despertado por la ruta de ruptura. Debo derrotarlo.	
60	The Rift Warden fell via the Seal route. I need to collect the Fractured Heart and return to Lyssara.	El Guardian de la Fenda cayo en la ruta del Sello. Debo recoger el Corazon Fracturado y volver con Lyssara.	
70	The Rift Warden fell via the Rupture route. I need to collect the Fractured Heart and return to Lyssara.	El Guardian de la Fenda cayo en la ruta de Ruptura. Debo recoger el Corazon Fracturado y volver con Lyssara.	
90	I recovered the Fractured Heart. I need to return to Lyssara to complete the ritual.	He recuperado el Corazon Fracturado. Debo volver con Lyssara para completar el ritual.	
100	End of the Prudent Seal route: Lyssara stabilized the vault with ancient defenses and rewards me.	Fin de la ruta del Sello Prudente: Lyssara estabilizo el cofre con defensas antiguas y me recompensa.	
110	End of the Rupture Resonance route: Lyssara absorbed part of the rupture energy, growing stronger.	Fin de la ruta de Resonancia de Ruptura: Lyssara absorbio parte de la energia de ruptura, haciendose mas fuerte.	
