index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Greetings and welcome, Magus.	Saludos, te doy la bienvenida, Magus.	60	VariableEqual#guild_wizards,1		
1	Q	[BLUE](Something in the eyes of this beautiful young woman leads you to believe she's much older than she appears to be)[] A visitor. Are you here to admire the wonders of our town? Or maybe you believe yourself worthy of the Wizard's Guild? In that case, know that you're talking to the High Mage Ilemma, recruiter of the Guild.	[BLUE](Algo en los ojos de esta joven y hermosa mujer te hace pensar que enr ealidad es mucho mayor de lo que aparenta)[] Un visitante. ¿Has venido a admirar las maravillas de nuestra ciudad? ¿O quizá te crées digno del Gremio de Magos? En ese caso debes saber que soy la Alta Maga Ilemma, encargada de reclutar nuevos miembros.	2			
2	A	I think I would be a good addition to your Guild. I want to join.	Creo que sería un buen miembro del Gremio. Quiero unirme.	3			
2	A	I seek training in magical skills.	Busco entrenamiento en habilidades mágicas.	5			
2	A	I think there might be a problem with one of your spells. Someone got permanently turned into a pig.	Creo que puede haber un problema con uno de tus conjuros. Alguien ha sido transformado en cerdo permanentemente.	70	VariableEqual#pig_wife,10		
2	A	I am just having a walk around here. Goodbye.	Sólo estaba dando un paseo por aquí. Adiós.	0			
3	Q	I know well who you are. You sent us Therezza's notes about Vorators, and I have reports from your actions from other wizards. You have proved your abilities and your good will.	Conozco tus acciones. Nos hiciste llegar las notas de Therezza sobre los Vorators, y tengo informes de tu ayuda a otros magos. Has probado tus habilidades y tu buena voluntad.	50			
5	Q	"You might want to ask Dorbus about that; I only train members of our Guild."	Pregunta a Dorbus, yo sólamente entreno a miembros del Gremio.	0			
50	A	Can I now become a member of the Wizard's Guild?	¿Puedo convertirme en un miembro del Gremio de Magos?	51			
51	Q	Unfortunately, you are not born with the sparkle of magic. Maybe you can be taught a few tricks, but we only accept Mages born with the gift into our ranks.	Por desgracia no has nacido con la chispa de la magia. Quizá puedas aprender algo de algún maestro, pero sólo aceptamos a magos entre nuestras filas.	0	PlayerIsntClass#wizard		
51	Q	I am afraid you are already loyal to another guild. A Loyalty Oath can only be taken once, in a lifetime.	Me temo que ya eres leal a otro gremio. Un juramento de Lealtad sólo puede hacerse una vez en la vida.	0	PlayerHasGuild#		
51	Q	Only if you take the magical [BLUE]Loyalty Oath[]. Be aware once you take it, it will stay forever. [RED]You won't be able to join any other guild[]. If you prefer to simply remain our friend, that's fine. Don't take the oath, and come here to train or deal. Maybe I can even offer some jobs in the future.	Sólo si pronuncias el [BLUE]Juramento mágico de Lealtad[]. Recuerda que si lo haces, es para siempre, y [RED]no podrás unirte a ningún otro gremio[]. Si prefieres ser simplemente amigo, no hay problema: no tomes el juramento, y ven cuando quieras a entrenar o negociar. Puede que tenga misiones mara tí en el futuro.	52			
52	A	What do I get if I take the oath and become a member? And what will be my duties?	¿Qué obtengo si me convierto en miembro del gremio? ¿tendré obligaciones?	53			
53	Q	To become a Magus you must accept the authority of our guild above any Kingdom, faith or oaths. However you'll find that, in practice, each Magus of the guild tends to care about his own business. Years can pass before you find yourself in an assignment. The advantages are many: training, trading, and a cheaper access to teleportation using our towers.	Para convertirte en Magus debes aceptar la autoridad del Gremio por encima de ningún Reino, religión o juramento. Pero en la práctica, descubrirás que cada Magus se preocupa de sus asuntos. Pueden pasar años hasta que recibas una orden. Las ventajas son muchas: entrenamiento, comercio, y uso más barato de las torres de teleportación.	54			
