index	type	text	text_ES	Go To	conditions	actions
1	Q	"Sir Valeran has been right all this time, and you proved it by getting rid of that infernal Reactor, whatever it was. And you got rid of Amarisa; impressive."	Sir Valeran tenía razón desde el principio, y lo has demostrado apagando ese Reactor del demonio. Y te has librado de Amarisa, impresionante.	2		
2	A	Magister, I did it all to prove I am worthy of entering the Deep Gate. I want to join the Forsaken.	Magister, lo hice para demostrar que merezco entrar en la Puerta Profunda. Quiero unirme a los Olvidados.	3		
3	Q	And you will, but before... I need you to be an 'intruder' for some more time. Not much, I promise.	Y lo serás, pero ahora... Necesito que sigas siendo un 'intruso' un poquito más de tiempo. Será poco, lo prometo.	4		
4	A	I don't understand, what do you mean?	No entiendo, ¿A qué te refieres?	5		
5	Q	There's certain haughty mage called Lady Calenda, one that often challenges my authority in our order. She is undermining the cause with all her talk about the Horrors. Would you believe that an educated adult can give credit to that legend? Anyways, she is threatening the plan, and I need her removed.	Hay cierta maga presumida llamada Lady Calenda, que a menudo desafía mi autoridad en la Orden. Además está dañando a la causa hablando de esa tontería de los Horrores, ¿puedes creer que una adulta bien educada crea en esas leyendas? Bueno, en cualquier caso, debes eliminarla.	6		
6	A	Now wait a minute. I am not your personal assassin nor will I begin killing people randomly simply because they're your rivals.	Espera un momento. No soy tu asesino personal, no voy matando a la gente que te estorba y que ni siquiera conozco.	7		
6	A	Magister, it won't be a problem. Just tell me where she is.	Magister, no hay problema. Dime dónde está.	9		
7	Q	Not my assassin? A pity, because it would be very profitable for both. But, you see, it's not like you have much of a choice. See, you can't just walk through a Deep Gate, you need a Forsaken Amulet attuned to the Gate first. And there are no spares, so you might be in desperate need of a vacancy in our ranks.	"No eres mi asesino... Una pena, sería bueno para ambos. Pero el caso es que no tienes elección; uno no puede simplemente cruzar una Puerta Profunda, se necesita un Amuleto de los Olvidados, y no nos sobra ninguno así que necesitas desesperadamente que se produzca alguna baja."	8		
8	A	This doesn't make me happy, but after all I went through, I guess it's not much. Just tell me where she is.	No me hace muy feliz, pero después de todo lo que he pasado supongo que esto no es mucho. Dime dónde está.	9		
9	Q	Most excellent decision. You need to go through all this level, she's in a large dormitory to the southeast. Remember to take her amulet or you'll stay in this world forever.	Una excelente decisión. Debes cruzar este nivel hacia un dormitorio grande al sureste. No olvides coger su amuleto, o te quedarás en este mundo para siempre.	10		
10	A	At least, in this level I don't need to fight the damn robots, right?	Al menos, ene ste nivel no tengo que luchar contra robots, ¿verdad?	11		
11	Q	I am afraid they won't recognize you as one of us but there's no time for that. Do it quickly and come to the Command Bridge, it is very close to the dormitory. Before others begin to wonder about Lady Calenda, we'll be on our way to immortality. [BLUE](He makes a simple gesture and teleports away)[]	Me temo que no te reconocerán como amigo, y no hay tiempod e arreglarlo. Se rápido y después y ve al Puente de Mando, está muy cerca del dormitorio. Para cuando los demás empiecen a preguntarse dónde está Lady Calenda, iremos camino de la inmortalidad. [BLUE](Hace un pequeño gesto y se desvanece)[]	0		"NPCDespawn#magister3;SetVariable#ark_lothasan,90"
