progress	description	description_ES	actions
0	Чужаки в чужих землях	po	
10	Начальник стражи Истриля попросил меня решить проблему с орками и найти пропавшую волшебницу на Истрильском тракте.	po.	
20	Я нашёл пропавшую волшебницу по имени Эвелина Лайтвинд, теперь необходимо освободить её, ключ от клетки, в которой её заперли, возможно, находится у лидера орков в пещере неподалеку.	po.	
25	Я убил лидера орков, возможно, на его трупе я найду ключ от клетки, в которой заперли волшебницу Эвелину.	po.	
30	Я нашёл ключ, теперь необходимо освободить волшебницу Эвелину.	po.	
35	Мне удалось открыть клетку, в которой заперли волшебницу Эвелину, теперь нужно с ней поговорить.	po.	
40	Необходимо доставить Эвелину в Истриль к начальнику стражи, а также сообщить, что проблема с орками решена.	po.	
45	На меня и Эвелину напали минотавры! Я должен с ними разобраться.	po.	
50	Необходимо доставить Эвелину в Истриль к начальнику стражи, а также сообщить, что проблема с орками решена.	po.	
100	Я спас принцессу Эвелину Лайтвинд, и разобрался с орочьей проблемой, меня щедро наградили.	po.	
