index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](The Mist Hunter officer salutes you)[]May the Three guard your passage through our lands, foreigner. I advise to avoid travelling at night.	[BLUE](El oficial de los Cazadores de Nieblas te saluda )[]Que Los Tres guarden tus viajes por nuestras tierras, forastero. Te recomiendo no viajar durante la noche.	2		
2	A	Greetings. Anything you can tell me about this land, captain?	Saludos, ¿Qué puedes decirme de estas tierras, capitán?	3		
2	A	Thanks. I've come here after a rumor of a giant Mirmek sighted north of here.	Gracias. He venido hasta aquí siguiendo rumores sobre un Mirmek gigante al norte de aquí.	8	VariableEqual#prodigal_daughter,20	
2	A	Hello, good ranger. Can you give me some advice regarding the lands north of Fögas?	Saludos, Capitán. ¿Podrías darme algún consejo acerca de las tierras al norte de Fögas?	20		
3	Q	Thanks to The Three the wraiths are no longer besieging the town at night. We remain vigilant, nonetheless.	Gracias a Los Tres los espectros ya no rodean la ciudad de noche. Aun así permanecemos alerta.	0	VariableEqual#curse_foga_lifted,1	
3	Q	I won't lie to you. The reason we were deployed here is there's indeed great danger around Fögas, especially at nights. We're keeping the village safe, but little else.	Nos han destinado aquí porque hay gran peligro, no voy a mentirte. Hay peligro alrededor de Fögas, especialmente por la noche. Mantenemos el pueblo a salvo, pero poco más podemos hacer.	4		
4	A	What kind of danger?	¿Qué clase de peligro?	5		
5	Q	"Wraiths. They come from the forest each night, and surround the town. At first we tried to battle to the last of them, but then I noticed they keep coming back the next night; we just focus on defending the town, until we find out where they come from."	"Espectros. Cada noche salen del bosque y rodean la ciudad; al principio intentamos aniquilarlos, hasta que nos dimos cuenta de que cada noche regresan igualmente. Desde entonces nos limitamos a defender la ciudad hasta que averiguemos más."	6		
6	A	Thanks for the warning. I'll try to travel during the day.	Gracias por el aviso, viajaré durante el día.	0		
6	A	Do you have any theories about why the wraiths keep coming?	Tienes alguna idea acerca de por qué vienen los espectros?	7		
7	Q	"I am a ranger, not a scholar; the local priestess is trying to learn more about this, feel free to talk to her."	Soy explorador, no un erudito. La clérigo local está intentando averiguar más sobre el problema. Puedes hablar con ella.	0		
8	Q	Oh yes, that gigantic insect enveloped in magic flames. Blaze was visible miles away, far to the north. Right when we were ready to send an expedition to deal with it,  my explorers returned with good news: the beast was vanquished.	¡Ah si, ese insecto envuelto en llamas mágicas! Ocurrió algo lejos al norte, pero se veía el resplandor del incendio desde aquí. Ya íbamos a enviar una expedición a acabar con él cuando mis exploradores regresaron con buenas noticias: la bestia ha sido derrotada.	9		
9	A	Really? What happened?	¿En serio? ¿Qué ocurrió?	10		
10	Q	A foreigner woman took care of it. And since she lives in that cave in the Highlands, the deadly Vorators don't come out either, blessed be her! It's said she can heal the sickness of the mind, and people murmur that she's the Chosen of Arbenos, and call her the Flame Prophet.	Una mujer extranjera se encargó de la bestia. Y desde que vive en esa cueva, tampoco salen de ella los malditos Vorators, así que ¡bendita sea! Dicen que puede sanar la mente enferma, y la llaman la Profeta de la Llama, la Escogida de Arbenos.	11		SetVariable#prodigal_daughter,30
11	A	And where is that cave? I might want to have a look at the beast's corpse.	¿Y dónde está esa cueva? Me gustaría echar un vistazo al cadáver de la bestia.	12		
12	Q	North of here, in the Iross Highlands. The cave is not easy to find, but it's past the burning forest.	Al norte de aquí, en las Tierras Altas de Iross. La cueva no es fácil de encontrar, está cerca del bosque ardiente.	13		
13	A	The Iross Highlands? Any advice about the place would be welcome.	¿Tierras Altas de Iross? Quizá puedas aconsejarme acerca del lugar.	20		
13	A	Thanks for the information.	Gracias por la información.	0		
20	Q	The Iross Highlands are deadly at night, avoid staying after dusk. Woodsmen live there but they're strange people, not Believers, very violent. Also, there's a forest which was set ablaze by a fiery beast, and by some odd magic it still burns without consuming the trees.	Las Tierras Altas de Iross son letales de noche, viaja siempre de día. Allí viven leñadores pero son gente extraña y no Creyente, violentos. También hay un bosque que cierto monstruo prendió en llamas, y gracias a alguna extraña magia aun sigue ardiendo.	0		
