index	type	text	text_ES	Go To	conditions	actions
1	Q	Hmmm... Not bad. Small specimens, but enough for my research. Here is the promised reward	Hmmm... No está mal. Un poco pequeñas, pero suficiente para mi investigación. Aquí tienes tu recompensa.	16	"VariableEqual#easy_job,10;PlayerHasItems#2104,2"	"SetVariable#easy_job,100;LoseItems#2104,2;IncVariable#REP_wizardsguild,2;GainXP#500;GainItem#3011"
1	Q	Welcome again. As expected, I see you don't have any [BLUE]merple weeds[]. You probably believe your safety is more important than my research, don't you? Hmph. Typical.	Bienvenido de nuevo. Veo que, como esperaba, no traes mis hierbas [BLUE]merple[]. Probablemente piensas que tu seguridad es más importante que mi investigación. Hmph. Típico.	2	VariableEqual#easy_job,10	
1	Q	Welcome to the Sagar Enclave of the Wizard's Guild. You are not a member of our guild, so this hall is the only part of the tower in which you will be allowed.	Bienvenido al Enclave de Sagar del Gremio de los Magos. No eres un miembro de nuestro gremio, así que este hall es la única parte de la torre que podrás visitar.	2		
2	A	I need teleportation using your magic circle.	Necesito usar vuestro círculo mágico para teleportarme.	3	VariableEqual#know_enclave,1	
2	A	Are there any jobs that I can do for the Wizard's Guild?	¿Hay alguna misión que pueda hacer para el Gremio de los Magos?	11	VariableEqual#know_enclave,1	
2	A	Do you have anything for sale?	¿Tienes algo a la venta?	10	VariableEqual#know_enclave,1	OpenShop#
2	A	The Wizard's Guild? Enclave? We're in Varsilia, I thought the wizards were in Thuram. Why does the King of Varsilia allow you to be here?	El gremio de magos... Enclave... ? Estamos en Varsilia, creía que los magos estaban en Thuram. ¿El rey de Varsilia os permite estar aquí?	7	VariableLower#know_enclave,1	
2	A	Okay, thanks, but I must be going.	Vale, de acuerdo, pero me tengo que ir.	0		
3	Q	Sure, we can teleport you to one of our enclaves through the Kingdoms [BLUE](he points to a map)[]. But as you're not a member, nor an ally to our guild, the fee will be [BLUE]500 gold[].	Claro, podemos teleportarte a cualquiera de nuestros Enclaves en los Reinos. [BLUE](Te señala un mapa)[]. Pero como no eres miembro de nuestro gremio, ni tampoco nuestro aliado, el precio será de [BLUE]500 monedas[].	4		
4	A	Fine, teleport me to the Iron Enclave, near [BLUE]Freetown[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de Hierro, junto a [BLUE]Freetown[]! Aquí está el oro.	18	PlayerHasGold#500	
4	A	Fine, teleport me to the Inori Enclave, near [BLUE]New Garand[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de Inori, junto a [BLUE]New Garand[]! Aquí está el oro.	5	PlayerHasGold#500	
4	A	Fine, teleport me to the Great Plains Enclave, near [BLUE]Nivarian[]! Here is my gold.	De acuerdo, ¡telepórtame al Enclave de las Grandes Llanuras, cerca de [BLUE]Nivarian[]! Aquí está el oro.	20	PlayerHasGold#500	
4	A	Maybe another time.	Quizá en otro momento.	0		
5	Q	Certainly. Say when you're ready...	De acuerdo, di cuándo estás preparado...	6	IsRegistered#	
5	Q	[BLUE](You can only access this option in the full version of the game)[]	[BLUE](Sólo puedes escoger esta opción en la versión completa del juego)[]	0		
6	A	I am ready!	Estoy preparado.	0		"loseGold#500;Particle#teleport;Travel#G8_tower,2;Particle#teleport"
7	Q	[BLUE](the man raises an eyebrow)[] The Wizard's Guild enclaves remain neutral among the Kingdoms, and provide invaluable magical services and training to those in need. Assuming, that is, that they can afford it. 	[BLUE](el hombre enarca una ceja)[] Los enclaves del Gremio de Magos son neutrales en los Reinos, y prestan servicios mágicos muy valiosos, y tambien entrenamiento, a aquellos que lo necesitan... y puedan pagarlo, claro.  	8		
8	A	What kind of magical services?	¿Qué clase de servicios mágicos?	9		SetVariable#know_enclave,1
9	Q	Teleportation, purchase of magical ingredients, item crafting, enchanting, advice and research... You name it. Just make sure you have the gold for it.	Teleportación, venta de ingredientes mágicos, encantamiento de objetos, investigación... Lo que sea, mientras lo puedas pagar.	2		
10	Q	I am afraid not, maybe in a few weeks, when we receive new goods from Icemist.	Me temo que no. Quizá en unas semanas, cuando llegue la caravana desde Icemist.	2		
11	Q	You? For us? Please, don't make me laugh. If you manage to become more experienced, and don't lose any limbs in the proccess, come back and ask me again. [BLUE](You need to be at least level 6)[]	¿tú?¿Para nosotros? No me hagas reir Si consigues algo de experiencia, sin perder ningún brazo o pierna por el camino, vuelve a preguntarme. [BLUE](Necesitas ser de nivel 6)[]	12	"variableLower#easy_job,10;PlayerIsntLevel#6"	
