index	type	text	text_ES	Go To	conditions	actions
1	Q	The crimson steel gate is open now. On one side, there is a small plaque with an inscription.	Esta impresionante puerta mágica está abierta. Hay una inscripción a un lado.	2	VariableEqual#D9_crypt_unlock5,1	
1	Q	"This crimson steel gate is obviously protected by ancient magic; trying to force it open without the right key would be fruitless, and probably very dangerous. On one side, there is a small plaque with an inscription."	Esta impresionante puerta mágica de acero rojo ha sido sellada. Intentar abrirla sin la llave posiblemente sea inútil, y además peligroso. Hay una inscripción a un lado.	2		
2	A	Read the inscription.	Leer la inscripción.	3		
2	A	Try to force it open.	Intentar forzar la puerta.	4	VariableLower#D9_crypt_unlock5,1	
2	A	Unlock it using your Ruby Key.	Abrirla usando tu Llave Rubí.	5	"VariableLower#D9_crypt_unlock5,1;PlayerHasItem#2535"	"SetVariable#D9_crypt_unlock5,1;LoseItem#2535"
2	A	Walk through the gate.	Cruzar la puerta.	0	VariableEqual#D9_crypt_unlock5,1	Travel#D9_crypt,15
2	A	Ignore the door.	Ignorar la puerta.	0		
3	Q	It says 'Tenera the Learned, fifth monarch of Mercia. She discerned which books were traitorous or harmful for the Mercians, and had them burned in pyres through the Kingdom. Died in 28 AE due to an accidental fire'.	Dice: 'Tenera la Sabia, quinto monarca de Mercia. Gracias a ella se quemaron todos los libros que contenían traición o podían confundir a los mercios. Falleció en 28 DE en un incendio accidental.'	0		
4	Q	Of course it doesn't budge at all. The whole corridor is suddenly bright with magical light as you are struck by lightning. You knew this would happen, didn't you?	No consigues ni siquiera moverla. Todo el pasillo se enciende iluminado por una brillante luz mágica, cuando un relámpago cae sobre tí. Sabías que ocurriría esto, ¿verdad?	0		LoseHPShock#100
5	Q	The crimson steel gate is open now. On one side, there is a small plaque with an inscription.	Esta impresionante puerta mágica está abierta. Hay una inscripción a un lado.	2		
