index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](This elderly priest is praying and seems imprevious to anything happening around him. But he seems to shiver and smiles benevolently, slowly turning to face Hirge)[]. My dear child, Blessed be the Three, you have come!	[BLUE](Este anciano clérigo está rezando y parece ignorar todo lo que le rodea. Pero parece sentir une scalofrío y sonríe con benevolencia, girándose lentamente para miraros)[]. Mi querida Niña, Bendecidos sean Los Tres, ¡Has venido!	2	"VariableLower#ancient_seal,20;IsInParty#hirge"	SetVariable#ancient_seal,20
1	Q	I will pray for your swift and safe return, my beloved child.	Rezaré por tu rápido regreso y por tu protección, mi querida niña.	0	"VariableGreater#ancient_seal,19;VariableLower#ancient_seal,50;IsInParty#hirge"	
1	Q	Hirge! I was not sure you had really been here or it was a dream... It was that damn medicine Brother Tarlus was feeding me, may the Three confound him! My head feels clear now.	¡Hirge! No estaba seguro de si realmente habías venido o si era un sueño... Era esa maldita medicina que me daba el Hermano Tarlus, may The Three confound him! My head is clear now.	20	"VariableEqual#ancient_seal,50;IsInParty#hirge"	
1	Q	It always fills me with joy to see you again, sweet Hirge 	Rezaré por tu rápido regreso y por tu protección, mi querida niña.	0	"VariableEqual#ancient_seal,100;IsInParty#hirge"	
1	Q	[BLUE](This elderly priest is praying and seems imprevious to anything happening around him)[]	[BLUE](Este anciano clérigo está rezando y parece ignorar todo lo que le rodea)[]	0		
2,hirge	Q	Father Mantros, I could feel your distress in my dreams, by the Grace of our Lords. Tell me what is wrong.	Padre Mantros, por la Gracia de nuestros Señores pude sentir tu inquietud en mis sueños. Dime qué ha ocurrido.	3		
3,R	Q	"Wrong... Yes, something is wrong... Let me think... [BLUE](the man closes his eyes and concentrates)[]. I know it is something very dangerous but now I can't remember; maybe a little praying will clear my mind..."	Algo malo... Si, era algo malo... Déjame pensar... [BLUE](el hombre cierra los ojos y se concentra)[]. Sé que es algo muy peligroso pero no puedo recordarlo... Quizá rezar un poco me ayude...	4		
4,hirge	Q	If that is what you need, we'll pray together. [BLUE](She looks at him, saddened and concerned, and both kneel down to pray. Hirge keeps the hand of the old man between her own white hands)[].	Si eso es lo que necesitas, rezaremos juntos . [BLUE](Ella le mira entristecida y preocupada, y ambos se arrodillan para rezar. Hirge sujeta la mano del anciano entre sus blancas manos)[].	5		
5,R	Q	"Yes... Yes! Now I remember. Brother Tarlus, Master of the Order of the Seal, comes to visit me each week to bring me my medicine. But in his last visit he was very agitated; he told me the Sacred Seal has turned red! I didn't know what to do... I was so confused. Luckily The Three listened to my prayers and you are here."	Si...¡Sí! Ahora recuerdo. El Hermano Tarlus, Maestro de la Orden del Sello, viene a menudo a traer mi medicina. Pero la última vez estaba muy agitado porque ¡el Sello se ha vuelto rojo! Yo estaba confuso, no sabía qué hacer... Pero mis plegarias han sido escuchadas, porque has venido.	6		
6,hirge	Q	The Seal?!?! That is impossible, it should last twenty more years... [BLUE](Hirge's aura of resolve momentarily goes away and she looks like a scared teenager. But a silent prayer on her lips quickly brings back the gleam in her eyes)[]. Father Mantros, tell me what the monk said.	¿!¿!El Sello?!?! Eso es imposible, debería durar veinte años más... [BLUE](El aura de fuerza de Hirge parece desaparecer, mostrándose por primera vez como una adolescente asustada. Pero un breve rezo en sus labios hace que sus ojos brillen de nuevo)[]. Padre Mantros, dime qué dijo el monje.	7		
7,R	Q	[BLUE](The man seems to have freed himself of a heavy burden. He looks at Hirge and smiles, as if he had just seen her for the first time)[] Ah my dear child, I am glad to see you here. But now I am very tired, please allow me to rest. You must go, but return soon!	[BLUE](El hombre parece haberse librado de una pesada carga. Mira a Hirge y sonríe como si acabara de llegar)[] Ah, querida niña, me alegro de verte. Pero estoy muy cansado... Ahora debes marcharte, pero regresa pronto!	8		
8,hirge	Q	[BLUE](Saddened, she caresses the man's head)[]. I'll go visit Brother Tarlus, and make everything right. Now rest easy.	[BLUE](Entristecida, acaricia la cabeza del hombre)[]. Visitaré al Hermano Tarlus  y solucionaré todo. Ahora descansa.	9		
9	A	Hirge, what's going on?	Hirge, ¿Qué ocurre?	10		
10,hirge	Q	The Sacred Seal of Mount Orogg is weakening, decades before it should. I ask you to accompain me to talk to the monks and investigate.	El Sello Sagrado del Monte Orogg se está debilitando, décadas antes de lo debido. Te pido que vayamos a ver a los monjes para investigar.	11		
11	A	That sure sounds ominous, but can you tell me more about that Seal?	Suena bastante mal, ¿puedes contarme más acerca de ese Sello?	12		
12	Q	"Our Lord Arbenos finished the power of the Witches, but still much evil remained inside Mount Orogg. Ancient evil spirits and other servants of the Witches still lurk the Forbidden Pits, too strongly rooted to be removed; thus the Sacred Seal was inscribed, to keep all the evil trapped inside."	Nuestro Señor Arbenos acabó con el poder de las Brujas, pero aun mucho mal permaneció dentro del monte: espíritus malignos que moran en el Foso Prohibido, demasiado fuertes y arraigados para ser eliminados. Así que se creó un Sello Sagrado para encerrar el mal dentro de la montaña.	13		
13	A	This begins to sound ridiculously dangerous once more... But I guess someone has to clean what the Kingdoms sweep under their carpets. How urgent is this?	Esto suena terriblemente peligroso... Pero supongo que alguien tiene que limpiar lo que los Reinos barren debajo de la alfombra. ¿Es esto muy urgente?	14		
14	Q	[BLUE](You notice something in Hirge's voice... Despite appearing calm, she is obviously affected)[] We should go west to Mount Orogg when we can, but if the Monks never raised an alarm to Nivarian then things must still be under control. 	[BLUE](Percibes algo en la voz de Hirge... Pese a su calma, está claramente afectada)[] Deberíamos ir al oeste, al Monte Orogg cuando podamos. Pero si los monjes no han avisado a Nivarian las cosas deben seguir aun bajo control.	15		
15	A	"...Or maybe all the monks died before raising the alarm; I guess we'll check the place. Hirge, are you alright?"	"...O quizá los monjes han muerto y por eso no han dado la alarma; echaremos un vistazo. Hirge, ¿estás bien?"	16		
16	Q	I... I will tell you more once we are in the Forbidden Pits of Orogg.	Yo... Te diré más una vez estemos en el Foso Prohibido de Orogg.	0		
20,hirge	Q	[BLUE](When she notices Mantros' mind has recovered, Hirge smiles and tears come to her eyes. She embraces the old man)[] Father, I am so happy to see you feel well again. The monks were traitors, but they were defeated and the Sacred Seal is still strong, as it should.	[BLUE](Cuando se da cuenta de que Mantros ha recuperado su mente, Hirge sonríe y brotan lágrimas de sus ojos)[] Padre, estoy feliz de verte recuperado. Los monjes eran traidores, pero han sido derrotados y el Sello está en perfecto estado, como debe estar.	21		
21,R	Q	"It saddens me to hear about the monks, those evil spirits can poison the mind of those unaware; but I am proud of you. As your teacher I always knew you were called to be a true heir of your Lineage, my dear child. "	"Me entristece lo de los monjes, esos espíritus malignos envenenan la mente de quien no se prepare; pero estoy orgulloso de ti. Como tu Maestro, querida niña, siempre supe que estabas llamada a ser digna heredera de tu linaje."	22		
22,hirge	Q	[BLUE](Hirge opens her eyes wide shocked)[]But... How can you say that? I failed in all the tests and trials you challenged me with, and finally you refused to train me further! That was why I abandoned my rank and the palace, in the hope of deserving the Three's inspiration. I thought I was unworthy.	[BLUE](Hirge abre mucho los ojos, sorprendida)[]Pero... ¿Cómo puedes decir eso? ¡Fracasé en todas las pruebas a las que me sometiste! Y un día decidiste dejar de ser mi maestro. Eso me hizo decidir abandonar mi rango y el palacio, con la esperanza de merecer los dones de Los Tres. Pensaba que no era digna.	23		
23,R	Q	"My sweet child... The harsh words, sending you away, it was all part of your training. Already at the age of twelve you were too powerful, too strong, and constantly praised by everyone around you. I feared you'd become arrogant and weak-willed; it pained my heart but as your teacher I had to do it."	Mi querida niña... Las palabras duras, el rechazo, sólo fue parte de tu entrenamiento. Con sólo doce años eras demasiado poderosa, constantemente elogiada por todos. Temía que te volvieses vanidosa, arrogante, débil. Tuve que hacerlo, como tu maestro fue lo correcto incluso si fue doloroso.	24		
24,hirge	Q	I... I think I understand. I am ready to complete my training with you, then? All these years I worked hard to deserve it.	Yo... Creo que lo comprendo. Entonces, ¿Estoy lista para completar mi entrenamiento contigo? Todos estos años trabajé duro para merecerlo.	25		
25,R	Q	"[BLUE](Laughs)[] You still don't get it. Your training is complete; from now on you'll learn from a teacher that is even harder than I was: your own mistakes. May The Three guide your every step!"	"[BLUE](Rie)[] Todavía no lo entiendes. Tu entrenamiento está completo; desde ahora sólo aprenderás de un maestro que es aun más duro que yo: tus propios errores. ¡Que Los Tres guíen todos tus pasos!"	0		"SetVariable#ancient_seal,100;GainXP#3000;UpgradeCompanion#hirge"
