index	type	text	text_ES	Go To	conditions	actions	
1	Q	"Welcome to the fort, foreigner; even if you're not Mercian we will always be hospitable to a traveller in such remote lands. I'm Centurion Hyartis, and this is what remains of the Ninth Legion."	"Bienvenido al fuerte, extranjero; Incluso si no eres Merciano, siempre seremos hospitalarios con un viajero en tierras tan remotas. Soy el centurión Hyartis, y esto es lo que queda de la Novena Legión."	2	VariableLower#last_legion,10	SetVariable#last_legion,10	
1	Q	Greetings again, foreigner.	Saludos de nuevo, extranjero.	10			
2	A	Greetings, Centurion. What do you mean by 'remains'? You were under attack?	"Saludos, Centurion. ¿Qué quieres decir con ""lo que queda""? ¿Habéis sido atacados?"	3			
3	Q	"It's complicated. Our Commander, Annaras, was a mighty and loyal soldier of our Kingdom. But he was decreed a Traitor and ordered to return to the capital to stand trial together with all officers;  we of course laughed at the order and remain loyal to him, because he has always been like a father to us all."	"Es complicado. Nuestro Comandante, Annaras, fue un poderoso y leal soldado de nuestro Reino. Pero fue declarado Traidor y se le ordenó regresar a la capital para ser juzgado junto con todos los oficiales; Por supuesto, nos reímos de la orden y le seguimos siendo leales, porque siempre ha sido como un padre para todos nosotros."	4			
4	A	But... He isn't here anymore?	Pero ... ¿ya no está aquí?	5			
5	Q	The Commander marched east weeks ago leading the elite companies, ordering us to defend the fort until his return.  I am sure he had a plan, maybe to meet with some allies. But it has been a long time and he may not be able to return at all. We can't resist much longer here.	El Comandante tomó algunas de las mejores tropas hace semanas y marchó hacia el este, ordenándonos defender el fuerte hasta su regreso. Estoy seguro de que tenía un plan, tal vez reunirse con aliados. Pero ha pasado mucho tiempoy podría no regresar. Aquí no podemos resistir mucho más.	6			
6	A	I can see you're in trouble. I've met many deserters in the woods.	Ya sé que tenéis problemas. He visto muchos desertores en el bosque.	7			
7	Q	Over half the men deserted and I can't blame them. We barely forage enough food, and the natives give us no quarter. And if we ever return to Freetown... We might be hanged as traitors, especially officers. If we remain here we can't last more than a few weeks anyways.	Más de la mitad de los hombres desertaron y no puedo culparlos. Apenas conseguimos comida suficiente y los nativos no nos dan tregua. Y si alguna vez regresamos a Freetown ... Podríamos ser ahorcados por traidores, especialmente oficiales. Si nos quedamos aquí no podemos durar más de unas pocas semanas de todos modos.	8			
8	A	You're not in a good spot. So what will you do now?	No estás en un buen lugar. ¿Y qué vas a hacer ahora?	9			
9	Q	"[BLUE](You suddenly realize how young and exhausted he looks)[] I... don't know. I am an officer, and I was close to the Commander, so very likely I'll be hanged. But all I really care about is the safety of my men; I'd give the order march east right now, but if we do, we'll be slaughtered by the natives as soon as we're in the open."	"[BLUE](De repente te das cuenta de lo joven y exhausto que se ve)[] No ... no lo sé. Soy un oficial y estaba cerca del Comandante, por lo que es muy probable que me ahorquen. Pero lo único que realmente me importa es la seguridad de mis hombres; Daría la orden de marchar hacia el este ahora mismo, pero si lo hacemos, los nativos nos matarán tan pronto como estemos al aire libre."	50			
10	A	I got rid of Hunting Moon, and the Varannari Warriors are in disarray now. You can leave this camp safely.	Me deshice de Luna Cazadora, y los guerreros Varannari han caido en el caos. Podéis abandonar el campamento de forma segura.	12	VariableEqual#last_legion,30		
10	A	I negotiated with the Varannari, and they will let you go... In exchange of a hundred wolf pelts. You don't happen to have them in storage, do you?	Negocié con los Varannari y os dejarán marchar ... A cambio de cien pieles de lobo. No las tendrás por ahí, ¿verdad?	13	"VariableLower#last_legion_pelts,1;VariableEqual#last_legion,40"		
10	A	I negotiated with the Varannari, and they will let you go. Now hurry, before they change their mind!	Negocié con los Varannari y os dejarán marchar. ¡Daos prisa, antes de que cambien de opinión!	14	VariableEqual#last_legion,50		
10	A	I have good news and bad news. The good news is that all your doubts and fears are over, the bad news is... Your life is, too! [RED](Attack)[]	Tengo buenas noticias y malas noticias. La buena noticia es que todas tus dudas y miedos se acabaron, la mala noticia es ... ¡Tu vida también! [ROJO](Atacar)[]	11	VariableEqual#last_legion,70		
10	A	Centurion, I bring good news. The Varannari are willing to make peace with you and allow you to stay here indefinitely. Those of your men that prefer to leave, will be allowed to do so after leaving their weapons.	Centurión,  traigo buenas noticias. Los Varannari están dispuestos a hacer las paces y permitir que os quedeis indefinidamente. Aquellos que prefieran irse, podrán dejar las armas y hacerlo.	15	VariableEqual#last_legion,60		
10	A	I need to go.	Me tengo que marchar.	0			
11	Q	Have you lost your mind?! To arms! We're under attack!	¿¡Te has vuelto loco?! ¡A las armas! ¡Nos atacan!	0		"SetVariable#last_legion,80;NPCHostile#legion;NPCSpawn#attacker"	
12	Q	[BLUE](He looks at you surprised... and somewhat saddened)[] Is she dead? I can't say I am happy about her death, but we are now safe and I am indebted to you for saving my men. I don't have much to give, but here are some of our best standard armors. We will begin the preparations right away and go home.	[BLUE](Te mira sorprendido... y algo entristecido)[] ¿Está muerta? No puedo decir que me alegre, pero desde luego nos pone a salvo. Estoy en deuda contigo por salvar a mis hombres, aventurero. Estas son algunas de nuestras mejores armaduras estándar, puedes quedarte con ellas. Prepararemos nuestra marcha de inmediato.	0		"SetVariable#last_legion,110;GainXP#1500;GainItem#151;GainItem#156"	
13	Q	A hundred! Most certainly not. We did hunt plenty of wolves last summer, let me see what we got. [BLUE](He orders his men to bring forward every pelt in the camp, and dozens of them are quickly piled in front of you)[] Not quite enough, but maybe you can hunt down the rest.	¡Un centenar! Imposible. Cazamos muchos lobos el verano pasado, déjame ver qué tenemos. [BLUE] (Ordena a sus hombres que saquen todas las pieles del campamento, y decenas de ellas se apilan rápidamente frente a ti) [] No es suficiente, pero tal vez puedas cazar el resto.	0		"SetVariable#last_legion_pelts,1;GainItems#1002,70"	
14	Q	[BLUE](The officer nods and salutes you)[] It's time for me to return my men safely to Freetown then, and face my trial. I thank you, adventurer. I don't have much to give, but here are some of our best standard armors. We will begin the preparations right away.	[BLUE](El oficial asiente y saluda)[] Es hora de que lleve a mis hombres a salvo a Freetown y me enfrente a mi sentencia. Gracias, aventurero. No tengo mucho para dar, pero estas son algunas de nuestras mejores armaduras estándar. Comenzaremos los preparativos de inmediato.	0		"SetVariable#last_legion,110;GainXP#1500;GainItem#151;GainItem#156"	
15	Q	That sounds... Intriguing, but hard to believe. [BLUE](The man sits down on a stool and invites you to do the same)[]. Explain me the details.	Eso suena ... Intrigante, pero difícil de creer. [BLUE](El hombre se sienta en un taburete y te invita a hacer lo mismo)[]. Explícame los detalles.	16			
16	A	"The Varannari demand that your men submit to the authority of their council of Elders. They'll trade with you all the food you need in exchange of tools and knowledge; your ability to forge and build would be invaluable to them. And you'll defend this land as if it was your own, from now on."	"Los Varannari exigen que obedezcáis a su consejo de ancianos. Ellos comerciarán con vosotros, toda la comida que necesitéis a cambio de herramientas y conocimientos; vuestra habilidad para forjar y construir sería muy valiosa para ellos. Y defenderéis esta tierra como si fuera vuestra, a partir de ahora."	17			
17	Q	[BLUE](He raises an eyebrow)[] We wouldn't have a problem with that, not most of us at least. But... they'll trust us just like that?	[BLUE](Levanta una ceja)[] No tendríamos ningún problema con eso, al menos la mayoría. Pero ... ¿confiarán en nosotros así como así?	18			
18	A	"I am glad you are sitting while you hear the rest. You will have to marry Hunting Moon, and move with her to the Forest. Your men here in the fort will become your 'clan', and you'll be held responsible for their actions; for your own sake I hope they behave..."	"Me alegro de que estés sentado para oir esto. Tendrás que casarte con Luna Cazadora, y vivir con ella en el Bosque Anciano. Tus hombres aquí en el fuerte se convertirán en tu 'clan', y serás responsable de sus acciones; por tu propio bien, espero que se comporten."	19			
19	Q	[BLUE](The man is completely taken by surprise, and blushes)[] What!?!? Hunting Moon almost beheaded me in an ambush last month. The natives despise us mercian officers, you must be mistaken. There's no way that beautiful Forest Goddess... I mean, that savage... would be interested in marrying me.	[BLUE] (sus ojos se abren como platos y se sonroja) [] ¡¿¡Qué!?!? Luna Cazadora casi me decapita en una emboscada el mes pasado. Los nativos nos desprecian, debes estar equivocado. No hay forma de que esa hermosa Diosa del Bosque ... quiero decir, esa salvaje ... esté interesada en casarse conmigo.	20			
20	A	Apparently she was very impressed with your... 'survival skills'. This is the best possible deal I could get for your men, Centurion.	Aparentemente, ella estaba muy impresionada con tus ... 'habilidades de supervivencia'. Este es el mejor trato posible que pude conseguir para sus hombres, centurión.	21			
21	Q	Yes, I agree. [BLUE](He sighs)[] And I know this is something I must do, for my men. To be honest this land and people fascinate me, and she is no less alluring. I hope discipline holds among my men or she'll probably break my neck, but it's a risk I'm willing to run. So be it, I will go tomorrow. 	Sí estoy de acuerdo. [BLUE](Suspira)[] Y sé que esto es algo que debo hacer, por mis hombres. Para ser honesto, esta tierra y su gente me fascinan, y ella no es menos atractiva. Espero que la disciplina se mantenga entre mis hombres o probablemente ella me romperá el cuello, pero es un riesgo que estoy dispuesto a correr. Que así sea, iré mañana.	22			
22	A	Well, congratulations then! I think your alliance, if it holds, will make this place impregnable to any future invasion.	Bueno, ¡felicitaciones entonces! Creo que esta alianza, si se mantiene, hará que este lugar sea inexpugnable a cualquier invasión futura.	23			
23	Q	"I agree, and you made it possible. This may not be the outcome I expected, but you prevented a major bloodshed and I am in awe at your way to negotiate with the Varannari. Before the Commander left, he gave me this relic as a farewell gift; Now let this be my farewell gift to you. [BLUE](He hands you an imposing war helm)[]"	"Estoy de acuerdo, y tú lo hiciste posible. Puede que este no sea el resultado que esperaba, pero evitaste un gran derramamiento de sangre y estoy asombrado por tu manera de negociar con los Varannari. Antes de que el Comandante se fuera, me dio esta reliquia como regalo de despedida; Ahora que este sea mi regalo de despedida para ti. [BLUE](Te entrega un imponente yelmo de guerra)[]"	24		"SetVariable#last_legion,120;GainXP#2500;GainItem#222;IncVariable#REP_varannari,5"	
24	A	Good, given what she plans for you, you won't get to wear any 'protection' at all...	Bien, por lo que me dijo de sus planes para tí, no te va a dejar que uses 'protección' de ningún tipo...	25			
25	Q	What do you mean? I am sure the Varannari will value my fighting skills! They'll make me a war chief or something.	¿Qué quieres decir? ¡Estoy seguro de que los Varannari valorarán mis habilidades de lucha! Me nombrarán jefe de un grupo de cazadores o algo así.	26			
26	A	Oh, I am sure they will. Don't worry about a thing. Goodbye!	Oh, estoy seguro. No te preocupes por nada. ¡Adiós!	0			
50	A	It's hard to believe you are so helpless, with so many men here.	Es difícil creer que estéis tan indefensos con tantos hombres aquí.	51			
51	Q	"We tried to push back the Varannari, but in our current shape we are no match for them. Their war-chief Hunting Moon is a clever and strong commander; she almost loped my head off. I wish we could parlay, I admire the savages; they're tough, the kind of people that would grow in a merciless and beautiful land like this."	"Bueno, intentamos hacer retroceder a los Varannari, pero ahora mismo no somos rival para ellos. Su jefe de guerra Luna Cazadora es una comandante inteligente y fuerte, casi me arranca la cabeza. Ojalá pudiéramos parlamentar, admiro a esos salvajes; son duros, el tipo de personas que crecerían en una tierra despiadada y hermosa como esta."	52			
52	A	You think of them as 'people' and admire them? Not many Mercians think that way.	¿Piensas en ellos como 'personas' y los admiras? No muchos en Mercia piensan así.	53	NPCisntDead#C11_hunting_moon		PER#2
52	A	Maybe I can find a way to help. Goodbye.	Quizás pueda encontrar una forma de ayudar. Adiós. 	0	NPCisntDead#C11_hunting_moon		
52	A	If your problem was that 'Hunting Moon' you should know I got rid of her.	Si tu problema era esa 'Luna Cazadora', debes saber que me he librado de ella.	12	NPCisDead#C11_hunting_moon		
53	Q	[BLUE](He smiles)[] I'm already considered a traitor so I can speak my mind freely. Tribunes and Praetors get rich off slavery and love that mentality, and some fanatics truly believe it, because many feel comforted by seeing someone is beneath their station. But for the common mercian man? it's nonsense. Slaves are people, of course.	[BLUE](Sonríe)[] Ya soy considerado un traidor así que puedo decir lo que pienso libremente. Los Tribunos y Pretores se enriquecen con la esclavitud y aman esa mentalidad, y algunos fanáticos realmente lo creen, porque muchos se sienten reconfortados al ver que alguien está por debajo de ellos. ¿Pero para el merciano común? No tiene sentido. Los esclavos son personas, por supuesto.	54		"SetVariable#last_legion,15; setvariable#KNOW_slavery_centurion,1;GainXP#500"	
54	Q	"No one will admit this though, and we will still throw the slurs around and laugh, because that's what everyone does. [BLUE](After his bitter speech he makes a pause and sighs)[] Sorry for my ramblings, adventurer; I've spent a lot of time in this strange land and that has probably made a number on my head. Now please excuse me."	"Sin embargo, nadie admitirá esto, y seguimos con los insultos ylas burlas, porque eso es lo que todos hacen. [BLUE](Después de su amargo discurso hace una pausa y suspira)[] Perdón por mis divagaciones, aventurero; He pasado mucho tiempo en esta tierra extraña y eso probablemente me perturba. Ahora por favor discúlpame."	55			
55	A	Maybe I can find a way to help. Goodbye.	Quizás pueda encontrar una forma de ayudar. Adiós. 	0			
