progress	description	description_ES	actions
0	The Price of Freedom	El Precio de la Libertad	
10	Praetor Silena, a mercian officer from Jabal, has told me that some native Varannari are outside the wall, planning something. I am not sure what I can do about it... Or what I should do about it.	Praetor Silena, una oficial mercia de Jabal, me dijo que varios nativos Varannari están fuera del muro, planeando algo. No estoy seguro de qué puedo hacer... O qué debería hacer.	
20	I managed to convince the young Varannari hunters to simple leave without trying their rescue plan. Probably the Praetor in Jabal will give me a reward.	Conseguí concencer a los jóvenes cazadores Varannari de que se marchen sin intentar rescatar a su clan. Posiblemente la Praetor de Jabal me dará una recompensa.	
30	I agreed to help the Varannari to escape the slave pit in Jabal. They want me to distract the Praetor while they finish their tunnel.	He accedido a ayudar escapar a los esclavos en Jabal. Tengo que encontrar una forma de distraer a la Praetor.	
60	I managed to distract the Praetor away from the slaves, I should quickly meet with the Varannari outside the wall now, so they use their tunnel.	He conseguido engañar a la Praetor para que se aleje de los esclavos... Debería avisar a los Varannari fuera de la ciudad, para que usen el túnel.	
70	I betrayed the Varannari hunters, telling the Praetor where they hide. Now it's my task to destroy them.	Traicioné a los cazadores Varannari, diciendo al Praetor dónde se esconden. Ahora mi tarea es destruirles.	
75	I found and attacked the Varannari hunters that were near Jabal.	He encontrado y atacado a los cazadores Varannari que estaban cerca de Jabal.	
80	I killed the Varannari hunters that were causing trouble around Jabal. Probably the Praetor in Jabal will give me a reward.	He acabado con los nativos Varannari que merodeaban alrededor de Jabal. Posiblemente la Praetor me dará una recompensa.	
100	I helped the Varannari slaves escape from Jabal.	Ayudé a que los esclavos Varannari escapasen de Jabal.	
110	I prevented the Varannari slaves from escaping the Jabal slave pit.	He evitado que los esclavos Varannari se escapasen de Jabal.	
