index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Oh, there's talk about what you did... It is not what we wanted. This may help for a while, though. We gathered a reward for you, traveller, I guess I should thank you.	Oh, se habla de lo que has hecho... No es lo que queríamos. Puede ayudar por un tiempo, no obstante, así que hemos reunido una recompensa. Supongo que debemos darte las gracias.	0	VariableEqual#those_in_need,30	"GainItem#1003;GainGold#150;IncVariable#REP_varsilia,1;SetVariable#those_in_need,100"	
1	Q	Oh, there's talk about what you did... It is not what we wanted. You just managed to annoy her, which will probably make things much worse.	Oh, se habla de lo que has hecho... No es lo que queríamos. Sólo has conseguido enfurecerles, y posiblemente dejar las cosas peor de lo que estaban.	0	VariableEqual#those_in_need,25	SetVariable#those_in_need,210	
1	Q	Oh, there's talk about what you did... You made them flee! Impressive!. This may solve our problems for a long time. We gathered a reward for you, traveller, thanks for your help.	Oh, se habla de lo que has hecho... ¡Has conseguido que huyan!. Esto nos va a ayudar durante un tiempo, así que hemos reunido una recompensa. Gracias por tu ayuda.	0	VariableEqual#those_in_need,50	"GainItem#1003;GainItem#1003;GainGold#300;IncVariable#REP_varsilia,3;SetVariable#those_in_need,100;GainXP#300"	
1	Q	You are back. Any luck trying to send those bandits away?	Estás de vuelta. ¿Ha habido suerte asustando a esos bandidos para que se marchen?	20	VariableEqual#those_in_need,40		
1	Q	[BLUE](This aged man has frightened eyes fixated on the ground)[] Please sir, we are poor, we have nothing, let us be.	[BLUE](Este anciano tiene sus ojos huidizos clavados en el suelo, al igual que los demás aldeanos)[] Por favor señor... Somos pobres, no tenemos nada... Déjanos en paz.	2	VariableLower#those_in_need,10		
1	Q	Greetings again.	Saludos de nuevo.	0			
2	A	I demand gold from you, or I'll burn down your village.	Exijo dinero, o prenderé fuego a vuestra aldea	3	VariableLower#those_in_need,10	"GainItem#1003;GainItem#1003;GainGold#200;DecVariable#REP_varsilia,4;SetVariable#those_in_need,200"	
2	A	Um... Okay... I didn't feel like harming innocent people anyways. Goodbye.	Um... De acuerdo... Tampoco me apetecía mucho el atacar a inocentes hoy. Adiós.	0			
2	A	Hey, I'm just a harmless traveller. What's the problem?	Hey, sólo soy un viajero, no temas. ¿Qué pasa aquí?	10	VariableLower#those_in_need,10		
3	Q	[BLUE](His imploring eyes glance at you for a brief moment, before he nods, defeated, trembling)[] Yes, yes, please don't kill us. Please have this gold and these furs, and leave us alone.	[BLUE](sus ojos suplicantes te miran un instante, antes de que el hombre, cabizbajo, se rinda, temblando)[] si, si, por favor, no nos mates. Toma estas pieles y este oro, es lo que tenemos.	0			
10	Q	"You... You are not a bandit? They plague us through the year, I thought you were another one. There is a nasty bandit gang right now that won't leave us alone; they come here often and demand food and the little coins we have. They look very tough, and organized. Being so poor, this situation is unbearable for us..."	"¿No eres un bandido? Para nostros son una plaga todo el año, pensaba que eras uno nuevo. Hay una banda de forajidos ahora mismo que no nos deja tranquilos; constantemente vienen y nos exigen comida y las monedas que tengamos. Parecen muy duros y bien organizados. Somos tan pobres que para nosotros es insoportable..."	11			
11	A	Maybe I could help. Tell me where they hide, and I'll wipe them out.	Quizá pueda ayudar. Dime dónde se esconden, yacabaré con ellos.	14			
11	A	Wait a minute... Aren't these the lands of the Baron Storme? He's like, the most powerful noble in Varsila after the King. Go ask him help!	Espera un minuto... ¿estas no son las tierras del Barón Storme? Es el noble más poderoso de Varsilia después del Rey. ¡Pedidle ayuda!	12			
12	Q	[BLUE](the man looks up at the somber fortress on the peak, with more fear in his eyes than when he talked about the bandits. You realize there is something very wrong, up there in that castle)[] No... No. We can't bother the Baron with this.	[BLUE](el hombre mira con pavor a la fortaleza sombría en lo alto del monte, y te das cuenta de que en ese sombrío castillo, hay algo que anda muy mal)[] No... No vamos a molestar al barón con esto.	13			
13	A	Very well, I'll find them and destroy them.	Muy bien, les buscaré y acabaré con ellos.	14			
13	A	I see. Goodbye.	Ya veo. Adiós.	0			
14	Q	No! I know what will happen. You'll fight some of them, and we'll be fine for a while. But then you'll leave, and their friends will come to us, and retaliate. If you want to help, maybe you can just scare them away, or convince them to go elsewhere on their own. Promise me you won't just assault them.	¡No! Sé lo que pasará. Lucharás con ellos, y eso resolverá el problema un tiempo. Pero luego te marcharás, y sus amigos vendrán a vengarse de nosotros. Intenta asustarles para que se vayan, o convencerles ed algún modo. Por favor prométeme que no vas símplemente a atacarles.	15			
15	A	I will deal with this problem as I see fit, in my own terms. Do your own job and let me do mine.	Me encargaré de este asunto como me plazca, haz tu trabajo que yo sé hacer el mío.	0		"SetVariable#those_in_need,10;NPCSpawn#veterans"	
15	A	I promise, I'll go to them and try to solve this matter without bringing you trouble.	Lo prometo, intentaré hablar con ellos y resolver el asunto sin causaros más problemas.	0		"SetVariable#those_in_need,15;NPCSpawn#veterans"	
15	A	I really don't care much about any of this. This is the Baron Storme's business, not mine.	No me importa mucho esta historia. Debería encargarse el Barón Storme, no yo.	0			
20	A	They are not exactly bandits. They are war veterans, poorer than you, and desperate.	"No son exáctamente bandidos; son veteranos de guerra, más pobres que vosotros, y desesperados."	21			
20	A	I... I am still working on it. Goodbye.	Yo... Sigo en ello. Adiós.	0			
21	Q	What? I don't care about their backstory, a bandit is a bandit. Go and make them leave!	¿Qué? No me importa la historia de sus vidas, un bandido es un bandido. ¡Haz algo para que se marchen!	22			
22	A	I think you should take them into the village, out of humanity	Creo que deberíais acogerles en la aldea, por humanidad.	23			
22	A	You are right. I'll go back to them and make sure they never bother you again.	Tienes razón. Voy a verles de nuevo y me aseguraré de que no os molesten.	0		SetVariable#those_in_need,70	
22	A	Think about this the right way, old man. Keep those men fed and sheltered, and they'll protect you from banditry, forever. Your own guards. At your orders.	Piensa en ello como es debido, anciano. Acepta a esos cuatro hombres, y te protegerán de los bandidos para siempre. Tus propios guardias, a tus órdenes.  	24			INT#2
22	A	Those men fought bravely for the Kingdom... And now they have nothing. If you turn your back to them, you'll be forcing them into banditry. Don't expect me to help, when you're incapable of doing the same.	Esos hombres lucharon valientemente por el reino... Y ahora no tienen nada. Si les das la espalda, no les queda otra salida que el crimen. No esperes mi ayuda, si tú no estás dispuesto a ayudar a otros.	24			PER#3
23	Q	No, no and a thousand times no. The food is too scarce, and there's enough bandits outside in the woods, for me to accept some into our houses as well.	No, no y mil veces no. La comida es escasa, y ya hay bastantes bandidos ahí fuera en el bosque, como para meter a algunos en nuestras casas.	0		SetVariable#those_in_need,70	
24	Q	[BLUE](The man seems to be impressed by your words)[] You are right about that. It will not be easy to explain this to the other villagers, but I think this is the right choice. Go tell them they're welcome, if they agree to submit to our rules.	[BLUE](el hombre parece impresionado por tus palabras)[] Tienes toda la razón. No va a ser fácil explicárselo a los otros aldeanos, pero es la decisión correcta. Ve a decirles que son bienvenidos, si aceptan vivir bajo nuestras reglas.	0		SetVariable#those_in_need,90	
