index	type	text	text_ES	Go To	conditions	actions
1	Q	Urvyyyy, raah guaaaag, aarvaa aahraaa?	port	4	NPCisFollower#	
1	Q	Houw, raah guaaaag. Raahhhh waauuuu eeaaaar wee. Uaaaah vuuuurrr muuaaaag, {LEVELx50} ooeeeeeg muuueeeg ruuuuaaaa.	Hola, amigo. po  {LEVELx50}  rt.	2		
2	A	Sorry, but there are already too many of us in the group.	port.	0	hasFollower#	
2	A	That would be great! Follow me. Welcome to the team.	port.	0	"hasNoFollower#;PlayerHasGold#{LEVELx50}"	"NPCFollow#;LoseGold#{LEVELx50}"
2	A	Not now, thank you. Maybe in the future.	port.	3		
3	Q	Muaua. Vuarrr uuuuaua vuuuea bwuuau mooooaa.	port.	0		
4	A	Nothing, let's move on.	port.	0		
4	A	I don't need your services anymore. Thank you for your help and goodbye.	port.	5		
4	A	Please move a little, you're standing in the way.	port.	6		
5	Q	Vuu bwuuuaa mroooau! Uaurrr rvaaae fruaue rrrrvuaaaa.	port.	0		NPCStopFollowing#
6	Q	Yuumaaae.	port	0		NPCMoveRandom#
