index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](The dark knight sits in a corner of the Warriors Guild area, sharpening a black longsword. Fresh scratches mark his armor. He senses you before you speak.)[] You survived. Good. Sit down. We need to talk.	[BLUE](El caballero oscuro se sienta en un rincón del área del Gremio de Guerreros, afilando una espada larga negra. Arañazos frescos marcan su armadura)[] Siéntate. Tenemos poco tiempo y demasiado que discutir.	2			
2	A	[A] You again. You never told me your name.	[A] Tú otra vez. Nunca me dijiste tu nombre.	3			
2	A	You look like you've been fighting.	Parece que has estado peleando.	4			
2	A	I'm tired of your games. Tell me the truth.	Estoy cansado de tus juegos. Dime la verdad.	5			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	*pauses sharpening, considers you* ...Furulipo. My name is Furulipo. You earned that much by staying alive this long. *finally looks up* People are dying. More than usual. Something is stirring beneath this land, and I can feel it getting closer.	*media sonrisa, la primera que le has visto* Furulipo. Mi nombre es Furulipo. Y antes de que preguntes, sí, es un nombre ridículo para un caballero oscuro. Créeme, he escuchado todas las bromas. *se pone serio* Pero no sobreviví diez años por mi nombre. Sobreviví porque observo. Aprendo. Y nunca dejo de vigilar a las personas que importan.	4			
4	Q	*glances at scratches* Shadow creatures. Three nights ago. In the ruins south of here. They were tracking something. Or someone. *meaningful look* I made sure they stopped tracking. Permanently.	*toca las marcas en su armadura* Peleando. Siempre peleando. No contra bandidos ni goblins. Contra algo peor. *baja la voz* He estado rastreando movimientos. Patrones. Personas que no deberían estar donde están, haciendo cosas que no deberían hacer. Y todo... *te mira* ...todo rodea a personas como tú.	5			
5	Q	*sets down sword, meets your eyes* The full truth? *slow headshake* I WANT to tell you. But I've seen what happens when someone learns too much too fast. They panic. Make mistakes. Die. You're not ready for everything. But you're ready for the next piece.	*se inclina hacia adelante, intenso* ¿La verdad? La verdad es un arma, niño. Y yo no reparto armas a personas que no pueden empuñarlas. *pausa* Pero te has ganado... un poco más. Así que escucha con atención.	6			
6	A	What's happening in Varannar?	¿Qué sabes sobre lo que me persigue?	7			
6	A	[A] What are you protecting me from?	¿Quiénes son estos enemigos?	7			
6	A	Those people who share my 'spark'... are they safe?	¿Qué eres exactamente?	12			
6	A	What should I do next?	Debo irme. (Salir)	15			
6	A	I should go. (Leave)	*mira alrededor, baja más la voz* Hay una organización. Sin nombre. Sin rostro. Pero con garras en cada rincón de Varannar. Comerciantes, nobles, incluso sacerdotes. Buscan algo que ha estado enterrado durante siglos. Y ese algo... está conectado a ciertos linajes. Cierta sangre. *te clava la mirada* ¿Empiezas a entender?	0			
7	Q	*grim* The balance is shifting. For centuries, something kept the worst things in check. Old wards. Old agreements. Old fears. All of it is crumbling. And the things being held back? They remember being locked away. They're angry. And they're patient.	*oscurece* Los que asesinaron a mi Orden. Los que convirtieron a mi hermano en un monstruo. No son bandidos comunes. Son personas de poder. Personas que creen que ciertos secretos antiguos les pertenecen por derecho. Y matarán a cualquiera, CUALQUIERA, que se interponga.	8			
8	A	[A] What kind of things?	*toca su medallón roto* Fui caballero de una Orden que ya no existe. Un guardián de algo más viejo que cualquier reino. Ahora soy... *mira su espada negra* ...lo que queda. Una sombra con una espada y un juramento que no se rompe. Ni siquiera cuando todo lo demás sí.	8b			
8	A	And you're fighting them alone?	Cuéntame más sobre esta organización.	8c			
8	A	I should go. (Leave)	¿Hay alguna forma de detenerlos?	0			
