index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Welcome home, veteran.	Bienvenido a casa, veterano.	0	VariableEqual#ng_war_access,1		
1	Q	Freedom, adventurer. Access to the Warriors' Guild is restricted to our members and close allies.	Libertad, aventurero. El acceso al Gremio de Guerreros sólo se permite a nuestros miembros, y a aliados.	4			
4	A	How could I help the guild and become an ally?	¿Cómo podría ayudaros y convertirme en aliado?	5	VariableLower#fort_assault,100		
4	A	I fought side to side with Sergeant Dummek in Kingsbridge. Together we conquered the orc fort.	Luché codo con codo con el Sargento Dummek en Kingsbridge. Juntos conquistamos el fuerte de los orcos.	6	VariableGreater#fort_assault,99		
4	A	Tell me more about the Warriors' Guild.	Dime más acerca del Gremio de los Guerreros.	10			
4	A	I don't really want to enter. Probably nothing of interest inside.	En realidad no quiero entrar. Seguramente no hay nada de interés.	0			
5	Q	Maybe find some of the officiers out there working on a contract, and help them out. I heard Sergeant Dummek in Kingsbridge is having a hard time.	Podrías buscar a uno de los oficiales que están ahí fuera trabajando en un contrato. El Sargento Dummek está pasando apuros con los orcos en Kingsbridge.	0			
6	Q	Indeed a tale of courage that we all have heard about. Welcome.	Desde luego, una historia de coraje que todos conocemos. Bienvenido.	0		"SetVariable#ng_war_access,1;ItemHide#grate1;ItemWalkable#grate1"	
10	Q	"We're all brothers and sisters in arms. Some say we're mere mercenaries, but we will only take a honorable contract. We don't take sides in Kingoms' politics, and we don't accept contracts that go against unarmed populations. Most of us are not noble; but some Varsilian second sons tired of the power struggle, have chosen to join us."	"Somos hermanos en armas. Algunos dicen que simples mercenarios, pero sólo aceptamos contratos honorables, nunca contra población desarmada, y no entramos en política. La mayoría no somos nobles; pero algunos 'hijos segundos' de grandes familias de Varsilia, cansados de la lucha por el poder, se han unido a nosotros."	11			
11	A	That sounds interesting. Can I go in?	Eso parece interesante. Puedo entrar?	12			
12	Q	Like I said, entry is restricted to our members and close allies.	Como ya he dicho, sólo se permite entrar a nuestros miembros, y a aliados.	4			
