progress	description	description_ES	actions
0	Дела Семейные	po	
10	Случайно я познакомился с местной леди, которая попросила меня помочь с какой-то проблемой. Чтобы снова с ней встетиться, мне нужно отыскать её служанку в городе.	po.	
20	Я нашёл служанку леди Айронстоун, которой я обещал оказать помощь.	po.	
30	Леди Айронстоун попросила меня разобраться с чародеем-жуликом, я сказал, что подумаю над её предложением.	po.	
40	Леди Айронстоун попросила меня разобраться с чародеем-жуликом, я согласился ей помочь, теперь осталось дождаться, когда он вернется в город.	po.	
50	Чародея-жулика недавно видели в таверне "Весёлый прохожий", возможно я смогу там с ним встетиться или разузнать о нём у завсегдатаев.	po.	
60	В таверне я узнал, что чародея-жулика можно найти у одной из пристаней в городе.	po.	
70	Неизвестные устроили на меня засаду, похоже в этом замешен чародей-жулик, которого я разыскиваю.	po.	
80	У главаря напавших на меня я узнал, что нанявший их назначил встречу за городом, возможно это чародей-жулик, которого я ищу.	po.	
85	Чародеем-жуликом оказался маг Албено, с которым я уже ранее пересекался, мне не удалось решить нашу проблему мирным путём.	po.	
90	Чародеем-жуликом оказался маг Албено, с которым я уже ранее пересекался, я договорился с ним, что он оставит в покое семейство Айронстоун, если я передам ему 30 тысяч.	po.	
95	Я решил вопрос с чародеем, теперь необходимо сообщить об этом леди Айронстоун.	po.	
100	Леди Айронстоун попросила меня разобраться с чародеем-жуликом, я отказался ей помогать.	po.	
110	Я помог леди Айронстоун решить проблему с чародеем-жуликом.	po.	
