index	type	text	text_ES	Go To	conditions	actions	
1	Q	This fleshy mass agitates and trembles, as living things appear to crawl inside. It looks extremely thick and resilient.	Esta masa carnosa tiembla y se agita, cosas vivas se mueven en su interior. Parece extremadamente duro y resistente.	2			
2	A	Smash it with your weapon	Golpearlo con tu arma.	3			
2	A	Stay away from this thing	Alejarse de esta cosa.	0			
2	A	Pour [BLUE]spider venom[] through some opening.	Verter [BLUE]veneno de araña[] a través de alguna abertura.	4	PlayerHasItem#5014	LoseItem#5014	
2	A	Pour [BLUE]scorpion venom[] through some opening.	Verter [BLUE]veneno de escorpión[] a través de alguna abertura.	4	PlayerHasItem#5015	LoseItem#5015	
2	A	[BLUE](You notice an opening on top, some kind of breathing hole. You could pour down poison, but unfortunately don't have any)[]	[BLUE](Descubres una abertura, una especie de respiradero. Podrías verter veneno, pero desgraciadamente no tienes)[]	0	"PlayerHasntItem#5014;PlayerHasntItem#5015"		AWA#2
3	Q	You do some damage, but it will take more blows to destroy it this way. The eggsac lets out a disembodied shriek and suddenly several Mirmek crawl out of its folds.	Haces algún daño, pero serán necesarios más golpes para destruirlo. De la bolsa de huevos surge un silbido terrorífico, y de su interior brotan varios Mirmek.	0	VariableEqual#ant_hunt,10	"SetVariable#ant_hunt,20;NPCSpawn#nest_spawn"	
3	Q	The eggsac writhes and collapses, destroyed. But several Mirmek crawl out of its folds.	La bolsa de huevos tiembla y se hunde, destruida. Pero de su interior brotan varios Mirmek.	0	VariableEqual#ant_hunt,20	"SetVariable#ant_hunt,30;ItemDeactivate#nest;NPCSpawn#nest_spawn"	
3	Q	You do some damage, but it will take more blows to destroy it this way. The eggsac lets out a disembodied shriek and suddenly several Mirmek crawl out of its folds.	Haces algún daño, pero serán necesarios más golpes para destruirlo. De la bolsa de huevos surge un silbido terrorífico, y de su interior brotan varios Mirmek.	0		NPCSpawn#nest_spawn	
4	Q	"Apparently, the Mirmeks are very vulnerable to poison; the  eggsac writhes and collapses, destroyed. But several Mirmek crawl out of its folds."	Al parecer, los Mirmek son muy vulnerables al veneno. La bolsa de huevos tiembla y se hunde, destruida. Pero de su interior brotan varios Mirmek.	0		"SetVariable#ant_hunt,30;ItemDeactivate#nest;NPCSpawn#nest_spawn"	
