index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	[BLUE](A man in dark armor stands in the shadow of a building, watching the road. His eyes lock onto you with an intensity that makes your hand instinctively reach for your weapon. He raises a hand)[] Easy there. I'm not your enemy. *steps forward, revealing a scarred face and cold, calculating eyes* I've been waiting for someone. And I think... you might be that someone.	[BLUE](Un hombre con armadura oscura se encuentra en la sombra de un edificio, observando el camino. Sus ojos se fijan en ti con una intensidad que hace que tu mano busque instintivamente tu arma. Levanta una mano)[] Tranquilo. No soy tu enemigo. *avanza, revelando un rostro marcado por cicatrices y ojos fríos y calculadores* He estado esperando a alguien. Y creo que... tú podrías ser esa persona.	2		SetVariable#crusaders_oath,10	
2	A	Who are you? And why were you waiting for me?	¿Quién eres? ¿Y por qué me esperabas?	3			
2	A	I don't talk to strangers lurking in shadows.	No hablo con extraños que acechan en las sombras.	4			
2	A	*Hand on weapon* Give me one reason not to walk away.	*Mano en el arma* Dame una razón para no irme.	5			
2	A	I should go. (Leave)	Debo irme. (Salir)	0			
3	Q	*ignores the question* Names don't matter. Not yet. What matters is that you're HERE. And that I've been waiting... *long pause* ...for a very long time. Tell me, do you ever feel like you don't quite belong? Like there's something beneath the surface that you can't explain?	*ignora la pregunta* Los nombres no importan. Aún no. Lo que importa es que estás AQUÍ. Y que he estado esperando... *larga pausa* ...durante mucho tiempo. Dime, ¿alguna vez sientes que no encajas del todo? ¿Como si hubiera algo bajo la superficie que no puedes explicar?	4			
4	Q	*chuckles darkly* Smart. Most people who trust strangers in this land end up dead. But I'm not most people. And you... *tilts head* ...you're not most adventurers. There's something about you. Something that drew me here. Call it instinct. Call it fate. I call it a very old oath.	*ríe oscuramente* Listo. La mayoría de la gente que confía en extraños en esta tierra termina muerta. Pero yo no soy la mayoría. Y tú... *ladea la cabeza* ...no eres como los demás aventureros. Hay algo en ti. Algo que me atrajo aquí. Llámalo instinto. Llámalo destino. Yo lo llamo un juramento muy antiguo.	6			
5	Q	*doesn't flinch* A reason? How about this: in the last ten years, I've killed thirty-seven men who threatened me. You can be thirty-eight, or you can listen. *crosses arms* I didn't come here to fight you. I came here because the world needs you ALIVE. Whether you like it or not.	*ni se inmuta* ¿Una razón? Qué tal esto: en los últimos diez años, he matado a treinta y siete hombres que me amenazaron. Puedes ser el treinta y ocho, o puedes escuchar. *cruza los brazos* No vine aquí a pelear contigo. Vine porque el mundo te necesita VIVO. Te guste o no.	6			
6	A	What do you mean, 'where I really come from'?	¿Qué quieres decir con 'de dónde vengo realmente'?	7			
6	A	What oath?	¿Qué juramento?	8			
6	A	You're being awfully cryptic. Just tell me what you want.	Estás siendo muy críptico. Solo dime qué quieres.	9			
6	A	I should go. (Leave)	Debo irme. (Salir)	0			
7	Q	*long pause, staring at the sky* This land... Varannar... it has layers. Like a tomb built on top of another tomb, built on top of another. Most people see the surface. The goblins, the bandits, the petty wars between kingdoms. But beneath all that... *voice drops* ...there are secrets buried so deep that even the mountains forgot them. And YOUR blood... *jabs a finger at you* ...is connected to those secrets.	*larga pausa, mirando al cielo* Esta tierra... Varannar... tiene capas. Como una tumba construida sobre otra tumba, sobre otra más. La mayoría ve la superficie. Los goblins, los bandidos, las guerras mezquinas entre reinos. Pero debajo de todo eso... *baja la voz* ...hay secretos enterrados tan profundo que hasta las montañas los olvidaron. Y TU sangre... *te señala con el dedo* ...está conectada a esos secretos.	10			
8	Q	*touches a broken medallion* I made an oath. Long ago. To people who no longer exist. An Order of knights sworn to watch over... certain things. Certain people. I'm the last one standing. And I've been watching YOU.	*toca un medallón roto* Hice un juramento. Hace mucho. A personas que ya no existen. Una Orden de caballeros jurados a vigilar... ciertas cosas. Ciertas personas. Soy el último en pie. Y te he estado vigilando.	9			
9	Q	*snorts* What I WANT is irrelevant. What MATTERS is that you're walking a path that leads somewhere dark. I've seen others walk it. Good people. Strong people. They didn't make it. *fixes you with a stare* I'm giving you a chance I never got to give them. Information. Guidance. A warning.	*bufa* Lo que yo QUIERA es irrelevante. Lo que IMPORTA es que caminas por un sendero que lleva a un lugar oscuro. He visto a otros recorrerlo. Buena gente. Gente fuerte. No lo lograron. *te clava la mirada* Te doy una oportunidad que nunca pude darles. Información. Guía. Una advertencia.	10			
10	A	A warning about what exactly?	¿Una advertencia sobre qué exactamente?	11			
10	A	[A] Tell me about this Order of yours.	[A] Cuéntame sobre esa Orden tuya.	11			
10	A	Why do you care about MY blood?	¿Por qué te importa MI sangre?	13			
10	A	I should go. (Leave)	Debo irme. (Salir)	0			
11	Q	About what's coming. Not tomorrow. Not next week. Something older. Something that's been sleeping for a very long time. And it's starting to wake up. *looks at you intently* You feel it too, don't you? That unease. That feeling like the ground isn't quite solid beneath your feet.	Sobre lo que viene. No mañana. No la próxima semana. Algo más antiguo. Algo que ha dormido por mucho tiempo. Y está empezando a despertar. *te mira intensamente* Tú también lo sientes, ¿verdad? Esa inquietud. Esa sensación de que el suelo no es del todo sólido bajo tus pies.	12			
12	Q	*touches medallion* Twenty of us. Warriors. Healers. Bound by an oath older than any kingdom standing today. One night, someone betrayed us. I was the only one who walked away. *voice hardens* I've spent ten years trying to understand WHY. And the answer... it always leads back to people like you.	*toca el medallón* Éramos veinte. Guerreros. Sanadores. Unidos por un juramento más antiguo que cualquier reino actual. Una noche, alguien nos traicionó. Fui el único que salió caminando. *la voz se endurece* He pasado diez años tratando de entender POR QUÉ. Y la respuesta... siempre lleva a personas como tú.	13			
13	Q	*expression hardens* Because I've seen what happens when the wrong people discover what runs in certain veins. Power that doesn't come from training or books. Power that just... IS. And there are those who would do anything to claim it. Anything.	*expresión endurecida* Porque he visto lo que pasa cuando las personas equivocadas descubren lo que corre por ciertas venas. Poder que no viene del entrenamiento ni de los libros. Poder que simplemente... ES. Y hay quienes harían cualquier cosa por reclamarlo. Cualquier cosa.	14			
14	A	People who carry the same key? What people?	¿Personas que llevan la misma llave? ¿Qué personas?	15			
14	A	This is a lot to take in. Are you sure you have the right person?	Es mucho que asimilar. ¿Estás seguro de que soy la persona correcta?	16			
14	A	I've heard enough. Will I see you again?	Ya escuché suficiente. ¿Nos volveremos a ver?	17			
14	A	I should go. (Leave)	Debo irme. (Salir)	0			
15	Q	*shakes head firmly* Not yet. Some answers are more dangerous than the questions. The wrong knowledge at the wrong time has killed better people than you or me. Walk the road. Learn. Fight. And when you've proven you can survive what's coming... THEN we'll talk about the rest.	*niega firmemente con la cabeza* Aún no. Algunas respuestas son más peligrosas que las preguntas. El conocimiento equivocado en el momento equivocado ha matado a mejores que tú o yo. Recorre el camino. Aprende. Lucha. Y cuando hayas demostrado que puedes sobrevivir a lo que viene... ENTONCES hablaremos del resto.	16			
16	Q	*actually laughs, a rare sound* Sure? No. But I've spent ten years tracking certain signs, certain patterns in the bloodlines I was sworn to protect. And every single one of those signs... *points at you* ...led me HERE. To you. Standing on this road. At this moment. Coincidence doesn't exist. Not in my world.	*de hecho ríe, un sonido raro* ¿Seguro? No. Pero he pasado diez años rastreando ciertas señales, ciertos patrones en los linajes que juré proteger. Y cada una de esas señales... *te señala* ...me trajo AQUÍ. A ti. De pie en este camino. En este momento. Las coincidencias no existen. No en mi mundo.	17			
17	A	Where will I find you next? (Leave)	¿Dónde te encontraré la próxima vez? (Salir)	0			
17	A	Before I go... any practical advice? (Leave)	Antes de irme... ¿algún consejo práctico? (Salir)	0			
18	Q	*half smile* You won't find me. I'll find YOU. That's how this works. When you've seen more of this land... when you start asking the RIGHT questions... I'll be there. Like a shadow you didn't notice was following you.	*media sonrisa* No me encontrarás. Yo te encontraré a TI. Así funciona esto. Cuando hayas visto más de esta tierra... cuando empieces a hacer las preguntas CORRECTAS... estaré ahí. Como una sombra que no notaste que te seguía.	19			
19	Q	Practical? *snorts* Fine. [RED]Trust your instincts more than anyone's words.[] Not the priests, not the scholars, not the merchants. Everyone in this land has an agenda. Even me. The difference is... my agenda is keeping you alive. Now go. And try not to die before we meet again.	¿Práctico? *bufa* Está bien. [RED]Confía en tus instintos más que en las palabras de nadie.[] Ni en los sacerdotes, ni en los sabios, ni en los mercaderes. Todos en esta tierra tienen sus propios intereses. Incluso yo. La diferencia es... que mi interés es mantenerte vivo. Ahora ve. Y trata de no morir antes de que nos veamos de nuevo.	0			
