index	type	text	text_ES	Go To	conditions	actions
1	Q	 Guard!!!	¿po?	2			
2,boss2	Q	 Don't tear your throat out, your guards won't be able to come here anymore.	¿po?	3		
3,enterprise	Q	 Bastards! Do you even know who I am and what place I hold in the royal court?!	¿po?	4		
4,boss2	Q	 I don't care about your titles, you've priced my life pretty cheap by sending assassins to me, then I'll take your life for free.	¿po?	5		
5,enterprise	Q	 If you touch me, then you will be responsible to your sewer friends, I have an agreement with them in case one of their brothers decides to go against me.	¿po?	6		
6,dominatrix2	Q	 Oh, are you serious, William? Such a noble and subservient aristocrat at the royal court, and you have connections with some bandit rabble?	¿po?	7		
7,enterprise	Q	 What?! Baroness Moiraine?! What are you doing here?	¿po?	8		
8,dominatrix2	Q	 You touched upon the affairs of my organization and I had to respond to your insolent outburst.	¿po?	9		
9,enterprise	Q	 It can't be?! So you're the one running a gang of whores?!	¿po?	10		
10,dominatrix2	Q	 Let's avoid vulgarity, and this is not a gang, but rather a community, a refuge for those in difficult situations, and I'm going to protect them all from anyone.	¿po?	11		
11,boss2	Q	 Of course, I don't have titles, and I don't see any problems labeling myself as a gang, but I won't let my guys get hurt either.	¿po?	12		
12,dominatrix2	Q	 So what was your plan, baron? Pit us against each other? But what's the use to you?	¿po?	13		
13,enterprise	Q	 Quite obvious. The war with Mercia has sapped the royal treasury, and the available taxes are not enough to replenish its previous level with constant expenses. So why not make all sorts of scum, like whores and bandits, work for the treasury, because they are also part of this kingdom? Well, the king can remain in the dark, and his moral principles will be intact, he does not have to know where the coins come from in his treasury!	¿po?	14		
14,boss2	Q	 And then why was it necessary to arrange all these attacks?	¿po?	15		
15,enterprise	Q	 It's simple, fragmented, small groups are much easier to manipulate than large organizations! It's just a dirty business, for the benefit of the whole kingdom!	¿po?	16		
16,boss2	Q	 Well, it looks like your bright plans aren't destined to come true!	¿po?	17		
17,enterprise	Q	 Well, we'll see about that! [BLUE](the old man rushed to the bedside cabinet and took something out of it)[] I didn't think I'd ever have to use this Turam swill! [BLUE](he had a bottle in his hand, which he drank in one gulp, and immediately his body began to change)[]	¿po?	18		
18,dominatrix2	Q	 Now he looks even more disgusting than he was.	¿po?	19		
19,boss2	Q	 I brought along a special weapon against such healthy freaks!	¿po?	20		"NPCStopFollowing#"		
20	A	Let's finish him off already.	po.	0		"NPCDespawn#enterprise;NPCSpawn#enterprise2;NPCDespawn#boss2;NPCSpawn#boss1;SetVariable#sin_kingdom,97"
