index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	Чтобы начать работу в мастерской, надо найти инструкции для каждого отдельного предмета.	po.	5	VariableGreater#abandoned_workshop,10		
1	Q	Чтобы начать работу в мастерской, надо найти инструкции для каждого отдельного предмета.	po.	4	VariableEqual#abandoned_workshop,10		
1	Q	Столы и полки заставленны различными непонятными штуками, книгами и свитками, похоже, это магическая мастерская. Всё выглядит относительно целым, можно попытаться что-нибудь создать, если разобраться как работает эта мастерская.	po.	2			
2	A	Вы тратите пару часов на книги и свитки, изучая основы работы в мастерской. Вникнув в процесс создания, обнаруживаете, что свитки с подробными инструкциями для каждого отдельного предмета отсутствуют. 	pi.	3			INT#3
2	A	Вы пытаетесь разобраться в книгах и свитках, но описаное в них слишком сложно для вашего понимания. 	pi.	0			
3	Q	Возможно, эти мануалы удасться найти где-нибудь в башне.	po.	0		"SetVariable#abandoned_workshop,10"		
4	A	Один из мануалом я нашёл и могу уже приступить к созданию предметов.	po.	0	PlayerHasItem#10306	"LoseItem#10306;IncVariable#abandoned_workshop,1"	
4	A	Отойти от мастерской.	po.	0			
5	A	Один из мануалом я нашёл и могу уже приступить к созданию предметов.	po.	0	PlayerHasItem#10306	"LoseItem#10306;IncVariable#abandoned_workshop,1"	
5	A	Начать работу в мастерской.	po.	6			
5	A	Отойти от мастерской.	po.	0			
6	Q	Сначала необходимо изучит нужный мануал и проверить наличие необходимых ингредиентов.	po.	7			
7	A	Мануал о создании меча совмещающий в себе чары противоположных стихий, для него необходимы такие ингредиенты: по одному большому рубину и саприфу, 4 живых льда и 4 огненных солей .	po.	10	VariableGreater#abandoned_workshop,10		
7	A	Мануал о создании зелья скорости, эффект которого длится в два раза дольше, для него необходимы такие ингредиенты: зелье скорости, 2 светящиеся поганки, одну красную орхидею.	po.	11	VariableGreater#abandoned_workshop,11		
7	A	Мануал о создании пояса, который многократно усилит вашу харизму, для него необходимы такие ингредиенты: слиток золота, медвежья шкура и два маленьких сапфира.	po.	12	VariableGreater#abandoned_workshop,12		
7	A	ещё.	po.	28	VariableGreater#abandoned_workshop,13		
8	A	Мануал о создании лука, поражающий врагов тленом и холодом, для него необходимы такие ингредиенты: дубовый лук, 4 мертвьюнка, 2 живых льда и один маленький сапфир.	po.	13	VariableGreater#abandoned_workshop,13		
8	A	Мануал о создании магической сферы, защищающая сразу от нескольких стихий, для неё необходимы такие ингредиенты: одна жемчужина и по три живых льда, огненных солей и искрящихся пыль.	po.	14	VariableGreater#abandoned_workshop,14		
8	A	Мануал о создании сокрушительного топора, которым может пользоваться плут второй рукой, для него необходимы такие ингредиенты: оленьи рога, два рубина и волчья шкура.	po.	15	VariableGreater#abandoned_workshop,15		
8	A	ещё.	po.	29	VariableGreater#abandoned_workshop,16		
9	A	Мануал о создании могучего оружия клериков, для него необходимы такие ингредиенты: клевец из голубой стали, два маленьких алмаза и искрящуюся пыль.	po.	16	VariableGreater#abandoned_workshop,16		
9	A	Мануал о создании щита с отличной защитой от шока, для него необходимы такие ингредиенты: 4 искрящихся пыль, один маленький алмаз и два маленьких сапфира.	po.	17	VariableGreater#abandoned_workshop,17		
9	A	Мануал о создании магического посоха, обладающий чудовищной мощью, для него необходимы такие ингредиенты: слиток золота, два черепа демона, три больших изумруда и три маленьких алмаза.	po.	18	VariableGreater#abandoned_workshop,18		
9	A	всё.	po.	0	VariableGreater#abandoned_workshop,18		
10	Q	Мастерская готова к началу работы.	po.	19			
11	Q	Мастерская готова к началу работы.	po.	20			
12	Q	Мастерская готова к началу работы.	po.	21			
13	Q	Мастерская готова к началу работы.	po.	22			
14	Q	Мастерская готова к началу работы.	po.	23			
15	Q	Мастерская готова к началу работы.	po.	24			
16	Q	Мастерская готова к началу работы.	po.	25			
17	Q	Мастерская готова к началу работы.	po.	26			
18	Q	Мастерская готова к началу работы.	po.	27			
19	A	Все необходимые ингредиенты у вас есть, и вы приступаете к созданию предмета следуя инструкциям. Спустя пару часов вы держите в руках результат ваших трудов. 	pi.	0	"PlayerHasItem#2013;PlayerHasItem#2014;PlayerHasItems#1005,4;PlayerHasItems#1006,4"	"LoseItem#2013;LoseItem#2014;LoseItems#1005,4;LoseItems#1006,4;GainItem#10296;Travel#J8_tower,8,4"	
19	A	У вас недостаточно ингредиентов для создания выбраного предмета. 	pi.	0			
20	A	Все необходимые ингредиенты у вас есть, и вы приступаете к созданию предмета следуя инструкциям. Спустя пару часов вы держите в руках результат ваших трудов. 	pi.	0	"PlayerHasItem#5007;PlayerHasItem#2101;PlayerHasItems#2102,2"	"LoseItem#5007;LoseItem#2101;LoseItems#2102,2;GainItem#10307;Travel#J8_tower,8,2"	
20	A	У вас недостаточно ингредиентов для создания выбраного предмета. 	pi.	0			
21	A	Все необходимые ингредиенты у вас есть, и вы приступаете к созданию предмета следуя инструкциям. Спустя пару часов вы держите в руках результат ваших трудов. 	pi.	0	"PlayerHasItem#1021;PlayerHasItem#1014;PlayerHasItems#2003,2"	"LoseItem#1021;LoseItem#1014;LoseItems#2003,2;GainItem#10301;Travel#J8_tower,8,4"	
21	A	У вас недостаточно ингредиентов для создания выбраного предмета. 	pi.	0			
