index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](The old mage is trying to put a dress on the pig)[] Yes Rosy, my dear, I promise to never leave your side. 	[BLUE](El anciano mago está intentando poner un vestido a la cerda)[] Si Rosy, cariño, prometo no dejarte nunca.	20	"VariableGreater#pig_wife,0;VariableLower#pig_wife,80"		
1	Q	[BLUE](The old mage is embracing a large pig and crying)[] Oh my beautiful flower... Oh my beloved...	[BLUE](El anciano mago está abrazado a un enorme cerdo y llora)[] Oh mi hermosa flor... Mi amada...	2	VariableLower#pig_wife,10		
1	Q	What are you waiting for? Bring her back! 	¿A qué esperas? ¡Tráela de vuelta!	0	VariableEqual#pig_wife,80		
1	Q	She returned! I can't thank you enough, stranger. I owe you a reward.	¡Ha vuelto! Muchas gracias. Te debo una recompensa, viajero. 	50	VariableEqual#pig_wife,90		
1	Q	[BLUE](The old mage is trying to put a dress on the pig)[] Yes Rosy, my dear, I promise to never leave your side. 	[BLUE](El anciano mago está intentando poner un vestido a la cerda)[] Si Rosy, cariño, prometo no dejarte nunca.	0	VariableEqual#pig_wife,95		
1	Q	Thanks for bringing back my wife. Also I feel a great bond with my new pet. She's actually a nice sow, isn't she? [BLUE](He pats the beast's back)[]	Gracias por traer a mi mujer de vuelta. Además ahora tengo nueva mascota. Es una cerdita muy agradable, ¿verdad? [BLUE](Acaricia la espalda del animal)[]	0	VariableEqual#pig_wife,100		
1	Q	[BLUE](The old mage is trying to put a dress on the pig)[] Yes Rosy, my dear, I promise to never leave your side. 	[BLUE](El anciano mago está intentando poner un vestido a la cerda)[] Si Rosy, cariño, prometo no dejarte nunca.	0	VariableEqual#pig_wife,110		
1	Q	At least I gained a new pet. She's actually a nice sow, isn't she? [BLUE](He pats the beast's back)[]	Al menos ahora tengo nueva mascota. Es una cerdita muy agradable, ¿verdad? [BLUE](Acaricia la espalda del animal)[]	0	VariableEqual#pig_wife,120		
2	A	I will leave you to your privacy...	Os voy a dejar con vuestra privacidad...	0			
2	A	What are you doing, old man? Don't you see you're embracing a pig, and not a woman? Are you drunk?	¿Qué haces, anciano? ¿No ves que lo que abrazas es un cerdo, y no tu mujer?	3			
3	Q	I wish you were right, stranger. Unfortunately, this is my wife, Rosy. It was my fault that she was transformed into the gruesome beast you see. [BLUE](Suddenly pats the pig's back)[] Sorry my dear. I mean the 'pretty animal'. Yes, that's it.	Ojalá tuvieras razón, extranjero. Pero me temo que por culpa mía, mi mujer Rosy fue transformada en esta bestia repugnante que ves aquí. [BLUE](Acaricia la espalda del cerdo)[] Perdona cariño... Lo que quiero decir es 'bello animal'. Eso es.	4			
4	A	What happened?	¿Qué ha ocurrido?	5			
5	Q	"I was in the house practicing the latest Alteration spell crafted by the mighty Lady Ilemma, from Icemist. Unfortunately I lost control of the incantation; finally it was cast, but I launched the spell out of the window, into this garden."	"Estaba dentro de casa practicando el último hechizo de Alteración creado por Lady Ilemma, de Icemist. Por desgracia empecé a perder el control del hechizo; finalmente el conjuro se lanzó, y salió por la ventana, aquí al jardín."	6			
6	Q	I walked out and... [BLUE](Covers his face, in shame and sorrow)[] here she was. Her dress was ripped below her, so there's no doubt on her identity. What have I done!? And what can I do now?!	Salí fuera y... [BLUE](Se tapa la cara, triste y avergonzado)[] aquí estaba. Su vestido estaba rasgado y bajo sus pezuñas, así que no hay duda. ¿¡Qué he hecho?! ¿¡Y qué puedo hacer ahora?!	7		SetVariable#pig_wife,10	
7	A	Well, have you considered a ham sandwich?	Bueno, por ejemplo puedes hacer un bocadillo de jamón.	11			
7	A	This means your wife is naked! In the middle of the street! [BLUE](Laugh)[]	¡Eso significa que tu mujer está desnuda en plena ciudad! [BLUE](Reirse)[]	11			
7	A	I really don't know... But if I find out anything, I'll let you know.	La verdad, no lo sé. Pero si lo averiguo volveré.	0			
7	A	You could start with a visit to that Lady Ilemma. She may tell you the way to revert the spell.	Podrías empezar por preguntar a esa Lady Ilemma. Ella podría decirte cómo revertir el conjuro.	8			INT#3
8	Q	I could... Yes maybe I could. But then my reputation would be over. I would probably be expelled from the guild!	Podría. Sí quizá. Pero entonces mi reputación estaría acabada, ¡Seguramente me expulsarían del gremio de magos!	9			
