index	type	text	text_ES	Go To	conditions	actions
1	Q	[BLUE](Some wizard bustling around the teleport)[] Hello, wanderer! If you're stuck in this place, I can help you get out. This portal is ancient, but I can make it work and move you to one of the major cities.	port.	2		
2	A	Okay, let's try.	port.	3		
2	A	I'm not interested in it.	port.	0		
3	Q	I hope you have a couple of coins for my troubles[BLUE]30 gold[]. Well, where should I send you?	port [BLUE]30 monedas[].	4		
4	A	Okay, teleport me to [BLUE]New Garand[]! Here's my gold.	port.	5	PlayerHasGold#30	
4	A	Okay, teleport me to [BLUE]Freetown[]! Here's my gold.	port.	19	PlayerHasGold#30	
4	A	Okay, teleport me to [BLUE]Nivarian[]! Here's my gold.	port.	30	PlayerHasGold#30	
4	A	Maybe another time.	Quizá en otro momento.	0		
5	Q	I hope it works out right...	port.	6		
6	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#;Travel#NGZ,999;Particle#teleport"
19	Q	I hope it works out right...	port.	20	IsRegistered#	
20	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#FT,999;Particle#teleport"
30	Q	I hope it works out right...	port.	31	IsRegistered#	
31	A	Send me away!	Estoy preparado.	0		"loseGold#30;Particle#teleport;Travel#NI,999;Particle#teleport"
