index	type	text	text_ES	Go To	conditions	actions
1	Q	I think we have nothing to talk about.	Creo que no tenemos nada de que hablar.	0	VariableGreater#dubious_poetry,10	
1	Q	Oh, a foreigner... How annoying. [BLUE](She looks you up and down, almost inspecting you as if you were a mount or a hound)[]. Don't bother me, traveller, for I am Lady Leanna, and my husband is the Royal Historian. Begone.	"Oh, un extranjero... Que molesto [BLUE](Te mira de arriba a abajo casi inspeccionándote, como si fueras un caballo o un perro de caza)[]. No me molestes; para tu información soy Lady Leanna, y mi marido es el Historiador Real. Déjame."	2		
2	A	Historian? Oh, what a coincidence... I happen to be in posession of certain 'historical documents' he might be interested in.[BLUE](Wave the love letters)[]	Historiador? Oh, que coincidencia... Resulta que poseo ciertos 'documentos históricos' que le pueden interesar.[BLUE](Mostrar las cartas de amor)[]	3	PlayerHasItem#2519	
2	A	Such cordiality! Don't worry, I will leave.	¡Que amabilidad! Descuida, ya me voy.	0		
3	Q	Blackmail! And what would you ask of me, in exchange of those letters? I should just call the guard.	Chantaje! Y ¿qué vas a pedirme a cambio de esas cartas? Debería llamar a la guardia.	4		
4	A	You are not interested in knowing where I found this, and what happened to the man that had them?	¿No te interesa saber dónde las encontré, ni qué fue del hombre que las tenía?	5		
5	Q	Certainly not. I love with all my heart... While I do. He either died, or sold them, or lost them over a game of dice, little difference for me now. I am more interested in knowing about what you'll ask. [BLUE](She narrows her eyes)[]	"Ni lo más mínimo. Mi amor es eterno... Hasta que se acaba. O bien murió, o las vendió, o las perdió a los dados; de poco me sirve ya. Me interesa más saber qué vas a pedirme. [BLUE](Te mira fijamente)[]"	6		
6	A	I want 5,000 gold coins. Pay or else...	Quiero 5,000 monedas de oro. Págame o...	7		
6	A	I want 1,000 gold coins, to cover my adventuring expenses.	Quiero 1,000 monedas de oro, para cubrir mis gastos como aventurero.	9		
6	A	Your letters captivated me, despite the ortography. I want... You, Lady Leanna. Promise me one night of love and the letters are yours.	Tus cartas me han cautivado, a pesar de la ortografía. Te quiero... A tí, Lady Leanna. Dame una noche de amor y te entregaré las cartas.	10		
6	A	These letters are your property, so you can have them. I want nothing.	Estas cartas son de tu propiedad, así que te las doy. No quiero nada. 	14		
7	Q	What? You take me for a filthy-rich Varsilian noble. Here in Mercia we keep little more than our titles. There's no way I can get that much money!	¿Qué? Me tomas por uno de esos nobles de Varsilia, podridos de dinero. Aquí en Mercia conservamos poco más que el título. No puedo pagar tanto.	8		
8	A	... What about 1,000 then?	... ¿qué hay de 1,000 entonces?	9		
8	A	I don't care, pay me 5,000 or I'll begin spreading these letters through every inn in town.	No me importa, págame 5,000 o empiezo a distribuir esto por toda la ciudad.	15		
9	Q	[BLUE](she frowns)[] Foreigner scoundrel... I will pay. It will save me a lot of trouble, certainly. I just hope I never hear from you again.	[BLUE](frunce el ceño)[] Sabandija extranjera... Está bien, pagaré. Me va a ahorrar muchos problemas. Sólo espero no volver a verte nunca.	0		"LoseItem#2519;SetVariable#dubious_poetry,100;GainGold#1000;DecVariable#REP_mercia,1;GainXP#300"
10	Q	How you dare... [BLUE](she looks at you without concealing her contempt)[] But I guess I have no other choice than complying to your demands. I'll meet you at night, outside the city, near the river south of the walls.	Cómo te atreves... [BLUE](Te mira sin disimular su desprecio)[] Pero supongo que no me queda otra opción que aceptar lo que pides. Nos reuniremos de noche, fuera de la ciudad, en el río que está al sur de las murallas.	11		"LoseItem#2519;SetVariable#dubious_poetry,30;DecVariable#REP_mercia,2;NPCDespawn#leanna"
11	A	I'll meet you there.	Te veré allí.	12		
12,hirge	Q	I don't approve of this... I will go back to praying and meditating in New Garand, and probably you should be doing the same.	No apruebo esto... Me marcho a rezar y meditar en New Garand, y posíblemente tú deberías hacer lo mismo.	0	NPCIsInParty#hirge,hirge	"NPCStopFollowing#;NPCDespawn#hirge;DecVariable#LOY_hirge,2"
12,mercenary_grisenda	Q	I don't approve of this... I will go back home for a while, I hope you reconsider what you're doing here.	No apruebo esto... Me marcho un tiempo a casa, espero que reconsideres lo que estás haciendo.	0	NPCIsInParty#grissenda,mercenary_grisenda	"NPCStopFollowing#;NPCDespawn#mercenary_grisenda;DecVariable#LOY_grissenda,3"
12,adaon	Q	This should be interesting...	Esto va a ser interesante...	0	NPCIsInParty#adaon,adaon	
12	Q	Indeed, foreigner. [BLUE](she frowns)[] I can hardly wait to solve this matter.	De acuerdo, extranjero. [BLUE](frunce el ceño)[] Estoy deseando acabar con este asunto.	0		
14	Q	"Just like that? Surprising. Let me show my gratitude; I think an adventurer like you might have a use for this."	"¿Así de simple? Sorprendente. Déjame mostrarte mi gratitud; creo que un aventurero como tú encontrará esto útil."	0		"LoseItem#2519;SetVariable#dubious_poetry,100;GainItem#5016;IncVariable#REP_mercia,1;GainXP#400"
15	Q	Greedy bastard... [BLUE](she looks at you without concealing her contempt)[] But I guess I have no other choice than selling my jewels. I'll meet you at night, outside the city, near the river south of the walls.	Bastardo avaricioso... [BLUE](Te mira sin disimular su desprecio)[] Pero supongo que no me queda otra opción que vender mis joyas. Nos reuniremos de noche, fuera de la ciudad, en el río que está al sur de las murallas.	11		"LoseItem#2519;SetVariable#dubious_poetry,20;DecVariable#REP_mercia,2;NPCDespawn#leanna"
