index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	To get started in the workshop, you need to find instructions for each individual item.	po.	5	VariableGreater#abandoned_workshop,10		
1	Q	To get started in the workshop, you need to find instructions for each individual item.	po.	4	VariableEqual#abandoned_workshop,10		
1	Q	Tables and shelves are filled with various incomprehensible things, books and scrolls, it looks like this is a magic workshop. Everything looks relatively intact, you can try to create something if you figure out how this workshop works.	po.	2			
2	A	You spend a couple of hours on books and scrolls, learning the basics of working in the workshop. Delving into the creation process, you find that there are no scrolls with detailed instructions for each individual item. 	pi.	3			INT#3
2	A	You are trying to understand the books and scrolls, but what is described in them is too complicated for your mind. 	pi.	0			
3	Q	Perhaps you can find these manuals somewhere in the tower.	po.	0		"SetVariable#abandoned_workshop,10"		
4	A	I found one of the manuals and can already start creating items.	po.	0	PlayerHasItem#10306	"LoseItem#10306;IncVariable#abandoned_workshop,1"	
4	A	Move away from the workshop.	po.	0			
5	A	I found one of the manuals and can already start creating items.	po.	0	PlayerHasItem#10306	"LoseItem#10306;IncVariable#abandoned_workshop,1"	
5	A	Get started in the workshop.	po.	6			
5	A	Move away from the workshop.	po.	0			
6	Q	First you need to study the necessary manual and check the availability of the necessary ingredients.	po.	7			
7	A	The manual on the creation of the sword combines the charms of the opposite elements, it requires the following ingredients: one large ruby and sapphire, 4 living ice and 4 fire salts.	po.	10	VariableGreater#abandoned_workshop,10		
7	A	The manual is about creating a speed potion, the effect of which lasts twice as long, it requires the following ingredients: a speed potion, 2 luminescent fungus, one red orchid.	po.	11	VariableGreater#abandoned_workshop,11		
7	A	The manual is about creating a belt that will greatly enhance your charisma, it requires the following ingredients: a gold ingot, a bear pelt and two small sapphires.	po.	12	VariableGreater#abandoned_workshop,12		
7	A	more.	po.	28	VariableGreater#abandoned_workshop,13		
8	A	A manual about creating a bow that strikes enemies with decay and cold, it requires the following ingredients: oak bow, 4 deadweed, 2 living ice and one small sapphire.	po.	13	VariableGreater#abandoned_workshop,13		
