index	type	text	text_ES	Go To	conditions	actions
1	Q	The horse is following you. What do you want to do?	El caballo te sigue. ¿Qué quieres hacer?	20	NPCisFollower#hors1	
1	Q	It's your horse. What do you want to do?	Este es tu caballo. ¿Qué quieres hacer?	2		
2	A	Get into the saddlebags.	Métete en las alforjas.	0		OpenWorldContainer#sumka
2	A	Call a horse to come with you	Llame a un caballo con usted	0		"NPCFollow#hors1;SetVariable#horseoff1,0"
2	A	I'll be back later.	Volveré más tarde.	0		
3	Q	The horse is too tired. He needs to rest or eat hay.		9	VariableEqual#TMP_hors,1	
3	Q	Where do you want to go? (You can only leave from locations that are on the map. You can't leave from houses, caves, etc.)		4		
4	A	View map.		25	AreaIs#E9	
4	A	View map.		21	AreaIs#E10	
4	A	View map.		27	AreaIs#F8	
4	A	View map.		29	AreaIs#F9	
4	A	View map.		31	AreaIs#F10	
4	A	View map.		33	AreaIs#G8	
4	A	View map.		7	AreaIs#G9	
4	A	View map.		35	AreaIs#G10	
4	A	View map.		10	AreaIs#H8	
4	A	View map.		37	AreaIs#H9	
4	A	View map.		5	AreaIs#H10	
4	A	View map.		39	AreaIs#H11	
4	A	View map.		41	AreaIs#I8	
4	A	View map.		43	AreaIs#I9	
4	A	View map.		45	AreaIs#I10	
4	A	View map.		47	AreaIs#I11	
4	A	View map.		49	AreaIs#G11	
4	A	View map.		51	AreaIs#D10	
4	A	View map.		53	AreaIs#D9	
4	A	View map.		55	AreaIs#D8	
4	A	View map.		57	AreaIs#E8	
4	A	View map.		59	AreaIs#I12	
4	A	View map.		61	AreaIs#J11	
4	A	View map.		12	AreaIs#J10	
4	A	View map.		63	AreaIs#J9	
4	A	View map.		65	AreaIs#J8	
4	A	View map.		67	AreaIs#G7	
4	A	View map.		69	AreaIs#D11	
4	A	View map.		71	AreaIs#E11	
4	A	View map.		73	AreaIs#F11	
4	A	View map.		75	AreaIs#E12	
4	A	View map.		77	AreaIs#D12	
4	A	View map.		79	AreaIs#H7	
4	A	View map.		81	AreaIs#H6	
4	A	View map.		83	AreaIs#G6	
4	A	View map.		85	AreaIs#H5	
4	A	View map.		87	AreaIs#H4	
4	A	View map.		89	AreaIs#H3	
4	A	View map.		91	AreaIs#I3	
4	A	View map.		93	AreaIs#I13	
4	A	View map.		95	AreaIs#H13	
4	A	View map.		97	AreaIs#G13	
4	A	View map.		99	AreaIs#H12	
4	A	View map.		101	AreaIs#D13	
4	A	View map.		103	AreaIs#C13	
4	A	View map.		14	AreaIs#J7	
4	A	View map.		105	AreaIs#K7	
4	A	View map		16	AreaIs#K11	
4	A	View map.		107	AreaIs#J12	
4	A	View map.		109	AreaIs#F6	
4	A	View map.		111	AreaIs#C10	
4	A	Ancient forest. The horse doesn't listen to you at all, he's scared.		0	AreaIs#C11	
4	A	The forest of the Witches' Coven. The horse threw you to the ground and ran away.		0	AreaIs#C12	NPCDespawn#hors
4	A	Get off the horse.		0		
5	Q	You're in [BLUE](Lannegar Valley)[] from here you can go to [BLUE](Kingsbridge)[],[BLUE](New Garand)[] or in [BLUE](New Anthur)[].		6		
6	A	Let's go to Kingsbridge		0		"Travel#G9,45,1;SetVariable#TMP_hors,1"
6	A	Let's go to New Garand		0		"Travel#H8,45,2;SetVariable#TMP_hors,1"
6	A	Let's go to New Anthur		0		"Travel#J10,45,3;SetVariable#TMP_hors,1"
6	A	Back		3		
7	Q	You're in [BLUE](Kingsbridgeе)[] from here you can go to [BLUE](New Garand)[],[BLUE](Rhöneis)[] и [BLUE](Sydarun)[].		8		
8	A	Let's go to Rhöneis		0		"Travel#F10,45,1;SetVariable#TMP_hors,1"
8	A	Let's go to New Garand		0		"Travel#H8,45,2;SetVariable#TMP_hors,1"
8	A	Let's go to Sydarun		0		"Travel#F8,45,3;SetVariable#TMP_hors,1"
8	A	Back		3		
9	A	Feed hay		3	PlayerHasItem#10062	"LoseItem#10062;SetVariable#TMP_hors,0"
9	A	I don't have any hay		0		
10	Q	You're in [BLUE](New Garand)[] from here you can go to [BLUE](Golden Cove)[],[BLUE](Sydarun)[] or in [BLUE](Western Korne)[].		11		
11	A	Let's go to Golden Cove		0		"Travel#H6,45,1;SetVariable#TMP_hors,1"
11	A	Let's go to Sydarun		0		"Travel#F8,45,2;SetVariable#TMP_hors,1"
11	A	Let's go to Western Korne		0		"Travel#J7,45,3;SetVariable#TMP_hors,1"
11	A	Back		3		
12	Q	You're in [BLUE](New Anthurе)[] from here you can go to [BLUE](Solligan)[],[BLUE](Lannegar)[] or in [BLUE](Whitetower Valley)[].		13		
13	A	Let's go to Solligan		0		"Travel#K11,45,1;SetVariable#TMP_hors,1"
13	A	Let's go to Lannegar		0		"Travel#H10,3010,2;SetVariable#TMP_hors,1"
13	A	Let's go to Whitetower Valley		0		"Travel#H12,45,3;SetVariable#TMP_hors,1"
13	A	Back		3		
14	Q	You're in [BLUE](Western Korne)[] from here you can go to [BLUE](Lannegar)[],[BLUE](New Garand)[] or in [BLUE](New Anthur)[].		15		
15	A	Let's go to Lannegar		0		"Travel#H10,3010,1;SetVariable#TMP_hors,1"
15	A	Let's go to New Garand		0		"Travel#H8,45,2;SetVariable#TMP_hors,1"
15	A	Let's go to New Anthur		0		"Travel#J10,45,3;SetVariable#TMP_hors,1"
15	A	Back		3		
16	Q	You're in [BLUE](Solligan)[] from here you can go to [BLUE](Icemist Fjord)[],[BLUE](Deepfrost Glacier)[] or in [BLUE](Whitetower Valley)[].		17		
17	A	Let's go to Icemist Fjord		0		"Travel#I13,45,1;SetVariable#TMP_hors,1"
17	A	Let's go to Deepfrost Glacier		0		"Travel#G13,45,2;SetVariable#TMP_hors,1"
17	A	Let's go to Whitetower Valley		0		"Travel#H12,45,3;SetVariable#TMP_hors,1"
17	A	Back		3		
18	Q	You're in [BLUE](Whitetower Valley)[] from here you can go to [BLUE](Icemist Fjord)[],[BLUE](Solligan)[] or in [BLUE](Lannegar)[].		17		
19	A	Let's go to Icemist Fjord		0		"Travel#I13,45,1;SetVariable#TMP_hors,1"
19	A	Let's go to Deepfrost Glacier		0		"Travel#G13,45,2;SetVariable#TMP_hors,1"
19	A	Let's go to Lannegar		0		"Travel#H10,3010,3;SetVariable#TMP_hors,1"
19	A	Back		3		
20	A	Get in the saddle		3	NPCisFollower#hors1	
20	A	Get into the saddlebags.		0		OpenWorldContainer#sumka
20	A	Let the horse go.		0	NPCisFollower#hors1	"NPCStopFollowing#hors1;SetVariable#horseoff1,1"
20	A	I'll be back later.		0		
21	Q	You're in [BLUE](North Jabal Hills)[] from here you can go to [BLUE](Rhöneis)[],[BLUE](Freetown)[] or in [BLUE](Fögas Forest)[].		22		
22	A	Let's go to Rhöneis		0		"Travel#F10,45,1;SetVariable#TMP_hors,1"
22	A	Let's go to Freetown		0		"Travel#D9,45,2;SetVariable#TMP_hors,1"
22	A	Let's go to Fögas Forest		0		"Travel#D11,45,3;SetVariable#TMP_hors,1"
22	A	Back		3		
23	Q	You're in [BLUE](Sydarun)[] from here you can go to [BLUE](New Garand)[],[BLUE](Freetown)[] or in [BLUE](Golden Cove)[].		24		
24	A	Let's go to New Garand		0		"Travel#H8,45,1;SetVariable#TMP_hors,1"
24	A	Let's go to Freetown		0		"Travel#D9,45,2;SetVariable#TMP_hors,1"
24	A	Let's go to Golden Cove		0		"Travel#H6,45,3;SetVariable#TMP_hors,1"
24	A	Back		3		
25	Q	You're in [BLUE](South Jabal Hills)[] from here you can go to [BLUE](Jabal)[],[BLUE](Freetown)[] or in [BLUE](Sydarun)[].		26		
26	A	Let's go to Jabal		0		"Travel#E10,45,1;SetVariable#TMP_hors,1"
26	A	Let's go to Freetown		0		"Travel#D9,45,2;SetVariable#TMP_hors,1"
26	A	Let's go to Sydarun		0		"Travel#F8,45,2;SetVariable#TMP_hors,1"
26	A	Back		3		
27	Q	You're in [BLUE](Sydarun)[] from here you can go to [BLUE](New Garand)[],[BLUE](Freetown)[] or in [BLUE](Golden Cove)[].		28		
28	A	Let's go to New Garand		0		"Travel#H8,45,2;SetVariable#TMP_hors,1"
28	A	Let's go to Freetown		0		"Travel#D9,45,2;SetVariable#TMP_hors,1"
28	A	Let's go to Golden Cove		0		"Travel#H6,45,3;SetVariable#TMP_hors,1"
28	A	Back		3		
29	Q	You're in [BLUE](Deadwood)[] from here you can go to [BLUE](Rhöneis)[],[BLUE](Kingsbridge)[] or in [BLUE](Sydarun)[].		30		
30	A	Let's go to Rhöneis		0		"Travel#F10,45,1;SetVariable#TMP_hors,1"
30	A	Let's go to Kingsbridge		0		"Travel#G9,45,1;SetVariable#TMP_hors,1"
30	A	Let's go to Sydarun		0		"Travel#F8,45,2;SetVariable#TMP_hors,1"
30	A	Back		3		
31	Q	You're in [BLUE](Rhöneis)[] from here you can go to [BLUE](Jabal)[],[BLUE](Fögas Forest)[] or in [BLUE](Lannegar)[].		32		
32	A	Let's go to Jabal		0		"Travel#E10,45,1;SetVariable#TMP_hors,1"
