index	type	text	text_ES	Go To	conditions	actions
1	Q	"Free at last! During the long months here only thinking about you kept my spirits high; I never had a family before, but we'll make up for all the lost time after we get rid of the Deep Gate together."	¡Por fin libre! Durante las largas horas de encierro, sólo pensar en tí me animaba. Nunca he tenido una familia, pero recuperaremos el tiempo perdido una vez nos libremos de la Puerta Profunda juntos.	2		SetVariable#where_is_amarisa,86
2	A	Together? I don't think so. After days in that cell, you are weakened and unarmored. I want you to take the elevator, and then teleport to safety.	¿Juntos? Ni hablar. Tras días encerrada estás débil y sin armadura. Quiero que bajes en el ascensor, y luego te teleportartes a un lugar seguro.	3		
2	A	I guess every little bit of help counts. Join me and let's do this.	Supongo que toda ayuda cuenta. Únete a mí y acabemos con esto.	7		
2	A	I came here to save you and that job is done. Let's just go downstairs and you can teleport both of us to New Garand. Probably the Horrors are an exageration anyways.	"Vine aquí a salvarte y ya lo he hecho; ahora bajemos el ascensor y telepórtanos a ambos a New Garand. Seguro que los Horrores son exageraciones."	6		
3	Q	What? No way! We're talking about saving the world here. Even if I fall in the end, any help I can bring until then is something you can't afford to lose.	"¿Qué? Ni hablar. Hablamos de salvar el mundo; incluso si acabo muriendo, cualquier ayuda que te de hasta entonces es algo necesario."	4		
4	A	Amarisa, trust me. You already did enough by slowing them down until now. If I have to worry about your safety, it might be our doom.	Amarisa, confía en mí. Ya has hecho bastante retrasándoles hasta ahora. Si tengo que estar preocupándome de tu seguridad, puede ser peor.	5		
4	A	When you put it that way... Alright, welcome on board.	Cuando lo explicas así... De acuerdo, bienvenida a bordo.	7		
5	Q	Very well... I will trust you. After all you reconstructed the Eye of Tol and did many other great deeds. Please promise me you'll not die! [BLUE](She hugs you warmly, and before you can say anything she runs away towards the elevator)[]	Muy bien... Confiaré en tí. Después de todo reconstruíste el Ojo de Tol y tantas otras hazañas. Por favor prométeme que no moriras. [BLUE](Te abraza tiernamente, y antes de que puedas responder se marcha corriendo hacia el ascensor)[]	0		"NPCDespawn#I3_amarisa;SetVariable#where_is_amarisa,100;GainXP#10000"
6	Q	The Horrors could be a mere legend? And all this could have been for nothing? You are the one that looked into the Eye of Tol and knew our Grandfather, so I'll trust your wisdom. In a way, I am relieved. [BLUE](You walk towards the elevator and once downstairs, she begins to cast a spell to teleport you far away)[]	¿Los Horrores podrían ser sólo una leyenda? ¿Y todo esto podría haber sido por nada? Tú eres quien miró en el Ojo de Tol y habló con nuestro abuelo, así que confiaré en tus conocimientos. En parte me alivia. [BLUE](Camináis hasta el ascensor y una vez abajo, os teleportáis hasta un lugar seguro)[]	8		
7	Q	Together, we can triumph. [BLUE](She takes your hand and follows you)[]	Juntos, podemos triunfar. [BLUE](Coje tu mano y te sigue)[]	0		"NPCFollow#;SetVariable#where_is_amarisa,85"
8	A	Let's go. I am sure it's going to be alright.	Vámonos. Estoy seguro de que todo va a salir bien.	0		EndGame#1
