progress	description	description_ES	actions
0	Умелые Руки	po	
10	Капитан Блудсилвер попросил меня освободить похищеного жителя по имени Гермес, но я отказался.	po.	
20	Капитан Блудсилвер попросил меня освободить похищеного жителя по имени Гермес из крепости небесных рыцарей в Сокрытом плато, я согласился помочь.	po.	
30	Я освободил Гермеса, теперь его надо доставить к Капитану Блудсилверу в поселение.	po.	
40	Человек, которого я освободил перед смертью признался, что он самозванец! Настоящий Гермес всё ещё нужнается в спасении.	po.	
50	Я помог добраться Гермесу до поселения, но это оказался самозванец! Капитан Блудсилвер всё ещё надеется, что я спасу настоящего Гермеса.	po.	
60	Я освободил Гермеса, теперь его надо доставить к Капитану Блудсилверу в поселение.	po.	
70	Гермес погиб во время возвращения в поселение, необходимо сообщить об этом Капитану Блудсилверу.	po.	
80	Гермес вдруг превратился в неуправляемого монстра! Если его не остановить, могут пострадать или даже погибнуть жители поселения.	po.	
90	Монстра в которого превратился Гермес пришлось убить, чтобы не пострадали жители поселения.	po.	
100	Я пытался спасти изобретателя Гермеса, но его пленители проводили над ним эксперименты, в следствии которых он превратился в неуправляемого монстра, и его пришлось убить.	po.	
110	Я пытался спасти изобретателя Гермеса, но он погиб.	po.	
