index	type	text	text_ES	Go To	conditions	actions	requisites
1	Q	An heroic task! You managed to repel the attack without any losses. Here is your payment, plus some potions as a bonus	¡Un trabajo heróico! Conseguiste rechazar el ataque sin sufrir bajas. Magnífico, aquí tienes el oro y además unas pociones como recompensa.	0	"VariableEqual#outpost_defense,50;VariableEqual#D12_dead,0"	"SetVariable#outpost_defense,100;GainXP#2500;GainGold#3000;GainItems#5003,2;IncVariable#REP_warriorsguild,5;IncVariable#REP_ilmara,4;"	
1	Q	I got the report right here... You managed to repel the attack, but all our men were killed. I can't say I am satisfied with your work, but you did what you could. Here's half the payment.	"Conseguiste rechazar el ataque, pero todos nuestros soldados han muerto. No estoy satisfecho, pero al menos lo intentaste; aquí tienes la mitad de la recompensa."	0	"VariableEqual#outpost_defense,50;VariableGreater#D12_dead,3"	"SetVariable#outpost_defense,200;GainXP#1000;GainGold#1500"	
1	Q	You managed to repel the attack, even if some of our soldiers didn't survive. Well done, here is the gold you earned.	Conseguiste rechazar el ataque, aunque hemos perdido soldados. Aquí tienes el oro prometido.	0	VariableEqual#outpost_defense,50	"SetVariable#outpost_defense,100;GainXP#1500;GainGold#3000;;IncVariable#REP_warriorsguild,3;IncVariable#REP_ilmara,4;"	
1	Q	What are you doing here? The warriors at the outpost need your help!	¿Qué haces aquí? ¡Los hombres del campamento necesitan tu ayuda!	30	"VariableGreater#outpost_defense,0;VariableLower#outpost_defense,50"		
1	Q	"Discipline is all. Many praise strength, skill, or tactics as a way to win battles; but a disciplined formation of soldiers is always unmatched. A cool mind, even when facing the greatest dangers, is what makes the difference."	"La disciplina lo es todo. Muchos piensan que la fuerza, la habilidad o buenas tácticas es lo que te hace vencer; pero una fila de soldados bien entrenados es lo mejor. Mantener la cabeza fría, incluso ante grandes peligros, es lo que puede salvarte."	4			
4	A	... As if that was easy. But can you teach me to be a more disciplined fighter?	... Como si fuera fácil. Pero ¿Podrías enseñarme a ser un luchador más disciplinado?	7			
4	A	I was wondering if there's any work to do for the guild.	Me preguntaba si hay trabajo que hacer para el gremio.	20			
4	A	Not really my style.	No es mi estilo.	0			
7	Q	Sorry but usually I only train members of the Warrior's Guild.	Lo siento pero normalmente sólo entreno a miembros de Gremio de Guerreros.	10	"VariableLower#outpost_defense,100;VariableLower#guild_warriors,1"		
7	Q	With [BLUE]Infantry Training[] you'll have an edge to parry and block when you wield both a shield and a hand weapon(not light). Or I can put you through intense physical training and increase your [BLUE]Body Development[]. 	Con [BLUE]Entrenamiento de Infantería[] obtendrás ventaja al parar y bloquear cuando usas un escudo y arma de mano (no ligera). O puedo someterte a un entrenamiento físico extremo y mejorar tu [BLUE]Desarrollo Físico[]. 	8			
8	A	Tell me more about [BLUE]Infantry Training[].	Dime más acerca de [BLUE]Entrenamiento de Infantería[].	0		TrainSkill#infantry_training	
8	A	Tell me more about [BLUE]Body Development[].	Dime más acerca de [BLUE]Desarrollo Físico[].	0		TrainSkill#body_development	
